,AT2G28305
AT2G28305,1.0
AT5G19855,0.9206165616751406
AT5G16650,0.910309194052048
AT4G34240,0.8986413777200011
AT2G45990,0.8978898350080423
AT1G51950,0.8937632295954566
AT1G78200,0.8902036429747328
AT1G09060,0.888213537356535
AT5G54170,0.8866655917911281
AT1G70700,0.8850144422082529
AT4G31780,0.8836575674459358
AT1G77930,0.8830682103406241
AT5G62570,0.8814477352214428
AT3G19830,0.8811247266039784
AT5G64850,0.877127586146669
AT1G50020,0.8768013981389354
AT1G65260,0.8731956805381874
AT5G53050,0.8722347889699895
AT5G64460,0.8696683741338186
AT3G27050,0.8687081340424148
AT3G22420,0.8684125103896212
AT3G11170,0.8679692217221027
AT2G34310,0.8668152269267324
AT1G68830,0.8648717110750335
AT1G66330,0.864512462913938
AT4G26860,0.863935786666785
AT2G14045,0.8631326717672131
AT1G72450,0.8627423224710022
AT4G28025,0.862652771939019
AT4G32030,0.8623369754449358
AT1G68660,0.8623340805022809
AT5G66550,0.8619640416833021
AT2G05620,0.8616747538717231
AT3G06760,0.8601263862227596
AT4G34350,0.859987740950126
AT5G02840,0.8598597257601095
AT1G55480,0.8594904760538671
AT2G41420,0.8591394814614501
AT4G11570,0.8585080215213615
AT2G24790,0.8571722004703654
AT1G15030,0.8568926572835076
AT3G10970,0.8564196667796214
AT5G09660,0.8560100759786646
AT2G21960,0.8557334277344618
AT1G19715,0.8552563815581399
AT2G45820,0.8543407859785824
AT2G45950,0.8542315397432432
AT1G35460,0.8535492829646834
AT5G61670,0.8531251119295628
AT4G22890,0.852291102348789
AT5G45170,0.8522055386712702
AT2G26800,0.8512521161468795
AT1G12580,0.8508153927138129
AT1G21065,0.8503849546554488
AT4G32190,0.8500480448078032
AT2G46510,0.8494292978409266
AT5G48590,0.8492730259919375
AT5G61410,0.8479274786676791
AT3G09920,0.847319609528116
AT1G70410,0.8471900482276801
AT2G21120,0.8466939578247963
AT1G18660,0.8456455665001567
AT3G16220,0.8455101464964397
AT3G17510,0.8447899343128336
AT3G15810,0.8445910044974333
AT5G04550,0.8442984225989666
AT1G70610,0.8428217311609347
AT2G30170,0.8424464988790631
AT3G12345,0.8424228530241605
AT5G22620,0.8415468874202818
AT5G20220,0.8412265397643703
AT2G28800,0.8411313232194253
AT1G75180,0.8411026444768961
AT5G47840,0.8407514663698893
AT5G21326,0.8406597136628278
AT2G43945,0.8402253529801056
AT3G19900,0.8391693962664993
AT5G48790,0.8387861948635633
AT4G32590,0.8382200477660032
AT5G17230,0.8381501516465931
AT1G06650,0.8381489312745706
AT3G10230,0.8378484720123344
AT3G27110,0.8365964666623886
AT1G64770,0.8361089418029861
AT5G46800,0.8359948003159626
AT1G19010,0.8359702047730576
AT2G01590,0.8353093870864573
AT1G31170,0.835233072544267
AT4G25700,0.8347954223625218
AT2G47070,0.8342775166627692
AT5G57960,0.8328907014951177
AT1G23310,0.8326735624445393
AT2G38780,0.8326664145512646
AT2G13360,0.8320121162204688
AT1G27100,0.8316675079357787
AT1G64860,0.8315704424813409
AT5G65840,0.8312659183709395
AT5G13410,0.8309386522149906
AT2G17340,0.8307318496236856
AT1G19400,0.8305077920730699
AT4G35250,0.8301888207765823
AT2G05310,0.8300748444526895
AT1G10500,0.8300317506391274
AT4G25170,0.8298131159446417
AT5G43750,0.8298037934034772
AT1G35340,0.8290227186061465
AT2G06025,0.828250356163969
AT1G67700,0.8279519155622211
AT1G71500,0.8277671851882108
AT3G25690,0.8269454619092277
AT4G33180,0.8265776436167861
AT1G16080,0.826471975915949
AT2G23420,0.8261545736692046
AT5G38660,0.8261272208195871
AT5G66900,0.8259636863807046
AT4G08920,0.8257950869391423
AT1G76570,0.8257469740015477
AT5G54110,0.8257000814359756
AT1G07700,0.8253997276946285
AT1G75410,0.825373315357284
AT5G24890,0.8247620787249972
AT2G04039,0.8239612027034213
AT5G48545,0.8239574085392761
AT1G56510,0.8237562765487977
AT4G19510,0.8233746120805516
AT2G03390,0.8233010319057502
AT3G53920,0.8226856799587859
AT4G20380,0.8225147544697972
AT5G19070,0.8224625262175251
AT1G73650,0.8224594936389278
AT5G04440,0.8221012502202117
AT3G53960,0.8220948914396734
AT1G22850,0.82194186321106
AT4G17040,0.8219332426132017
AT1G63170,0.8214373357249077
AT5G50100,0.8210832213844633
AT4G23730,0.8198009911815688
AT1G12250,0.819723203934795
AT4G36800,0.8193558214895044
AT4G29670,0.8189103214711781
AT5G53580,0.8183703986085079
AT3G26085,0.8181217179877986
AT5G49970,0.817836513375844
AT2G31070,0.8174042952259584
AT5G16710,0.8165331835829811
AT4G32260,0.8161088152696765
AT3G27925,0.816099474377053
AT2G30100,0.8160740988971411
AT5G08720,0.8159595582658846
AT4G12790,0.8159430281892036
AT5G53130,0.8159418491079637
AT2G38025,0.815832249607039
AT5G47390,0.8154112074956754
AT3G56160,0.8152828252764793
AT3G04870,0.8142785187441871
AT1G01140,0.814039128549589
AT4G28730,0.8140117068820003
AT1G67900,0.8140100323113679
AT2G36895,0.8139753939325333
AT5G22510,0.8138218564509331
AT5G41050,0.8138038628453981
AT2G26340,0.8137904295774209
AT2G22990,0.8137808501158305
AT1G51700,0.813412651030615
AT5G62610,0.813114682978936
AT2G20890,0.8130486131387243
AT2G26540,0.813031816965888
AT3G20270,0.8129110368385766
AT2G35260,0.8125997226883506
AT4G38980,0.8123028603120754
AT5G08740,0.8122546693807802
AT1G73060,0.8121094405222355
AT1G05900,0.8118999402664598
AT4G24972,0.8116146530729397
AT1G16320,0.8115541483126653
AT4G13500,0.8113343804155873
AT1G67880,0.8112412513491017
AT2G30040,0.811075643195354
AT4G30993,0.8110372060645094
AT3G27160,0.8109245831607168
AT1G51110,0.8106632262697134
AT2G27290,0.8105658580162024
AT1G32160,0.8101992922108365
AT1G20810,0.8100570592279713
AT5G58330,0.8100435800813466
AT1G34000,0.8100409971134944
AT5G08650,0.8099215199397709
AT3G43540,0.8092127315393831
AT1G76450,0.8087709018128539
AT4G02530,0.8086296965116918
AT1G10360,0.8085433712486252
AT3G44620,0.8076043454438082
AT3G07700,0.8071328184687762
AT4G36730,0.8070665375867861
AT1G02910,0.8068516695292572
AT3G47080,0.8067258794536427
AT4G03280,0.806696829094069
AT2G32500,0.8065890693269077
AT1G78230,0.8062790948331876
AT3G26070,0.8060199217658034
AT5G57040,0.8060136088639125
AT4G37440,0.8059851411631617
AT5G10460,0.8054626751258512
AT4G33630,0.8054258896263152
AT2G46100,0.8054166634303104
AT3G20060,0.8052992140928047
AT2G43560,0.8052693929719537
AT3G06750,0.805253418026907
AT1G12240,0.8052092047743468
AT3G63520,0.8048109597629076
AT3G23400,0.8047116003760967
AT5G26820,0.8046859450364352
AT1G29700,0.8042935312010886
AT5G59610,0.8037521539852939
AT4G30950,0.8032104235039137
AT1G29340,0.8031919802876335
AT3G17470,0.8030910151481614
AT4G03110,0.8029360783678136
AT2G25080,0.8026016872579136
AT1G69935,0.802211370076756
AT1G04350,0.802096297253189
AT1G53670,0.8020580436369341
AT2G41120,0.8018533376998183
AT3G15850,0.8017607270620491
AT3G44630,0.8017436739687871
AT2G44870,0.8014728890157301
AT4G09890,0.8012807859430724
AT4G31310,0.8010550584096889
AT3G05840,0.8010372299672848
AT1G32070,0.8008888767728478
AT3G49470,0.8008621111699179
AT4G13590,0.800834024261941
AT1G50600,0.8008338361594863
AT5G51020,0.8007997070336385
AT5G57015,0.8004934487103629
AT4G16890,0.8002561047034418
AT5G49230,0.800191773663969
AT4G11330,0.8000875649041211
AT4G22190,0.8000809216759684
AT5G28840,0.7998932046020082
AT2G23390,0.7994779661395487
AT2G43330,0.7994677581404881
AT5G28750,0.7993417386716364
AT4G37930,0.7991629082916897
AT4G25910,0.7990010484234397
AT1G10740,0.7987659295309205
AT1G44790,0.7985712710175991
AT3G14415,0.7985580900821829
AT5G65685,0.798515968895947
AT5G17600,0.798254189921387
