,LOG8
LOG8,1.0
LOC101253323,0.7280703456471083
gMDH,0.7218287756227241
GS2,0.7169121739849759
LOC101259090,0.7104123832576543
LOC101248905,0.706940483204489
LOC101262918,0.7030906925098516
LOC101254510,0.6991669051722224
LOC101259438,0.696004221342743
LOC101252980,0.6956191233455845
IPS,0.6951512989065631
LOC101251708,0.6949933106334665
LOC101262875,0.6933475115950812
LOC101249700,0.6922123551831273
LOC101261382,0.6890207407158431
LOC101259949,0.6889164554663333
LOC101249322,0.6874188310575795
LOC101249137,0.6868109165417944
LOC101249417,0.685624473615796
LOC101251715,0.6837405450637595
LOC101244755,0.6818952300568747
LOC101260492,0.6810466936066011
LOC101265232,0.6809174883660143
LOC101248807,0.6806083607055052
LOC101255662,0.6791714990707298
LOC101256186,0.6777433756694138
LOC101253805,0.6774162443802183
LOC101263383,0.676699806234312
GME1,0.6761304462215606
LOC101262019,0.6758867962698792
LOC101259757,0.6744131092226677
LOC101251056,0.6738905063500535
LOC101253094,0.6731254048470584
LOC101262182,0.672400177860163
LOC101268836,0.6722121793219615
LOC101263124,0.6716777342874005
LOC101244882,0.6716063776705409
SBPase,0.671045911931132
LOC101246564,0.6700401505380013
LOC101257650,0.6692999901125539
LOC101267163,0.6689244822422712
LOC101266854,0.6679240557262283
LOC101256709,0.6662569171794914
LOC101258991,0.6656495213908855
GME2,0.6650562704068274
LOC101259047,0.6639105201519921
LOC101257442,0.6638731127529647
LOC101253003,0.6635534755954572
LOC101258837,0.6634630568090818
CAT2,0.6619757141634429
LOC543656,0.6608185561279571
LOC101254516,0.6603319562954217
LOC101265653,0.6602865992969391
agpL3,0.6601557155732843
LOC101258059,0.660063711084312
LOC101255624,0.6599298879066412
LOC101246719,0.6592541677356629
LOC101254243,0.6591694802520247
LOC778328,0.6588762939633672
LOC101245098,0.6585891763609782
LOC544106,0.6579853104475681
LOC101255322,0.657751954910884
LOC101250560,0.6574106113404347
LOC101249084,0.656169314069549
LOC104649495,0.655570639645226
LOC101261055,0.6554846026274628
LOC101268832,0.6548244105335103
LOC101253833,0.6541867092692097
LOC101257186,0.653945808993308
LOC101252057,0.6537632929374894
LOC101262956,0.6536891697756735
LOC101248140,0.6527106057124556
LOC101244080,0.6526655312726805
LOC101247293,0.6522561458785661
PSY2,0.6517082097200491
LOC101268403,0.6511557610568016
LOC101252442,0.6502073126910421
