sp1_gene,sp2_gene,fc,sc
Os03g0731500,LOC101248771,0.841727605765139,0.953212667820407
Os04g0195000,LOC101265892,0.852121893684755,0.98764439879232
Os03g0290900,LOC101256391,0.646767012215071,0.892867933955403
Os03g0290900,LOC101266827,0.759610317517427,0.983769006020449
Os04g0643300,LOC101249057,0.707549780734376,0.915482547010263
Os04g0643300,LOC101244208,0.683251012377313,0.893154891805802
Os04g0450200,LOC101268150,0.723592885934397,0.74203229875384
Os03g0194900,LOC101254097,0.699405693840468,0.964754747790371
Os03g0194900,LOC101249743,0.746676763167248,0.98509464964945
Os03g0194900,LOC101258717,0.471212412295411,0.844824531460004
Os03g0167700,LOC101245881,0.799151854087891,0.866126146156202
Os03g0805300,LOC101245881,0.823381987682387,0.980375265801681
Os10g0410600,LOC101245881,0.750331432450022,0.700063197160093
Os03g0167700,LOC101257003,0.736528861515505,0.574504205664764
Os03g0805300,LOC101257003,0.811145882742845,0.9285272557413
Os10g0410600,LOC101257003,0.842712117935629,0.838390601104492
Os03g0167700,LOC101252803,0.80424189640994,0.811236123695566
Os03g0805300,LOC101252803,0.799985526291541,0.952400822888203
Os10g0410600,LOC101252803,0.702043997865902,0.567281151172336
Os03g0157900,LOC101254553,0.75594518988446,0.981551107870313
Os01g0239200,LOC101263932,0.370645749517638,0.494406672725604
Os01g0239200,cTPT,0.878177417725964,0.968570726810421
Os01g0179600,LOC101255792,0.415659644772797,0.593206834719523
Os05g0179950,LOC101255792,0.631062591935476,0.918158788663246
Os06g0593200,LOC101255792,0.593905738038272,0.581540639585655
Os06g0593800,LOC101255792,0.358921754946757,0.418915784348347
Os11g0145200,LOC101255792,0.548410238801586,0.860279805112279
Os01g0179600,LOC101248405,0.491020868370096,0.882374801053718
Os05g0179950,LOC101248405,0.497438280519192,0.853767294065802
Os06g0593200,LOC101248405,0.433083188903661,0.379148507832889
Os06g0593800,LOC101248405,0.347177576540884,0.547366161799715
Os11g0145200,LOC101248405,0.481825758529743,0.913395148580777
Os01g0179600,LOC101250740,0.602602905698032,0.969881730409754
Os05g0179950,LOC101250740,0.404252924485895,0.717786956678312
Os06g0593200,LOC101250740,0.427608748154097,0.328885119545661
Os06g0593800,LOC101250740,0.497469819260633,0.829251706330842
Os11g0145200,LOC101250740,0.475783219870565,0.871993954083506
Os01g0179600,LOC101251036,0.641002511272927,0.986328715691057
Os05g0179950,LOC101251036,0.321357872567406,0.492116153836158
Os06g0593200,LOC101251036,0.563071577639012,0.712471471513789
Os06g0593800,LOC101251036,0.682695918083342,0.966702774022013
Os11g0145200,LOC101251036,0.509684340218699,0.882294891260361
Os01g0179600,LOC101257156,0.611181910474472,0.968583672842698
Os05g0179950,LOC101257156,0.20262401790212,0.23775113610832
Os06g0593200,LOC101257156,0.458122615953341,0.424187866911321
Os06g0593800,LOC101257156,0.718136387118322,0.971599479147551
Os11g0145200,LOC101257156,0.431132746429245,0.850165709655446
Os01g0179600,LOC101256859,0.643560598680372,0.953980827081001
Os05g0179950,LOC101256859,0.291722003750361,0.539688231412676
Os06g0593200,LOC101256859,0.478530162273727,0.46334555426396
Os06g0593800,LOC101256859,0.766801938178592,0.966440399037141
Os11g0145200,LOC101256859,0.518773697322484,0.907692972022355
Os01g0179600,LOC101262706,0.483019942248144,0.874206018336624
Os05g0179950,LOC101262706,0.513707554068635,0.846370275329598
Os06g0593200,LOC101262706,0.470156028030222,0.269687332488316
Os06g0593800,LOC101262706,0.331814618605336,0.445940803645985
Os11g0145200,LOC101262706,0.420738092918836,0.747422149519216
Os03g0116500,LOC101259078,0.83523280786108,0.975350710314336
Os07g0507700,LOC101253744,0.787036919791896,0.946318750828809
Os03g0189600,LOC101244075,0.464339858000502,0.714172136531165
Os03g0189400,LOC101244075,0.576204728932421,0.901032337932505
Os03g0189600,LOC101251366,0.48766571289176,0.658680265104665
Os03g0189400,LOC101251366,0.348248623017735,0.387430197908698
Os03g0125400,LOC101256219,0.643311769539995,0.478781793666182
Os01g0691500,LOC101244484,0.796183210308559,0.889065385282811
Os01g0872700,LOC101258556,0.861013942251924,0.98927006572418
Os07g0238700,LOC101258556,0.701297495125946,0.898187034897647
Os01g0872700,XRN4,0.798379676535172,0.957827870828656
Os07g0238700,XRN4,0.638205721651929,0.847032283317676
Os01g0872700,LOC101248085,0.804594280874431,0.891724941282645
Os07g0238700,LOC101248085,0.678786455736119,0.825779316865078
Os03g0799900,LOC101258215,0.542661101403098,0.347608622805863
Os07g0187700,LOC101258215,0.675829429763033,0.91523947386511
Os01g0880400,LOC101261913,0.702269104342128,0.881975433428693
Os05g0426300,LOC101261913,0.757788478397565,0.899513357452495
Os01g0880400,LOC101246006,0.761327758643903,0.925086831077473
Os05g0426300,LOC101246006,0.843696652030161,0.974418947616461
Os03g0761100,LOC101244719,0.735884170070097,0.953974354064863
Os03g0207400,LOC101244719,0.715481400372027,0.955390586747532
Os12g0580900,LOC101244719,0.583045443731893,0.741846405760815
Os03g0761100,LOC101253040,0.770761708122293,0.962015872463634
Os03g0207400,LOC101253040,0.796032293904507,0.980955992875799
Os12g0580900,LOC101253040,0.636425064849137,0.808097562289987
Os03g0761100,LOC101257219,0.792303627346503,0.983712476044864
Os03g0207400,LOC101257219,0.812849394089846,0.987084096992222
Os12g0580900,LOC101257219,0.49408271994754,0.647763349785277
Os10g0524400,PLDb2,0.818737205141197,0.989455653532296
Os02g0670900,LOC101261384,0.741931481871466,0.961956843510175
Os04g0565500,LOC101261384,0.754807961699972,0.94745468223046
Os02g0670900,LOC101263188,0.663361912773904,0.901528212544641
Os04g0565500,LOC101263188,0.411481789465453,0.512902784479683
Os02g0670900,LOC101262059,0.461967698140106,0.581422128324345
Os04g0565500,LOC101262059,0.221839651038286,0.127830686225782
Os02g0670900,LOC101253878,0.453062502510926,0.506395616380588
Os04g0565500,LOC101253878,0.292613018758763,0.39635219024884
Os06g0653800,LOC101256361,0.767286148163274,0.785837021227574
Os03g0125800,LOC101256559,0.480537868122098,0.648424979609446
Os03g0393700,LOC101265306,0.522002671301728,0.698539302760758
Os08g0560500,LOC101265306,0.653651027798082,0.908504029665955
Os01g0686800,LOC101245737,0.977926678593556,0.989704043087014
