Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR8983034,2019-04-29 02:42:11,2019-04-29 02:35:07,102291306,20662843812,102291306,202,8933,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983034.sralite.1,SRX5762334,15-3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697036,SAMN11458495,simple,28377,Anolis carolinensis,15-3,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,D6F5DC7927EB411B5A84CC7BAB45DA40,DEFA6EACA997230753183620DEEF582E
SRR8983033,2019-04-29 02:35:12,2019-04-29 02:29:28,90189567,18218292534,90189567,202,7882,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983033.sralite.1,SRX5762335,18-3,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697037,SAMN11458496,simple,28377,Anolis carolinensis,18-3,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,DA027B8F4579E071CBAE8455088DA80B,5A3EA0FC0B0B71E37C4E768E259AD0AC
SRR8983036,2019-04-29 02:33:11,2019-04-29 02:28:33,78164742,15789277884,78164742,202,6462,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983036.sralite.1,SRX5762332,22-4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697034,SAMN11458497,simple,28377,Anolis carolinensis,22-4,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,057198D031E1673C1CAEEE6D173D1AED,D67FAA63229AF5FA382D9F91BFDA52D2
SRR8983035,2019-04-29 02:27:11,2019-04-29 02:20:08,69318406,14002318012,69318406,202,5737,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR008/983/SRR8983035.sralite.1,SRX5762333,25-4,WGS,RANDOM,GENOMIC,PAIRED,0,0,ILLUMINA,Illumina HiSeq 2500,SRP194074,PRJNA533001,,533001,SRS4697035,SAMN11458498,simple,28377,Anolis carolinensis,25-4,,,,,not collected,,no,,,,,NEW YORK UNIVERSITY ABU DHABI,SRA880294,,public,E61AC193954B567F63278A53326B915B,17EA1B43DEAEF32F0B6DB85740135D38
SRR1918205,2015-03-19 06:11:16,2015-03-19 06:08:23,6905196,248587056,0,36,138,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/918/SRR1918205/SRR1918205.sralite.1,SRX958025,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP056270,PRJNA278692,,278692,SRS875340,SAMN03428790,simple,28377,Anolis carolinensis,25_day_regen_tail_base_1,,,,,female,,no,,,,,ARIZONA STATE UNIVERSITY,SRA247039,,public,17DE04F1B97816E14C53D7EF3EFDC7AD,9A778D9BF5529FD9D8952034328541B9
SRR1918204,2015-03-19 06:12:15,2015-03-19 06:08:40,9398842,375953680,0,40,224,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/918/SRR1918204/SRR1918204.sralite.1,SRX958026,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP056270,PRJNA278692,,278692,SRS875341,SAMN03428791,simple,28377,Anolis carolinensis,25_day_regen_tail_base_2,,,,,female,,no,,,,,ARIZONA STATE UNIVERSITY,SRA247040,,public,7D9AFF0AA0A029A166AC516AC203EE35,FA15C9BF71CA34E4A15ABD7ACB15D186
SRR1918202,2015-03-19 06:12:15,2015-03-19 06:08:18,5898914,235956560,0,40,141,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/918/SRR1918202/SRR1918202.sralite.1,SRX958027,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP056270,PRJNA278692,,278692,SRS875342,SAMN03428792,simple,28377,Anolis carolinensis,25_day_regen_tail_base_3,,,,,female,,no,,,,,ARIZONA STATE UNIVERSITY,SRA247041,,public,897E0220C52FC97D04285E61A1A69008,2519A404E97D4DCBF492428629BA4556
SRR1917386,2015-03-19 00:00:00,2015-03-18 04:14:03,6896312,248267232,0,36,138,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/917/SRR1917386/SRR1917386.sralite.1,SRX958022,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP056270,PRJNA278692,,278692,SRS875337,SAMN03428787,simple,28377,Anolis carolinensis,25_day_regen_tail_tip_1,,,,,female,,no,,,,,ARIZONA STATE UNIVERSITY,SRA247035,,public,DBB947D1B1E50EF0E579D837F8DFDF5C,DBFE6BD0BB327E9F4320AE6D3FB1291D
SRR1917390,2015-03-19 00:00:00,2015-03-18 04:15:57,8771826,350873040,0,40,206,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/917/SRR1917390/SRR1917390.sralite.1,SRX958023,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP056270,PRJNA278692,,278692,SRS875338,SAMN03428788,simple,28377,Anolis carolinensis,25_day_regen_tail_tip_2,,,,,female,,no,,,,,ARIZONA STATE UNIVERSITY,SRA247037,,public,EB9A8C69C78B189BEE65B8E81C4860F3,1EF3DC5C8DEA1CCC40370820D758B252
SRR1918206,2015-03-19 06:11:16,2015-03-19 06:08:35,8738345,349533800,0,40,210,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/918/SRR1918206/SRR1918206.sralite.1,SRX958024,,miRNA-Seq,size fractionation,TRANSCRIPTOMIC,SINGLE,0,0,ILLUMINA,Illumina Genome Analyzer IIx,SRP056270,PRJNA278692,,278692,SRS875339,SAMN03428789,simple,28377,Anolis carolinensis,25_day_regen_tail_tip_3,,,,,female,,no,,,,,ARIZONA STATE UNIVERSITY,SRA247038,,public,B18959F45C19F1823E71D60F704373F8,514D306AB3CAD2D28ECEEDD850A3A04B
