"","Run","ReleaseDate","LoadDate","spots","bases","spots_with_mates","avgLength","size_MB","AssemblyName","download_path","Experiment","LibraryName","LibraryStrategy","LibrarySelection","LibrarySource","LibraryLayout","InsertSize","InsertDev","Platform","Model","SRAStudy","BioProject","Study_Pubmed_id","ProjectID","Sample","BioSample","SampleType","TaxID","ScientificName","SampleName","g1k_pop_code","source","g1k_analysis_group","Subject_ID","Sex","Disease","Tumor","Affection_Status","Analyte_Type","Histological_Type","Body_Site","CenterName","Submission","dbgap_study_accession","Consent","RunHash","ReadHash"
"864","SRR24911606","2023-06-20 22:01:25","2023-06-14 01:04:37",109796,32996926,109796,300,19,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR024/24911/SRR24911606/SRR24911606.lite.1","SRX20672649","GSM7476132","RNA-Seq","cDNA","TRANSCRIPTOMIC SINGLE CELL","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","SRP443235","PRJNA983402",NA,983402,"SRS17968312","SAMN35726177","simple",28377,"Anolis carolinensis","GSM7476132",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"ORTHOPAEDIC SURGERY, UNIVERSITY OF SOUTHERN CALIFORNIA","SRA1655060",NA,"public","7222EA9971EF82D7F631845F5346F32C","B4C515031A0A35DB2D927C7C44D99D7D"
"884","SRR24911583","2023-06-20 22:01:24","2023-06-14 01:04:32",142924,42988529,142924,300,25,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR024/24911/SRR24911583/SRR24911583.lite.1","SRX20672648","GSM7476137","RNA-Seq","cDNA","TRANSCRIPTOMIC SINGLE CELL","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","SRP443235","PRJNA983402",NA,983402,"SRS17968313","SAMN35726172","simple",28377,"Anolis carolinensis","GSM7476137",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"ORTHOPAEDIC SURGERY, UNIVERSITY OF SOUTHERN CALIFORNIA","SRA1655060",NA,"public","D121710534751C9F5869AE487CB62AB7","71DF0FC2D2AC9EED6C46A64F7E2282A0"
"888","SRR24911587","2023-06-20 22:01:25","2023-06-14 01:04:25",114445,34454146,114445,301,20,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR024/24911/SRR24911587/SRR24911587.lite.1","SRX20672647","GSM7476138","RNA-Seq","cDNA","TRANSCRIPTOMIC SINGLE CELL","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","SRP443235","PRJNA983402",NA,983402,"SRS17968311","SAMN35726171","simple",28377,"Anolis carolinensis","GSM7476138",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"ORTHOPAEDIC SURGERY, UNIVERSITY OF SOUTHERN CALIFORNIA","SRA1655060",NA,"public","FC880122D4B9716AC41780332BCABCD0","92E70574EC40A3E55DC8AFDCA6D8276D"
"868","SRR24911591","2023-06-20 22:01:25","2023-06-14 01:04:12",21589,6498892,21589,301,4,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR024/24911/SRR24911591/SRR24911591.lite.1","SRX20672646","GSM7476133","RNA-Seq","cDNA","TRANSCRIPTOMIC SINGLE CELL","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","SRP443235","PRJNA983402",NA,983402,"SRS17968308","SAMN35726176","simple",28377,"Anolis carolinensis","GSM7476133",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"ORTHOPAEDIC SURGERY, UNIVERSITY OF SOUTHERN CALIFORNIA","SRA1655060",NA,"public","4816B49A44295E6D02BB673FE865B08E","CB6E95AC18608644B4CF5C5F9D70B792"
"872","SRR24911599","2023-06-20 22:01:24","2023-06-14 01:04:02",9856,2961914,9856,300,1,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR024/24911/SRR24911599/SRR24911599.lite.1","SRX20672645","GSM7476134","RNA-Seq","cDNA","TRANSCRIPTOMIC SINGLE CELL","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","SRP443235","PRJNA983402",NA,983402,"SRS17968307","SAMN35726175","simple",28377,"Anolis carolinensis","GSM7476134",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"ORTHOPAEDIC SURGERY, UNIVERSITY OF SOUTHERN CALIFORNIA","SRA1655060",NA,"public","C8F675924D71708E5583D7E9C9C9F67B","9FF56D2CF83C82AD29B547B7312855EC"
"876","SRR24911603","2023-06-20 22:01:24","2023-06-14 01:04:27",84842,25533712,84842,300,15,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR024/24911/SRR24911603/SRR24911603.lite.1","SRX20672644","GSM7476135","RNA-Seq","cDNA","TRANSCRIPTOMIC SINGLE CELL","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","SRP443235","PRJNA983402",NA,983402,"SRS17968306","SAMN35726174","simple",28377,"Anolis carolinensis","GSM7476135",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"ORTHOPAEDIC SURGERY, UNIVERSITY OF SOUTHERN CALIFORNIA","SRA1655060",NA,"public","76ED6B8CB7C2C63BEE060837948022AC","3CD13A9F2A0356FBFADCC6B7981223E1"
"880","SRR24911592","2023-06-20 22:01:24","2023-06-14 01:04:26",134916,40598364,134916,300,24,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR024/24911/SRR24911592/SRR24911592.lite.1","SRX20672643","GSM7476136","RNA-Seq","cDNA","TRANSCRIPTOMIC SINGLE CELL","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","SRP443235","PRJNA983402",NA,983402,"SRS17968305","SAMN35726173","simple",28377,"Anolis carolinensis","GSM7476136",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"ORTHOPAEDIC SURGERY, UNIVERSITY OF SOUTHERN CALIFORNIA","SRA1655060",NA,"public","A8260F3BFC769627A9224EC31EF8B1DA","3E1CE1315175ABF994DA23D874899A5E"
"860","SRR24911609","2023-06-20 22:01:25","2023-06-14 01:04:37",106064,31927123,106064,301,18,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR024/24911/SRR24911609/SRR24911609.lite.1","SRX20672642","GSM7476131","RNA-Seq","cDNA","TRANSCRIPTOMIC SINGLE CELL","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","SRP443235","PRJNA983402",NA,983402,"SRS17968310","SAMN35726178","simple",28377,"Anolis carolinensis","GSM7476131",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"ORTHOPAEDIC SURGERY, UNIVERSITY OF SOUTHERN CALIFORNIA","SRA1655060",NA,"public","C31706FD462712C501B4FD03809485BD","47E3453346D1BCB7424F7E01091E69A9"
"856","SRR24911614","2023-06-20 22:01:25","2023-06-14 01:04:24",36059,10853589,36059,300,6,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR024/24911/SRR24911614/SRR24911614.lite.1","SRX20672641","GSM7476130","RNA-Seq","cDNA","TRANSCRIPTOMIC SINGLE CELL","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","SRP443235","PRJNA983402",NA,983402,"SRS17968309","SAMN35726179","simple",28377,"Anolis carolinensis","GSM7476130",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"ORTHOPAEDIC SURGERY, UNIVERSITY OF SOUTHERN CALIFORNIA","SRA1655060",NA,"public","0F9748ADB0D83C94E7B00ED05F69DDE8","0ADB7D61D9C0BC54AD4BDD59699D1409"
"852","SRR24911618","2023-06-20 22:01:24","2023-06-14 01:04:37",133593,40208918,133593,300,24,"","https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-14/SRR024/24911/SRR24911618/SRR24911618.lite.1","SRX20672640","GSM7476129","RNA-Seq","cDNA","TRANSCRIPTOMIC SINGLE CELL","PAIRED",0,0,"ILLUMINA","Illumina MiSeq","SRP443235","PRJNA983402",NA,983402,"SRS17968304","SAMN35726180","simple",28377,"Anolis carolinensis","GSM7476129",NA,NA,NA,NA,"",NA,"no",NA,NA,NA,NA,"ORTHOPAEDIC SURGERY, UNIVERSITY OF SOUTHERN CALIFORNIA","SRA1655060",NA,"public","1170BEB53625CBA43F859595A3D7C920","B352DE3A36DE15D80E1D075295A4AC41"
