"","V1","V2"
"1","SRP471380","45"
"2","DRP010729","21"
"3","SRP415500","42"
"4","DRP009407","12"
"5","SRP414535","12"
"6","SRP394830","86"
"7","DRP008783","24"
"8","SRP387070","36"
"9","SRP386855","24"
"10","SRP386377","36"
"11","SRP325354","46"
"12","SRP366344","54"
"13","SRP360211","12"
"14","SRP357617","18"
"15","SRP354129","28"
"16","DRP008122","18"
"17","SRP357246","12"
"18","SRP348422","16"
"19","ERP133144","99"
"20","SRP336116","42"
"21","SRP332575","12"
"22","DRP007460","11"
"23","SRP300767","12"
"24","SRP296046","17"
"25","DRP006665","24"
"26","SRP286239","12"
"27","SRP268513","25"
"28","SRP189151","24"
"29","DRP004928","10"
"30","DRP004609","18"
"31","SRP115544","18"
"32","SRP092062","15"
"33","DRP003274","11"
