Run,ReleaseDate,LoadDate,spots,bases,spots_with_mates,avgLength,size_MB,AssemblyName,download_path,Experiment,LibraryName,LibraryStrategy,LibrarySelection,LibrarySource,LibraryLayout,InsertSize,InsertDev,Platform,Model,SRAStudy,BioProject,Study_Pubmed_id,ProjectID,Sample,BioSample,SampleType,TaxID,ScientificName,SampleName,g1k_pop_code,source,g1k_analysis_group,Subject_ID,Sex,Disease,Tumor,Affection_Status,Analyte_Type,Histological_Type,Body_Site,CenterName,Submission,dbgap_study_accession,Consent,RunHash,ReadHash
SRR26270862,2024-01-01 00:07:40,2023-10-04 05:18:47,44273,13370446,44273,302,5,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26270/SRR26270862/SRR26270862.lite.1,SRX21980344,05_DMS_1,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP464376,PRJNA1023189,,1023189,SRS19055612,SAMN37642539,simple,3218,Physcomitrium patens,05_DMS_1,,,,,,,no,,,,,"CENTRAL EUROPEAN INSTITUTE OF TECHNOLOGY, MASARYK UNIVERSITY",SRA1724094,,public,E17EB436955B365B05F19A4C0D9041CB,39991E3B28D375EEB0A0752E41615C7C
SRR26270861,2024-01-01 00:07:40,2023-10-04 05:18:38,16617,5018334,16617,302,2,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26270/SRR26270861/SRR26270861.lite.1,SRX21980345,05_DMS_2,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP464376,PRJNA1023189,,1023189,SRS19055613,SAMN37642540,simple,3218,Physcomitrium patens,05_DMS_2,,,,,,,no,,,,,"CENTRAL EUROPEAN INSTITUTE OF TECHNOLOGY, MASARYK UNIVERSITY",SRA1724094,,public,ABFF09A2B0F49550FFB06669B20F503C,D2B11E62FEB9E675D4924155D40E05A7
SRR26270849,2024-01-01 00:07:41,2023-10-04 05:18:32,72208,21806816,72208,302,9,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-zq-22/SRR026/26270/SRR26270849/SRR26270849.lite.1,SRX21980358,05_DMS_3,OTHER,RT-PCR,TRANSCRIPTOMIC,PAIRED,0,0,ILLUMINA,NextSeq 500,SRP464376,PRJNA1023189,,1023189,SRS19055626,SAMN37642541,simple,3218,Physcomitrium patens,05_DMS_3,,,,,,,no,,,,,"CENTRAL EUROPEAN INSTITUTE OF TECHNOLOGY, MASARYK UNIVERSITY",SRA1724094,,public,791A6E0C0FC285125609164722007358,FC2D7815B23629F5ADA28C4191D88C30
SRR1798064,2015-02-20 20:24:14,2015-02-20 20:20:30,10421033,3126309900,10421033,300,1905,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798064/SRR1798064.sralite.1,SRX872600,NYBS,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,515000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,D1AC65EDB12AA683289509A2A9AD18B8,37BC43C309ED294BE7B556FE6517E1F8
SRR1798065,2015-02-20 20:24:14,2015-02-20 20:21:00,10949772,3284931600,10949772,300,1877,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798065/SRR1798065.sralite.1,SRX872601,NYBU,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,535000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,3671AB07A2185BF569AE4A6999905ED1,21A078927FE01297F352E1C397512218
SRR1798066,2015-02-20 20:22:12,2015-02-20 20:19:21,9680562,2904168600,9680562,300,1768,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798066/SRR1798066.sralite.1,SRX872602,NYBT,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,461000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,8E62DB7E4D569308C64AFDDAB37D2543,07C6CFB9509C834D51112A41FC85D704
SRR1798067,2015-02-20 20:24:14,2015-02-20 20:20:16,11232944,3369883200,11232944,300,1972,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798067/SRR1798067.sralite.1,SRX872603,NYBX,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,469000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,CDC27827B22615C6A371A848EF3A9195,48AD3D267A3B24514CABBACD1B2FB897
SRR1798068,2015-02-20 20:27:15,2015-02-20 20:22:54,10794223,3238266900,10794223,300,1957,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798068/SRR1798068.sralite.1,SRX872604,NYBA,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,504000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,934007F8B787A4560F3EDF40695741A8,088938DDEEA4A6FC1833B005467A23E3
SRR1798069,2015-02-20 20:24:14,2015-02-20 20:20:24,10614389,3184316700,10614389,300,1837,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798069/SRR1798069.sralite.1,SRX872605,NYAS,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,534000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,76F2A5839E7E7CA4306AB41ED13C5D22,BB9F701AADFEE48289D0083CDD3B0158
SRR1798070,2015-02-20 20:24:14,2015-02-20 20:19:44,10415801,3124740300,10415801,300,1814,,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos5/sra-pub-zq-11/SRR001/798/SRR1798070/SRR1798070.sralite.1,SRX872606,NYBY,RNA-Seq,RT-PCR,TRANSCRIPTOMIC,PAIRED,550000,0,ILLUMINA,Illumina HiSeq 2000,SRP053771,PRJNA259082,,259082,SRS842842,SAMN03003005,simple,3218,Physcomitrella patens,1019872,,,,,,,no,,,,,JGI,SRA238001,,public,5CD483174A0E05E8EE3213FE4266ECB4,9E7AB12AC6611E4838E8F4E98FEB51B6
