,tomato,grape,Group Number,Species 1 Score,Species 2 Score,Total Score
0,LOC101245541,LOC100267702,0,0.7799418177544004,0.6583872700036744,0.7191645438790374
1,LOC101249449,LOC100267702,0,0.40112250595045695,0.6356349453096295,0.5183787256300432
2,GPA1,LOC100244127,1,0.9328612147747642,0.933229699556259,0.9330454571655116
3,LOC101260909,LOC100266467,2,0.928717933648732,0.8669172719821373,0.8978176028154347
4,LOC101262196,LOC100254135,3,0.9754047779965326,0.978723043441395,0.9770639107189638
5,LOC101260971,LOC100256382,4,0.7251505979841908,0.8631814313394823,0.7941660146618366
6,LOC101253967,LOC100241432,5,0.8856395639270077,0.9766202198920325,0.9311298919095201
7,LOC101257571,LOC100254815,6,0.7879521612647292,0.8921863272503446,0.8400692442575369
8,LOC101257571,LOC100241719,6,0.754218212805971,0.8684573327178116,0.8113377727618913
9,LOC101258001,LOC100255596,7,0.9228291851547119,0.9456714055566547,0.9342502953556833
10,Xpo1,LOC100256288,8,0.9607828156680674,0.976196263531274,0.9684895395996707
11,LOC101252151,LOC100268126,9,0.9950221856542564,0.9940112238520988,0.9945167047531775
12,LOC101254065,LOC100264665,10,0.9575269607122917,0.9327435629292559,0.9451352618207738
13,LOC101254065,LOC100248362,10,0.911327906908407,0.9650038156072469,0.938165861257827
14,LOC101250327,LOC100264665,10,0.9126032147159943,0.9121958113111558,0.912399513013575
15,LOC101250327,LOC100248362,10,0.9621639093767448,0.9906899183177411,0.976426913847243
16,LOC101264394,LOC100264665,10,0.9395903734830008,0.9374692631638449,0.9385298183234229
17,LOC101264394,LOC100248362,10,0.9469189856307484,0.982939996043074,0.9649294908369113
18,LOC101250591,LOC100263708,11,0.9596661867121155,0.9682937169667335,0.9639799518394245
19,LOC101254819,LOC100852765,12,0.8107372689606536,0.6404002148045561,0.7255687418826049
20,LOC101254819,LOC100260925,12,0.9655901971731656,0.9040784601904978,0.9348343286818317
21,LOC101254819,LOC100245401,12,0.8958772883547353,0.8100675503801475,0.8529724193674415
22,LOC101254819,LOC100245552,12,0.9396373894390408,0.8882111867951725,0.9139242881171067
23,LOC101254819,LOC100265712,12,0.8234021921189504,0.7647550945422684,0.7940786433306094
24,LOC101256097,LOC100852765,12,0.7921365813522965,0.6459399112518018,0.7190382463020492
25,LOC101256097,LOC100260925,12,0.8627134083629632,0.9377688589921144,0.9002411336775388
26,LOC101256097,LOC100245401,12,0.8377185507331552,0.8393261920239676,0.8385223713785614
27,LOC101256097,LOC100245552,12,0.8273162704592871,0.9271190752098585,0.8772176728345729
28,LOC101256097,LOC100265712,12,0.7263377508742029,0.6881037845171137,0.7072207676956583
29,LOC101250212,LOC100852765,12,0.8300373189151068,0.5945564003278596,0.7122968596214831
30,LOC101250212,LOC100260925,12,0.8610796038905704,0.925293236482858,0.8931864201867141
31,LOC101250212,LOC100245401,12,0.8952484499426994,0.7960374212147763,0.8456429355787378
32,LOC101250212,LOC100245552,12,0.826117363580265,0.9097255589158023,0.8679214612480337
33,LOC101250212,LOC100265712,12,0.8014986335987776,0.6117294593143212,0.7066140464565493
34,LOC101249263,LOC100852765,12,0.8681848902471276,0.7263616065119698,0.7972732483795487
