,LOG8
LOG8,1.0
SP5G,0.9999540799926528
LOC101249791,0.9999081599853056
LOC101260653,0.9998622399779584
LOC104649010,0.9998163199706112
LOC101250495,0.999770399963264
LOC101264385,0.9997244799559168
LOC101255100,0.9996785599485696
LOC778306,0.9996326399412224
LOC101248089,0.9995867199338752
TCP4,0.999540799926528
LOC101264272,0.9994948799191807
LOC101260702,0.9994489599118336
LOC104649361,0.9994030399044864
TPS7,0.9993571198971392
LOC101243657,0.999311199889792
LOC101243767,0.9992652798824447
MKS1d,0.9992193598750976
LOC101244860,0.9991734398677504
LOC101264349,0.9991275198604032
LOC101254289,0.999081599853056
LOC101248225,0.9990356798457087
LOC101256205,0.9989897598383616
LOC101246621,0.9989438398310144
LOC101252624,0.9988979198236672
SLBRC1A,0.99885199981632
LOC101250032,0.9988060798089727
LOC101252498,0.9987601598016256
LOC101263715,0.9986912797906048
LOC101243937,0.9986912797906048
SLBRC1b,0.998622399779584
LOC101261869,0.9985764797722367
LOC101244290,0.9985305597648896
LOC101246250,0.9984846397575423
LOC101257748,0.9984387197501952
LOC104648011,0.998392799742848
fsm1,0.9983468797355007
LOC104647913,0.9983009597281536
LOC101251258,0.9982550397208063
LOC101247422,0.9982091197134592
LOC101257801,0.998163199706112
LOC104648043,0.9981172796987647
LOC101249557,0.9980713596914176
LOC101254036,0.9980254396840703
LOC104645985,0.9979795196767232
LOC101263505,0.9979335996693759
LOC101246530,0.9978876796620287
LOC101260153,0.9978417596546816
LOC101249848,0.9977958396473343
LOC101265802,0.9977499196399872
LOC101253636,0.9977039996326399
LOC101259539,0.9976580796252927
LOC101252153,0.9976121596179456
LOC101268825,0.9975662396105983
LOC101244580,0.9975203196032512
LOC101248253,0.9974743995959039
LOC101250342,0.9974284795885567
LOC101251254,0.9973825595812096
LOC101261675,0.9973366395738623
LOC104646276,0.9972907195665152
LOC104646537,0.9972218395554944
LOC101248084,0.9972218395554944
LOC104648118,0.9971529595444735
LOC101257521,0.9971070395371263
LOC101253954,0.9970611195297792
LOC101268244,0.9970151995224319
LOC101265842,0.9969692795150847
LOC101247245,0.9969233595077375
LOC101257073,0.9968774395003903
LOC101260109,0.9968315194930432
LOC101257210,0.9967855994856959
LOC101260537,0.9967396794783487
LOC101263363,0.9966937594710015
LOC101252528,0.9966478394636543
TPS37,0.9965789594526335
LOC101262127,0.9965789594526335
LOC101254650,0.9965100794416127
LOC101244996,0.9964641594342655
LOC101254635,0.9964182394269183
LOC101264565,0.9963723194195712
Acx1B,0.9963263994122239
LOC101260261,0.9962804794048767
LOC101247171,0.9962345593975295
LOC101266928,0.9961886393901823
TPS16,0.996142719382835
LOC101252509,0.9960967993754879
LOC101249864,0.9960508793681407
LOC101250428,0.9960049593607935
LOC101266228,0.9959590393534463
LOC101245586,0.995913119346099
LOC101258486,0.9958671993387519
LOC101248844,0.9958212793314047
LOC101267512,0.9957523993203838
LOC101268660,0.9957523993203838
LOC101257450,0.995683519309363
LOC112941169,0.9956375993020159
LOC104646671,0.9955916792946687
LOC101247804,0.9955457592873215
LOC109120460,0.9954998392799743
LOC101267939,0.995453919272627
LOC101248599,0.9954079992652799
LOC101262376,0.9953620792579326
LOC101259598,0.9953161592505855
LOC101245664,0.9952702392432383
LOC101247206,0.995224319235891
LOC101259427,0.9951783992285439
LOC101258647,0.9951095192175231
LOC101256920,0.9951095192175231
LOC101258068,0.9950406392065023
LOC101247499,0.994994719199155
LOC101251538,0.9949487991918079
FZY5,0.9948799191807871
LOC101250755,0.9948799191807871
LOC101259485,0.9948110391697663
LOC101268235,0.994765119162419
LOC101256824,0.9947191991550719
LOC101249807,0.9946732791477246
LOC101253345,0.9946273591403775
LOC101267284,0.9945814391330302
LOC101264671,0.994535519125683
