,tomato,mustard,Group Number,Species 1 Score,Species 2 Score,Total Score
0,GPA1,LOC103842156,1,0.8134763585038814,0.8595568440670945,0.836516601285488
1,LOC101260909,LOC103835906,2,0.7855638673253351,0.8752418424400201,0.8304028548826776
2,LOC101260909,LOC103872651,2,0.871181369089626,0.8869212791764044,0.8790513241330151
3,LOC101262196,LOC103871423,3,0.9778405081157375,0.9460284590125136,0.9619344835641256
4,LOC101253967,LOC103871570,5,0.9659054340155256,0.9856344111469396,0.9757699225812326
5,LOC101257571,LOC103873407,6,0.6562157923625814,0.8816377244623258,0.7689267584124536
6,LOC101258001,LOC103868208,7,0.8661736062103035,0.9475227379555398,0.9068481720829216
7,Xpo1,LOC103856228,8,0.8955539872971066,0.9085406620714138,0.9020473246842602
8,Xpo1,LOC103846276,8,0.94003105151729,0.9324142827559685,0.9362226671366293
9,Xpo1,LOC103851080,8,0.9651997177134791,0.9455610448776736,0.9553803812955763
10,LOC101252151,LOC103835863,9,0.9915596330275229,0.9920026822076935,0.9917811576176082
11,LOC101250327,LOC103850081,10,0.6146450247000705,0.7721089844096677,0.6933770045548691
12,LOC101250327,LOC103856564,10,0.6729880028228652,0.7042392687039613,0.6886136357634132
13,LOC101250327,LOC103858922,10,0.748364149611856,0.9525321552656405,0.8504481524387483
14,LOC101250327,VDAC,10,0.7953253352152435,0.6445450272329544,0.7199351812240989
15,LOC101250327,LOC103870959,10,0.7321778405081157,0.9008253705292429,0.8165016055186793
16,LOC101250327,LOC103850966,10,0.6594043754410728,0.7845457503771854,0.721975062909129
17,LOC101264394,LOC103850081,10,0.8878193366266761,0.7374789219891725,0.8126491293079243
18,LOC101264394,LOC103856564,10,0.8833648553281581,0.789983137591338,0.836673996459748
19,LOC101264394,LOC103858922,10,0.9215864502470007,0.9552998254592787,0.9384431378531397
20,LOC101264394,VDAC,10,0.7766718419195483,0.6517698955056586,0.7142208687126035
21,LOC101264394,LOC103870959,10,0.9265716302046578,0.8852409549448274,0.9059062925747425
22,LOC101264394,LOC103850966,10,0.8965419901199718,0.9042614560837795,0.9004017231018757
23,LOC101254065,LOC103850081,10,0.8089484827099506,0.7080909978404283,0.7585197402751894
24,LOC101254065,LOC103856564,10,0.8334227240649259,0.7083690796674851,0.7708959018662055
25,LOC101254065,LOC103858922,10,0.9166859562455892,0.957719071614288,0.9372025139299387
26,LOC101254065,VDAC,10,0.7633817925194072,0.46412711560775344,0.6137544540635803
27,LOC101254065,LOC103870959,10,0.9017925194071983,0.900748454279206,0.9012704868432022
28,LOC101254065,LOC103850966,10,0.9530105857445308,0.9219669851788302,0.9374887854616805
29,LOC101250591,LOC103838506,11,0.9303373323923781,0.921764340443156,0.9260508364177671
