arabi,tomato
AT2G37210,LOG8
AT2G37210,LOC101262778
AT2G37210,LOC101246083
AT2G37210,LOG6
AT2G37210,LOG7
AT2G37210,TLOG1
AT2G37210,LOC101252798
AT3G53450,LOG8
AT3G53450,LOC101262778
AT3G53450,LOC101246083
AT3G53450,LOG6
AT3G53450,LOG7
AT3G53450,TLOG1
AT3G53450,LOC101252798
AT2G28305,LOG8
AT2G28305,LOC101262778
AT2G28305,LOC101246083
AT2G28305,LOG6
AT2G28305,LOG7
AT2G28305,TLOG1
AT2G28305,LOC101252798
AT5G06300,LOG8
AT5G06300,LOC101262778
AT5G06300,LOC101246083
AT5G06300,LOG6
AT5G06300,LOG7
AT5G06300,TLOG1
AT5G06300,LOC101252798
AT4G35190,LOG8
AT4G35190,LOC101262778
AT4G35190,LOC101246083
AT4G35190,LOG6
AT4G35190,LOG7
AT4G35190,TLOG1
AT4G35190,LOC101252798
AT5G03270,LOG8
AT5G03270,LOC101262778
AT5G03270,LOC101246083
AT5G03270,LOG6
AT5G03270,LOG7
AT5G03270,TLOG1
AT5G03270,LOC101252798
AT2G35990,LOG8
AT2G35990,LOC101262778
AT2G35990,LOC101246083
AT2G35990,LOG6
AT2G35990,LOG7
AT2G35990,TLOG1
AT2G35990,LOC101252798
AT5G11950,LOG8
AT5G11950,LOC101262778
AT5G11950,LOC101246083
AT5G11950,LOG6
AT5G11950,LOG7
AT5G11950,TLOG1
AT5G11950,LOC101252798
