,arabidopsis,medicago,Group Number,Species 1 Score,Species 2 Score,Total Score
0,AT5G42200,LOC11432144,0,0.42158551543011685,0.40885988805411716,0.415222701742117
1,AT2G26300,LOC11432413,1,0.8590465706510106,0.8234128528240894,0.84122971173755
2,AT1G73910,LOC11439919,2,0.77691954866526,0.7703193750187075,0.7736194618419838
3,AT1G73910,LOC25502581,2,0.7767544261994312,0.7377832320632165,0.7572688291313239
4,AT1G18450,LOC11439919,2,0.9545240497813656,0.9485587715884941,0.9515414106849298
5,AT1G18450,LOC25502581,2,0.9492890560499037,0.9339579155317429,0.9416234857908232
6,AT1G49040,LOC25502274,3,0.9747056844937773,0.9860995540123918,0.9804026192530846
7,AT1G08260,LOC11445193,4,0.9879277130538483,0.9931455595797539,0.9905366363168011
8,AT3G45740,LOC11414990,5,0.8696144084640552,0.7760064653237151,0.8228104368938851
9,AT4G02460,LOC11414900,6,0.9444638106595725,0.9376934359005059,0.9410786232800392
10,AT5G17020,LOC11435528,7,0.981977188637128,0.9821844413182077,0.9820808149776679
11,AT5G17020,LOC11437746,7,0.9594716081093477,0.959340297524619,0.9594059528169834
12,AT3G01280,LOC11422377,9,0.974601718496774,0.9794725972043462,0.9770371578505601
13,AT3G01280,LOC25502792,9,0.9922698223404581,0.9683618186716154,0.9803158205060367
14,AT3G01280,LOC25495274,9,0.9920068495245085,0.9906731718997875,0.991340010712148
15,AT5G15090,LOC11422377,9,0.9357673607925879,0.9709299889251399,0.953348674858864
16,AT5G15090,LOC25502792,9,0.941772926031251,0.9436798467478823,0.9427263863895666
17,AT5G15090,LOC25495274,9,0.9182032229459071,0.9701757011583705,0.9441894620521387
18,AT1G60490,LOC11415599,10,0.9392478433850785,0.961309826693406,0.9502788350392423
19,AT1G65032,LOC25492903,11,0.9312295508057364,0.9502648986799964,0.9407472247428664
20,AT5G62520,LOC25493765,12,0.9357734764394703,0.9022784944841876,0.919025985461829
21,AT5G62520,LOC25485596,12,0.46804880286212275,0.6115657457571313,0.539807274309627
22,AT5G62520,LOC11431728,12,0.7016175886004342,0.6571582507707504,0.6793879196855923
23,AT5G62520,LOC11405491,12,0.6466379231263187,0.7358316621269718,0.6912347926266453
24,AT1G23550,LOC25493765,12,0.8596900726063188,0.8474496226898275,0.8535698476480731
25,AT1G23550,LOC25485596,12,0.5848664920309724,0.6720943458349546,0.6284804189329636
26,AT1G23550,LOC11431728,12,0.5146724561457154,0.5458409410637852,0.5302566986047503
27,AT1G23550,LOC11405491,12,0.6641524562816188,0.7986770032027298,0.7314147297421743
28,AT2G35510,LOC25493765,12,0.9038069901843868,0.855172092682943,0.879489541433665
29,AT2G35510,LOC25485596,12,0.9009081735620585,0.9090963512825885,0.9050022624223235
30,AT2G35510,LOC11431728,12,0.8401431061370517,0.5751025172857612,0.7076228117114065
31,AT2G35510,LOC11405491,12,0.9336696939118735,0.8854859469005358,0.9095778204062046
32,AT1G32230,LOC25493765,12,0.8994037244289514,0.9341395033274468,0.9167716138781992
33,AT1G32230,LOC25485596,12,0.8010213130293856,0.8954114160854859,0.8482163645574358
34,AT1G32230,LOC11431728,12,0.7300369996636394,0.5959831183214104,0.663010058992525
35,AT1G32230,LOC11405491,12,0.8928538666177415,0.9175731090424736,0.9052134878301075
36,AT1G70440,LOC25493765,12,0.8036163858565474,0.8547663470588431,0.8291913664576953
37,AT1G70440,LOC25485596,12,0.6785514071084202,0.7542159298392648,0.7163836684738425
38,AT1G70440,LOC11431728,12,0.7766463831045063,0.6104642461612141,0.6935553146328601
39,AT1G70440,LOC11405491,12,0.7520750729630649,0.8029632733694514,0.7775191731662581
40,AT5G26749,LOC11407508,13,0.8398740176742195,0.8620910533089885,0.8509825354916041
41,AT2G26695,LOC25491332,14,0.4575726997523163,0.6280164027657219,0.5427945512590191
42,AT2G26695,LOC11431968,14,0.6232088799192734,0.7025651770481008,0.6628870284836872
43,AT5G25490,LOC25491332,14,0.7207595633428125,0.6790565416504535,0.699908052496633
44,AT5G25490,LOC11431968,14,0.8711005106565146,0.9582507707503967,0.9146756407034556
45,AT3G15680,LOC25491332,14,0.7768706234901996,0.7536232751653745,0.7652469493277871
46,AT3G15680,LOC11431968,14,0.8546922300706358,0.9369571073662786,0.8958246687184572
47,AT1G51540,LOC25479653,15,0.7372228847506346,0.5977371366996916,0.667480010725163
48,AT1G51540,LOC25491228,15,0.9840075834021343,0.9394414678679398,0.9617245256350371
49,AT3G27220,LOC25479653,15,0.76132464911476,0.7394833727438714,0.7504040109293157
50,AT3G27220,LOC25491228,15,0.7359141363177689,0.8446825705648179,0.7902983534412934
51,AT4G33865,LOC25490304,16,0.9873643940243335,0.9866562902211978,0.9870103421227656
52,AT4G33865,LOC11437603,16,0.9870178407009891,0.9846688018198689,0.985843321260429
53,AT4G33865,LOC25485353,16,0.9871265633122344,0.9820048489927865,0.9845657061525104
54,AT3G43980,LOC25490304,16,0.9869492095526404,0.985004040827322,0.9859766251899812
55,AT3G43980,LOC11437603,16,0.9873161483655933,0.9834655332395462,0.9853908408025698
56,AT3G43980,LOC25485353,16,0.9877992844693148,0.9788679697087611,0.9833336270890379
57,AT3G44010,LOC25490304,16,0.9876769715316638,0.9876739800652518,0.9876754757984578
