,tomato,cucumber,Group Number,Species 1 Score,Species 2 Score,Total Score
0,GPA1,LOC101216232,0,0.8677094170403588,0.8812567713976165,0.8744830942189876
1,LOC101260909,LOC101218049,1,0.9027659192825112,0.9522356592779128,0.927500789280212
2,LOC101262196,LOC101212131,2,0.9565991031390135,0.9539867060993821,0.9552929046191978
3,LOC101260971,LOC101209435,3,0.7628269058295963,0.8271500102486018,0.7949884580390991
4,LOC101253967,LOC101208568,4,0.9576251121076232,0.989610845948874,0.9736179790282486
5,LOC101257571,LOC101215550,5,0.773790134529148,0.819320078475008,0.796555106502078
6,LOC101257571,LOC101221466,5,0.7732807174887892,0.7094814207490264,0.7413810691189078
7,LOC101258001,LOC101210654,6,0.9066331838565023,0.9226669790050072,0.9146500814307548
8,Xpo1,LOC101217101,7,0.9825865470852018,0.9754001021606656,0.9789933246229336
9,LOC101252151,LOC101211430,8,0.9927892376681614,0.9964276302304471,0.9946084339493042
10,LOC101250327,LOC101207764,9,0.9496825112107624,0.9758484378202688,0.9627654745155156
11,LOC101250327,LOC101222822,9,0.9569291479820629,0.9548885830575972,0.95590886551983
12,LOC101264394,LOC101207764,9,0.9786403587443946,0.9789288747035226,0.9787846167239587
13,LOC101264394,LOC101222822,9,0.9790493273542601,0.9887441070539662,0.9838967172041131
14,LOC101254065,LOC101207764,9,0.986798206278027,0.9717314280694562,0.9792648171737416
15,LOC101254065,LOC101222822,9,0.9888215246636772,0.9911686334221546,0.989995079042916
16,LOC101250591,LOC101210847,10,0.9601793721973094,0.9486632895083599,0.9544213308528346
17,LOC101254819,LOC101222840,11,0.9302026905829597,0.7788937366402156,0.8545482136115876
18,LOC101254819,LOC101219909,11,0.9401399103139014,0.9116804778776609,0.9259101940957812
19,LOC101254819,LOC101213014,11,0.9445739910313902,0.9064624754765599,0.9255182332539751
20,LOC101254819,LOC101203515,11,0.9432035874439462,0.9151357207695235,0.9291696541067349
21,LOC101250212,LOC101222840,11,0.774780269058296,0.8104652865216245,0.7926227777899603
22,LOC101250212,LOC101219909,11,0.8611659192825112,0.7784252291294544,0.8197955742059828
23,LOC101250212,LOC101213014,11,0.9268663677130046,0.9005358554654329,0.9137011115892187
24,LOC101250212,LOC101203515,11,0.9412663677130044,0.9555562062604316,0.9484112869867181
25,LOC101249263,LOC101222840,11,0.8796053811659192,0.848332406078885,0.8639688936224021
26,LOC101249263,LOC101219909,11,0.8677668161434977,0.8411993792275482,0.8544830976855229
27,LOC101249263,LOC101213014,11,0.8183174887892376,0.8135340107171093,0.8159257497531734
28,LOC101249263,LOC101203515,11,0.7993973094170403,0.8705220930573043,0.8349597012371723
29,LOC101248971,LOC101222840,11,0.351562331838565,0.6456092061725864,0.4985857690055757
30,LOC101248971,LOC101219909,11,0.2407964125560538,0.4359872331703318,0.3383918228631928
31,LOC101248971,LOC101213014,11,0.2618116591928251,0.6259026090012005,0.44385713409701283
32,LOC101248971,LOC101203515,11,0.3606887892376682,0.6171649439255072,0.4889268665815877
33,LOC101265942,LOC101222840,11,0.7830170403587443,0.7505490322391731,0.7667830362989587
34,LOC101265942,LOC101219909,11,0.7814744394618833,0.9017832567128341,0.8416288480873587
35,LOC101265942,LOC101213014,11,0.8903605381165919,0.912640918274721,0.9015007281956564
36,LOC101265942,LOC101203515,11,0.9087641255605381,0.94685953559193,0.9278118305762341
37,LOC101245634,LOC101222840,11,0.7636304932735426,0.800228397411496,0.7819294453425193
38,LOC101245634,LOC101219909,11,0.8336860986547086,0.8865860443325232,0.8601360714936159
39,LOC101245634,LOC101213014,11,0.5494242152466368,0.755105267781324,0.6522647415139804
40,LOC101245634,LOC101203515,11,0.5229775784753363,0.8330883429474979,0.678032960711417
41,LOC101256097,LOC101222840,11,0.745219730941704,0.7716318702234195,0.7584258005825617
42,LOC101256097,LOC101219909,11,0.8226152466367713,0.8738075019765161,0.8482113743066437
43,LOC101256097,LOC101213014,11,0.9736825112107624,0.8992884542180316,0.936485482714397
44,LOC101256097,LOC101203515,11,0.9784107623318385,0.9655881233346023,0.9719994428332204
45,LOC101247227,LOC101214526,12,0.5850403587443946,0.9016817467521693,0.7433610527482819
46,LOC101259582,LOC101215976,13,0.7271892376681615,0.7776814734561213,0.7524353555621414
47,LOC101265154,LOC101219235,14,0.8658295964125561,0.9186553834441158,0.8922424899283359
48,LOC101261099,LOC101219235,14,0.2872825112107623,0.24402799332376796,0.26565525226726516
49,LOC101263788,LOC101219235,14,0.37583497757847534,0.25333958010014346,0.31458727883930937
50,LOC101264607,LOC101223192,15,0.9351318385650224,0.9067201546074786,0.9209259965862504
51,LOC101264607,LOC101216320,15,0.8486313901345292,0.8163548163548163,0.8324931032446727
52,LOC101247771,LOC101223192,15,0.6981596412556054,0.9179584785218589,0.8080590598887321
53,LOC101247771,LOC101216320,15,0.7357273542600897,0.8920643286840471,0.8138958414720684
54,LOC101254555,LOC101216387,16,0.9748376681614349,0.9687505490322392,0.9717941085968371
55,LOC101254555,LOC101220987,16,0.9766026905829596,0.9096131884864279,0.9431079395346937
56,LOC101254555,LOC101211861,16,0.9794941704035875,0.9863124229321412,0.9829032966678644
57,LOC544138,LOC101216387,16,0.9747587443946188,0.966214752130245,0.970486748262432
58,LOC544138,LOC101220987,16,0.9639031390134529,0.9087991566864807,0.9363511478499669
59,LOC544138,LOC101211861,16,0.9742780269058295,0.9768641881317938,0.9755711075188116
60,LOC101260246,LOC101203622,17,0.7852125560538117,0.6397535129929496,0.7124830345233806
61,LOC101267493,LOC101210752,18,0.8823318385650224,0.9106848994172938,0.8965083689911582
62,LOC101246350,LOC101221404,19,0.9395515695067265,0.936344795499725,0.9379481825032258
63,LOC101246350,LOC101204760,19,0.770152466367713,0.8943456999795028,0.8322490831736078
64,LOC101267143,LOC101221404,19,0.870304932735426,0.9269876593820255,0.8986462960587258
65,LOC101267143,LOC101204760,19,0.7174618834080717,0.8447951743726391,0.7811285288903553
66,LOC101263643,LOC101221404,19,0.8785076233183857,0.8916934269046946,0.8851005251115401
67,LOC101263643,LOC101204760,19,0.678457399103139,0.7985066323094492,0.7384820157062941
68,LOC101252786,LOC101221404,19,0.9425578475336323,0.9139084913732801,0.9282331694534562
69,LOC101252786,LOC101204760,19,0.795429596412556,0.8352961845919593,0.8153628905022576
70,LOC101247411,LOC101221404,19,0.8781775784753364,0.8878022117458737,0.882989895110605
71,LOC101247411,LOC101204760,19,0.7489004484304932,0.8480103071652367,0.7984553777978649
72,LOC101245609,LOC101221404,19,0.6526493273542601,0.7955062321259504,0.7240777797401052
73,LOC101245609,LOC101204760,19,0.5950995515695068,0.6135925741559544,0.6043460628627306
74,LOC101248904,LOC101221404,19,0.9441004484304932,0.9441207187686061,0.9441105835995497
75,LOC101248904,LOC101204760,19,0.7565632286995516,0.8998272378554069,0.8281952332774792
76,LOC101253645,LOC101221404,19,0.8563587443946188,0.8374701895828657,0.8469144669887423
77,LOC101253645,LOC101204760,19,0.7870636771300449,0.8904043805452256,0.8387340288376353
78,LOC101266105,LOC101221770,20,0.8720143497757848,0.9010375489248729,0.8865259493503288
79,JJH1,LOC101207085,22,0.7400035874439461,0.9015548593013382,0.8207792233726421
80,LOC101262678,LOC101209467,23,0.8429560538116593,0.8876636116072736,0.8653098327094664
81,LOC101262925,LOC101222313,24,0.9889793721973094,0.9934994582881906,0.9912394152427499
82,LOC101258822,LOC101222313,24,0.9938295964125561,0.9956663055254604,0.9947479509690083
83,LOC101248963,LOC101205210,25,0.9457506726457399,0.9477126096844406,0.9467316411650902
84,FIE,LOC101214918,26,0.7914260089686098,0.7756467193086911,0.7835363641386505
85,LOC101246577,LOC101222726,27,0.8004623816641755,0.8110509209100759,0.8057566512871257
86,LOC101246577,LOC101211047,27,0.9286776283009467,0.7644344235893532,0.8465560259451499
87,LOC101268738,LOC101222726,27,0.7416681614349776,0.8706919270299552,0.8061800442324665
88,LOC101268738,LOC101211047,27,0.5890582959641255,0.6428508682029809,0.6159545820835532
89,LOC101260710,LOC101222726,27,0.7632143497757847,0.7542151035108782,0.7587147266433314
90,LOC101260710,LOC101211047,27,0.5864035874439462,0.46222365377294955,0.5243136206084479
91,LOC101254537,LOC101215596,29,0.9314726457399103,0.9171210213463734,0.9242968335431418
92,LOC101253278,LOC101213873,30,0.8740017937219731,0.9035108781587654,0.8887563359403692
93,LOC101264226,LOC101214599,33,0.816437668161435,0.7275453134608064,0.7719914908111207
94,LOC101264226,LOC101215724,33,0.8035802690582959,0.8203683640303359,0.8119743165443158
95,LOC101267596,LOC101214599,33,0.7742493273542601,0.857239905127229,0.8157446162407446
96,LOC101267596,LOC101215724,33,0.7463318385650224,0.8044976721033059,0.7754147553341642
97,LOC101246155,LOC101222745,34,0.9453847533632287,0.8300254750958976,0.8877051142295631
98,LOC101246476,LOC101222745,34,0.8884807174887893,0.8127024098855085,0.8505915636871488
