arabidopsis,tomato,Group Number
AT5G49020,Solyc12g099560.2,OG0002934
AT5G49020,Solyc05g054240.3,OG0002934
AT3G06930,Solyc12g099560.2,OG0002934
AT3G06930,Solyc05g054240.3,OG0002934
AT4G38060,Solyc12g087960.2,OG0002321
AT4G38060,Solyc04g076340.3,OG0002321
AT5G65480,Solyc12g087960.2,OG0002321
AT5G65480,Solyc04g076340.3,OG0002321
AT2G33770,Solyc02g078210.3,OG0006734
AT4G32605,Solyc11g006400.2,OG0008436
AT1G75450,Solyc04g080820.2,OG0009757
AT3G12685,Solyc01g005910.3,OG0011258
AT3G13330,Solyc07g066030.4,OG0011759
AT2G18510,Solyc12g042330.1,OG0003709
AT2G18510,Solyc03g118800.3,OG0003709
AT2G25530,Solyc06g066090.3,OG0006384
AT1G76150,Solyc12g094450.3,OG0008797
AT3G04080,Solyc08g016010.3,OG0002833
AT3G04080,Solyc12g096560.2,OG0002833
AT5G18280,Solyc08g016010.3,OG0002833
AT5G18280,Solyc12g096560.2,OG0002833
AT5G56450,Solyc08g063010.3,OG0012387
AT5G28680,Solyc01g059910.2,OG0002954
AT5G28680,Solyc07g008400.3,OG0002954
AT3G04690,Solyc01g059910.2,OG0002954
AT3G04690,Solyc07g008400.3,OG0002954
AT4G15560,Solyc01g067890.4,OG0007918
AT3G47610,Solyc03g116140.3,OG0010826
AT2G17190,Solyc02g061630.1,OG0000169
AT2G17190,Solyc02g061610.1,OG0000169
AT2G17190,Solyc02g060595.1,OG0000169
AT2G17190,Solyc02g061710.2,OG0000169
AT2G17190,Solyc03g032160.3,OG0000169
AT2G17190,Solyc02g060580.3,OG0000169
AT2G17190,Solyc02g060570.1,OG0000169
AT2G17190,Solyc02g061680.3,OG0000169
AT2G17190,Solyc02g060585.1,OG0000169
AT2G17190,Solyc02g082800.3,OG0000169
AT2G17190,Solyc02g061670.1,OG0000169
AT2G17190,Solyc02g060600.1,OG0000169
AT2G17190,Solyc02g061665.1,OG0000169
AT2G17190,Solyc02g061720.3,OG0000169
AT2G17190,Solyc02g061640.2,OG0000169
AT2G17190,Solyc02g060590.2,OG0000169
AT2G17200,Solyc02g061630.1,OG0000169
AT2G17200,Solyc02g061610.1,OG0000169
AT2G17200,Solyc02g060595.1,OG0000169
AT2G17200,Solyc02g061710.2,OG0000169
AT2G17200,Solyc03g032160.3,OG0000169
AT2G17200,Solyc02g060580.3,OG0000169
AT2G17200,Solyc02g060570.1,OG0000169
AT2G17200,Solyc02g061680.3,OG0000169
AT2G17200,Solyc02g060585.1,OG0000169
AT2G17200,Solyc02g082800.3,OG0000169
AT2G17200,Solyc02g061670.1,OG0000169
AT2G17200,Solyc02g060600.1,OG0000169
AT2G17200,Solyc02g061665.1,OG0000169
AT2G17200,Solyc02g061720.3,OG0000169
AT2G17200,Solyc02g061640.2,OG0000169
AT2G17200,Solyc02g060590.2,OG0000169
AT1G78410,Solyc10g007580.1,OG0002567
AT1G78410,Solyc07g056600.1,OG0002567
AT1G17147,Solyc10g007580.1,OG0002567
AT1G17147,Solyc07g056600.1,OG0002567
AT5G42740,Solyc12g014380.3,OG0013330
AT4G26900,Solyc07g064810.3,OG0007586
AT1G08610,Solyc04g010050.4,OG0008744
AT5G24450,Solyc12g011180.3,OG0005683
AT3G49410,Solyc12g011180.3,OG0005683
AT3G58590,Solyc07g053380.2,OG0010630
AT1G02730,Solyc09g075550.3,OG0009723
AT2G15170,Solyc03g013060.2,OG0000414
AT2G15170,Solyc01g080800.3,OG0000414
AT2G15170,Solyc01g107540.4,OG0000414
AT2G15170,Solyc03g013110.2,OG0000414
AT2G15170,Solyc01g080790.3,OG0000414
AT2G15170,Solyc03g013090.1,OG0000414
AT2G15170,Solyc03g013040.1,OG0000414
AT2G15130,Solyc03g013060.2,OG0000414
AT2G15130,Solyc01g080800.3,OG0000414
AT2G15130,Solyc01g107540.4,OG0000414
AT2G15130,Solyc03g013110.2,OG0000414
AT2G15130,Solyc01g080790.3,OG0000414
AT2G15130,Solyc03g013090.1,OG0000414
AT2G15130,Solyc03g013040.1,OG0000414
AT2G15220,Solyc03g013060.2,OG0000414
AT2G15220,Solyc01g080800.3,OG0000414
AT2G15220,Solyc01g107540.4,OG0000414
AT2G15220,Solyc03g013110.2,OG0000414
AT2G15220,Solyc01g080790.3,OG0000414
AT2G15220,Solyc03g013090.1,OG0000414
AT2G15220,Solyc03g013040.1,OG0000414
AT1G74690,Solyc05g007130.4,OG0002619
AT1G74690,Solyc02g087760.3,OG0002619
AT1G18840,Solyc05g007130.4,OG0002619
AT1G18840,Solyc02g087760.3,OG0002619
AT3G15840,Solyc12g042770.3,OG0010782
AT3G52230,Solyc11g007680.2,OG0011357
AT1G70190,Solyc11g071530.1,OG0005134
AT1G70190,Solyc02g031970.1,OG0005134
AT3G58120,Solyc07g053450.4,OG0001937
AT3G58120,Solyc12g010800.2,OG0001937
AT2G42380,Solyc07g053450.4,OG0001937
AT2G42380,Solyc12g010800.2,OG0001937
AT4G22200,Solyc01g104030.3,OG0004384
AT4G22200,Solyc10g024360.2,OG0004384
AT3G32090,Solyc06g068460.3,OG0002538
AT3G32090,Solyc03g116890.3,OG0002538
AT1G80840,Solyc06g068460.3,OG0002538
AT1G80840,Solyc03g116890.3,OG0002538
AT3G51570,Solyc06g065150.1,OG0000008
AT5G45200,Solyc06g065150.1,OG0000008
AT1G72840,Solyc06g065150.1,OG0000008
AT2G14080,Solyc06g065150.1,OG0000008
AT5G66640,Solyc06g065150.1,OG0000008
AT5G41550,Solyc06g065150.1,OG0000008
AT4G16950,Solyc06g065150.1,OG0000008
AT5G45050,Solyc06g065150.1,OG0000008
AT1G65850,Solyc06g065150.1,OG0000008
AT1G69550,Solyc06g065150.1,OG0000008
AT5G45060,Solyc06g065150.1,OG0000008
AT5G46520,Solyc06g065150.1,OG0000008
AT4G19510,Solyc06g065150.1,OG0000008
AT4G16920,Solyc06g065150.1,OG0000008
AT5G17890,Solyc06g065150.1,OG0000008
AT5G41750,Solyc06g065150.1,OG0000008
AT4G16890,Solyc06g065150.1,OG0000008
AT5G46470,Solyc06g065150.1,OG0000008
AT1G63730,Solyc06g065150.1,OG0000008
AT5G46500,Solyc06g065150.1,OG0000008
AT1G31540,Solyc06g065150.1,OG0000008
AT4G16960,Solyc06g065150.1,OG0000008
AT4G09430,Solyc06g065150.1,OG0000008
AT5G45260,Solyc06g065150.1,OG0000008
AT5G18360,Solyc06g065150.1,OG0000008
AT4G19470,Solyc06g065150.1,OG0000008
AT1G63750,Solyc06g065150.1,OG0000008
AT3G04210,Solyc06g065150.1,OG0000008
AT3G25505,Solyc06g065150.1,OG0000008
AT4G16880,Solyc06g065150.1,OG0000008
AT5G11250,Solyc06g065150.1,OG0000008
AT4G04110,Solyc06g065150.1,OG0000008
AT1G64070,Solyc06g065150.1,OG0000008
AT1G17600,Solyc06g065150.1,OG0000008
AT5G17880,Solyc06g065150.1,OG0000008
AT4G14370,Solyc06g065150.1,OG0000008
AT1G72860,Solyc06g065150.1,OG0000008
AT1G66090,Solyc06g065150.1,OG0000008
AT5G58120,Solyc06g065150.1,OG0000008
AT5G66630,Solyc06g065150.1,OG0000008
AT5G38350,Solyc06g065150.1,OG0000008
AT3G44630,Solyc06g065150.1,OG0000008
AT4G09360,Solyc06g065150.1,OG0000008
AT5G44510,Solyc06g065150.1,OG0000008
AT1G63880,Solyc06g065150.1,OG0000008
AT1G56540,Solyc06g065150.1,OG0000008
AT3G44670,Solyc06g065150.1,OG0000008
AT5G46450,Solyc06g065150.1,OG0000008
AT5G45230,Solyc06g065150.1,OG0000008
AT5G17680,Solyc06g065150.1,OG0000008
AT5G66620,Solyc06g065150.1,OG0000008
AT5G40100,Solyc06g065150.1,OG0000008
AT1G63860,Solyc06g065150.1,OG0000008
AT5G35510,Solyc06g065150.1,OG0000008
AT5G38850,Solyc06g065150.1,OG0000008
AT4G19530,Solyc06g065150.1,OG0000008
AT1G63870,Solyc06g065150.1,OG0000008
AT5G17950,Solyc06g065150.1,OG0000008
AT1G63740,Solyc06g065150.1,OG0000008
AT4G19520,Solyc06g065150.1,OG0000008
AT5G18370,Solyc06g065150.1,OG0000008
AT3G44480,Solyc06g065150.1,OG0000008
AT1G56520,Solyc06g065150.1,OG0000008
AT5G46490,Solyc06g065150.1,OG0000008
AT5G49140,Solyc06g065150.1,OG0000008
AT4G16940,Solyc06g065150.1,OG0000008
AT4G36150,Solyc06g065150.1,OG0000008
AT5G46260,Solyc06g065150.1,OG0000008
AT5G17970,Solyc06g065150.1,OG0000008
AT5G38340,Solyc06g065150.1,OG0000008
AT5G40060,Solyc06g065150.1,OG0000008
AT5G40910,Solyc06g065150.1,OG0000008
AT5G46510,Solyc06g065150.1,OG0000008
AT4G12010,Solyc06g065150.1,OG0000008
AT5G46270,Solyc06g065150.1,OG0000008
AT4G16857,Solyc06g065150.1,OG0000008
AT5G51630,Solyc06g065150.1,OG0000008
AT4G08450,Solyc06g065150.1,OG0000008
AT5G41540,Solyc06g065150.1,OG0000008
AT4G16900,Solyc06g065150.1,OG0000008
AT5G41740,Solyc06g065150.1,OG0000008
AT5G66610,Solyc06g065150.1,OG0000008
AT1G57650,Solyc06g065150.1,OG0000008
