,arabidopsis,cucumber,Group Number,Species 1 Score,Species 2 Score,Total Score
0,AT2G26300,LOC101216232,0,0.7180024076168241,0.853493903356917,0.7857481554868706
1,AT1G73910,LOC101218049,1,0.8072812169408675,0.7453921421044709,0.7763366795226692
2,AT1G18450,LOC101218049,1,0.9659650530770073,0.9336384163781424,0.9498017347275749
3,AT1G49040,LOC101212131,2,0.9827454127603692,0.9690139996989312,0.9758797062296503
4,AT1G79120,LOC101209435,3,0.8670703680735418,0.9068392794420193,0.8869548237577805
5,AT1G08260,LOC101208568,4,0.9866997409987962,0.972548547343068,0.9796241441709321
6,AT3G45740,LOC101221466,5,0.3994309269324773,0.4117477043504441,0.4055893156414607
7,AT3G45740,LOC101215550,5,0.8289862474008682,0.8220201716092127,0.8255032095050405
8,AT4G02460,LOC101210654,6,0.8902199686280231,0.9267680264940539,0.9084939975610384
9,AT5G17020,LOC101217101,7,0.9767117790829168,0.9715851272015655,0.9741484531422412
10,AT1G19150,LOC101211430,8,0.9955203735453982,0.9953936474484419,0.99545701049692
11,AT3G01280,LOC101207764,9,0.9501623317404151,0.94683125094084,0.9484967913406275
12,AT3G01280,LOC101222822,9,0.9739612592565572,0.9842300165587837,0.9790956379076705
13,AT5G15090,LOC101207764,9,0.8076533031773246,0.946554267650158,0.8771037854137413
14,AT5G15090,LOC101222822,9,0.8848502535293474,0.9790877615535151,0.9319690075414313
15,AT1G60490,LOC101210847,10,0.9553131725823515,0.9176757489086256,0.9364944607454886
16,AT1G65032,LOC101207229,11,0.9510524203844891,0.9289297004365498,0.9399910604105195
17,AT5G62520,LOC101219909,12,0.923227827835131,0.8939602254670749,0.908594026651103
18,AT5G62520,LOC101222840,12,0.8405338910573653,0.7579346680716543,0.7992342795645098
19,AT5G62520,LOC101203515,12,0.5244713578715695,0.7978925184404636,0.6611819381560166
20,AT5G62520,LOC101213014,12,0.5740017915263237,0.8109348186060515,0.6924683050661876
21,AT1G23550,LOC101219909,12,0.742742494436946,0.8611571077324501,0.801949801084698
22,AT1G23550,LOC101222840,12,0.8646335680151753,0.7681228360680415,0.8163782020416084
23,AT1G23550,LOC101203515,12,0.6642541859701602,0.8620984494957097,0.7631763177329349
24,AT1G23550,LOC101213014,12,0.6928537555174552,0.8457263284660544,0.7692900419917548
25,AT2G35510,LOC101219909,12,0.8474300514354502,0.8661213976282469,0.8567757245318486
26,AT2G35510,LOC101222840,12,0.8570386313063145,0.6830528375733855,0.77004573443985
27,AT2G35510,LOC101203515,12,0.8857841170247692,0.9282914345928045,0.9070377758087869
28,AT2G35510,LOC101213014,12,0.8794075803450918,0.9066686737919615,0.8930381270685266
29,AT1G32230,LOC101219909,12,0.8654434027651114,0.9644504658203289,0.9149469342927201
30,AT1G32230,LOC101222840,12,0.8703242986904024,0.7851512870690953,0.8277377928797489
31,AT1G32230,LOC101203515,12,0.8843322511217306,0.9556224597320487,0.9199773554268897
32,AT1G32230,LOC101213014,12,0.8957939663663226,0.9071503838627126,0.9014721751145176
33,AT1G70440,LOC101219909,12,0.7040820048881917,0.8415341127669894,0.7728080588275905
34,AT1G70440,LOC101222840,12,0.8147229416700106,0.768502182748758,0.7916125622093844
35,AT1G70440,LOC101203515,12,0.6035019881078321,0.8568417883486377,0.7301718882282349
36,AT1G70440,LOC101213014,12,0.6054134899500238,0.8873822068342617,0.7463978483921427
37,AT3G17668,LOC101214526,13,0.8968518586072302,0.9432665964172813,0.9200592275122557
38,AT5G26749,LOC101215976,14,0.8016707401597782,0.8743880776757489,0.8380294089177636
39,AT2G26695,LOC101219235,15,0.5269251814832379,0.636646093632395,0.5817856375578164
40,AT5G25490,LOC101219235,15,0.7766607084230109,0.8811259972903808,0.8288933528566959
41,AT3G15680,LOC101219235,15,0.8698792543683653,0.8985458377239199,0.8842125460461426
42,AT1G51540,LOC101223192,16,0.9562032612264255,0.9520818907120278,0.9541425759692266
43,AT1G51540,LOC101216320,16,0.8513916754824353,0.8359415926539214,0.8436666340681784
44,AT3G27220,LOC101223192,16,0.831233356436727,0.9097094686135782,0.8704714125251526
45,AT3G27220,LOC101216320,16,0.848021011928647,0.8585036880927293,0.8532623500106882
46,AT4G33865,LOC101220987,17,0.9708386531937402,0.9169485005101443,0.9438935768519423
