,arabidopsis,sorghum,Group Number,Species 1 Score,Species 2 Score,Total Score
0,AT2G26300,LOC8082019,0,0.7988231495102436,0.7414320861424417,0.7701276178263426
1,AT1G73910,LOC8078015,1,0.8207958092641097,0.8573026168642361,0.8390492130641729
2,AT1G18450,LOC8078015,1,0.9507803810412256,0.9557657283445697,0.9532730546928977
3,AT1G49040,LOC110433463,2,0.9925872770980589,0.9885484231715499,0.9905678501348044
4,AT1G79120,LOC8054192,3,0.6875892504754045,0.761855768923539,0.7247225096994718
5,AT1G08260,LOC8056089,4,0.9779627569875498,0.9822538901492155,0.9801083235683826
6,AT3G45740,LOC8081451,5,0.5069427002978005,0.4042204968172313,0.4555815985575159
7,AT4G02460,LOC8055441,6,0.982311363065552,0.948710739048471,0.9655110510570115
8,AT5G17020,LOC8059248,8,0.9645724947077607,0.9774674888966993,0.97101999180223
9,AT5G17020,LOC8057329,8,0.9262028631911305,0.9322874396907052,0.9292451514409179
10,AT1G19150,LOC110432811,9,0.9940224606221522,0.9933923379237627,0.9937073992729575
11,AT3G01280,LOC8054614,10,0.9788382189372467,0.9786944435568905,0.9787663312470686
12,AT3G01280,LOC8082455,10,0.9551289871192279,0.8919704764034891,0.9235497317613586
13,AT5G15090,LOC8054614,10,0.9777546553765563,0.9664504585104003,0.9721025569434782
14,AT5G15090,LOC8082455,10,0.9037637687919342,0.8280282455187398,0.865896007155337
15,AT1G60490,LOC110436820,11,0.9685551289871192,0.9860050484071956,0.9772800886971573
16,AT1G65032,LOC8079007,12,0.9699616088407305,0.886634501709429,0.9282980552750797
17,AT1G65032,LOC8073886,12,0.8562448423092104,0.775991309071157,0.8161180756901837
18,AT5G62520,LOC110431750,13,0.7425998349538947,0.7891746812793559,0.7658872581166253
19,AT5G62520,LOC8055479,13,0.2630404362957913,0.5618302073681183,0.4124353218319548
20,AT5G62520,LOC8061389,13,0.8032076351763482,0.8538518068824488,0.8285297210293985
21,AT5G62520,LOC8085247,13,0.9845287216102759,0.9280570022685881,0.956292861939432
22,AT1G23550,LOC110431750,13,0.7941013957159773,0.7895197622775345,0.7918105789967559
23,AT1G23550,LOC8055479,13,0.5613935632018945,0.632418442662236,0.5969060029320652
24,AT1G23550,LOC8061389,13,0.7695884611244663,0.8385212640189156,0.804054862571691
25,AT1G23550,LOC8085247,13,0.8456531879014029,0.8799309838003643,0.8627920858508835
26,AT2G35510,LOC110431750,13,0.9052778874098525,0.740537431702719,0.8229076595562858
27,AT2G35510,LOC8055479,13,0.9019123820458541,0.8692718151899542,0.8855920986179042
28,AT2G35510,LOC8061389,13,0.9172688457536508,0.8876569639262549,0.9024629048399528
29,AT2G35510,LOC8085247,13,0.7434178895626278,0.5785091222800907,0.6609635059213592
30,AT1G32230,LOC110431750,13,0.9211438412687023,0.8673930408665367,0.8942684410676195
31,AT1G32230,LOC8055479,13,0.7525097771877579,0.8033230022046841,0.777916389696221
32,AT1G32230,LOC8061389,13,0.9132216282157082,0.9654471674601399,0.939334397837924
33,AT1G32230,LOC8085247,13,0.7991460658031646,0.6714573281784196,0.7353016969907922
34,AT1G70440,LOC110431750,13,0.7648451795773384,0.7018244560181487,0.7333348177977436
35,AT1G70440,LOC8055479,13,0.6378242617774748,0.7148800204492443,0.6763521411133595
36,AT1G70440,LOC8061389,13,0.7655268917512827,0.8083458478448413,0.786936369798062
37,AT1G70440,LOC8085247,13,0.7302572566466937,0.8035658369811803,0.766911546813937
38,AT3G17668,LOC8060460,14,0.8118976714147322,0.8305013260056875,0.8211994987102098
39,AT5G26749,LOC8085799,15,0.8904883211940726,0.7974566252356456,0.8439724732148591
40,AT2G26695,LOC110434870,16,0.46030322238567367,0.6600632648496662,0.5601832436176699
41,AT2G26695,LOC8068430,16,0.6705496354235188,0.7547432661277439,0.7126464507756314
42,AT5G25490,LOC110434870,16,0.7472681680280977,0.8462344633670958,0.7967513156975967
43,AT5G25490,LOC8068430,16,0.6831553307101368,0.6966482410454676,0.6899017858778023
44,AT3G15680,LOC110434870,16,0.709490948377246,0.7056778604978112,0.7075844044375286
45,AT3G15680,LOC8068430,16,0.5165464700465239,0.6712720069016199,0.5939092384740718
46,AT1G51540,LOC8074059,17,0.8442610598830326,0.6341694092085502,0.7392152345457914
47,AT1G51540,LOC8060170,17,0.8662983028954827,0.7720292679809566,0.8191637854382197
48,AT3G27220,LOC8074059,17,0.8269926127914717,0.8326548870498769,0.8298237499206743
49,AT3G27220,LOC8060170,17,0.7532401261366852,0.7763939035690322,0.7648170148528587
50,AT4G33865,LOC8067195,18,0.9679308241541388,0.9852062498003004,0.9765685369772196
51,AT4G33865,LOC8083955,18,0.9641491155681533,0.9809956935879548,0.972572404578054
52,AT4G33865,LOC8079144,18,0.9739155394496071,0.9828134041956452,0.9783644718226261
53,AT3G43980,LOC8067195,18,0.9560905600803703,0.9844841358596671,0.9702873479700187
54,AT3G43980,LOC8083955,18,0.9361630368483369,0.9794477993985934,0.9578054181234652
55,AT3G43980,LOC8079144,18,0.94807506009831,0.979852524026087,0.9639637920621985
56,AT3G44010,LOC8067195,18,0.9707150801908794,0.9851167843563281,0.9779159322736037
57,AT3G44010,LOC8083955,18,0.9650963366940548,0.9800087335314354,0.9725525351127451
58,AT3G44010,LOC8079144,18,0.9681604535179935,0.9814927238322452,0.9748265886751193
59,AT2G20825,LOC8082355,19,0.7432097879516343,0.6405789692302777,0.6918943785909559
