,arabidopsis,grape,Group Number,Species 1 Score,Species 2 Score,Total Score
0,AT5G42200,LOC100267702,0,0.5485030304876192,0.7825833603107802,0.6655431953991997
1,AT2G26300,LOC100244127,1,0.8200895440562849,0.8608199181847611,0.840454731120523
2,AT1G73910,LOC100266467,2,0.8497365455486858,0.8211954442449749,0.8354659948968304
3,AT1G18450,LOC100266467,2,0.8465263606737125,0.8496659701580388,0.8480961654158756
4,AT1G49040,LOC100254135,3,0.9656443212621448,0.9873274669648902,0.9764858941135175
5,AT1G79120,LOC100256382,4,0.8654524411415345,0.769410518261279,0.8174314797014068
6,AT1G08260,LOC100241432,5,0.9439344561873725,0.9886871302863532,0.9663107932368629
7,AT3G45740,LOC100254815,6,0.8003898516736211,0.6079048824273816,0.7041473670505014
8,AT3G45740,LOC100241719,6,0.7737154691925807,0.7990700138320727,0.7863927415123266
9,AT4G02460,LOC100255596,7,0.9478390643559833,0.931634244680538,0.9397366545182606
10,AT5G17020,LOC100256288,8,0.9283830292693327,0.9345595809176256,0.9314713050934791
11,AT1G19150,LOC100268126,9,0.9904486339962842,0.9852202831160424,0.9878344585561634
12,AT3G01280,LOC100264665,10,0.9100417263119422,0.9114806203831779,0.91076117334756
13,AT3G01280,LOC100248362,10,0.9498065970212896,0.9506871891462374,0.9502468930837635
14,AT5G15090,LOC100264665,10,0.8417811348338562,0.9096147620589187,0.8756979484463874
15,AT5G15090,LOC100248362,10,0.9211159504157402,0.9104741163659907,0.9157950333908655
16,AT1G60490,LOC100263708,11,0.9794657813784912,0.941681626887195,0.960573704132843
17,AT1G65032,LOC100852488,12,0.7733317089513599,0.7822596309485271,0.7777956699499435
18,AT5G62520,LOC100852765,13,0.7950415740261322,0.795138173577798,0.7950898738019652
19,AT5G62520,LOC100260925,13,0.4410014314866141,0.6392477706818918,0.5401246010842529
20,AT5G62520,LOC100245401,13,0.7852039106996009,0.729321051237529,0.757262480968565
21,AT5G62520,LOC100245552,13,0.3931836871440319,0.6672297595573736,0.5302067233507027
22,AT5G62520,LOC100265712,13,0.8825450004568574,0.8075517231231054,0.8450483617899813
