,arabidopsis,rice_jp,Group Number,Species 1 Score,Species 2 Score,Total Score
0,AT2G26300,Os05g0333200,0,0.6674511322618923,0.8288035685837183,0.7481273504228053
1,AT1G73910,Os08g0137200,1,0.9056034675365298,0.8182507567309224,0.8619271121337261
2,AT1G18450,Os08g0137200,1,0.9603646275526163,0.8669491795443683,0.9136569035484923
3,AT1G49040,Os01g0575500,2,1.0,0.9936657638999522,0.9968328819499761
4,AT1G79120,Os03g0668400,3,0.8408478186394983,0.798547076628963,0.8196974476342307
5,AT3G45740,Os03g0284500,5,0.6805822422807096,0.4922415166480803,0.586411879464395
6,AT4G02460,Os02g0592300,6,0.9828219057407135,0.9781041898996335,0.9804630478201735
7,AT5G17020,Os03g0858100,7,0.9712677063318289,0.9797546598693643,0.9755111831005966
8,AT1G19150,Os09g0439500,8,0.9102481989563629,0.9725728851362115,0.9414105420462873
9,AT3G01280,Os01g0588200,9,0.9598462844631128,0.9683989166799427,0.9641226005715278
10,AT3G01280,Os09g0361400,9,0.7590955806783145,0.8055249322924964,0.7823102564854054
11,AT5G15090,Os01g0588200,9,0.890129138924885,0.9126844033774095,0.9014067711511473
12,AT5G15090,Os09g0361400,9,0.7612493855846999,0.8225776644894057,0.7919135250370528
13,AT1G60490,Os05g0180600,10,0.9439844752414572,0.9523339174765015,0.9481591963589794
14,AT1G65032,Os02g0695700,11,0.912194468028062,0.8338250756730922,0.8730097718505772
15,AT5G62520,Os04g0672200,12,0.2813550401914493,0.6210673888800382,0.45121121453574375
16,AT5G62520,Os03g0230300,12,0.9548932282745232,0.8373809144495779,0.8961370713620505
17,AT5G62520,Os03g0854800,12,0.48748082279518,0.7483893579735542,0.6179350903843671
18,AT5G62520,Os06g0248400,12,0.4871034849139322,0.6128277839732356,0.5499656344435839
19,AT5G62520,Os10g0577800,12,0.8443232991246753,0.7163804365142583,0.7803518678194667
20,AT1G23550,Os04g0672200,12,0.6334382361014471,0.7081408316074558,0.6707895338544514
21,AT1G23550,Os03g0230300,12,0.799295257671414,0.8267452604747492,0.8130202590730815
22,AT1G23550,Os03g0854800,12,0.6574786311146291,0.7972853273856938,0.7273819792501615
23,AT1G23550,Os06g0248400,12,0.6999802110396864,0.7120152939302214,0.7059977524849539
24,AT1G23550,Os10g0577800,12,0.7754080675122723,0.7497976740481122,0.7626028707801922
25,AT2G35510,Os04g0672200,12,0.7975036120172184,0.8493165524932292,0.8234100822552238
26,AT2G35510,Os03g0230300,12,0.800676229202973,0.6859009080771069,0.7432885686400399
27,AT2G35510,Os03g0854800,12,0.8648733187363153,0.8954150071690298,0.8801441629526725
28,AT2G35510,Os06g0248400,12,0.8559810536663837,0.8006372470925601,0.828309150379472
29,AT2G35510,Os10g0577800,12,0.9016786570743406,0.7823737454197865,0.8420262012470636
30,AT1G32230,Os04g0672200,12,0.7644890298940972,0.8200732834156444,0.7922811566548709
31,AT1G32230,Os03g0230300,12,0.8050516108852048,0.748089851840051,0.7765707313626279
32,AT1G32230,Os03g0854800,12,0.8572210554537736,0.9299665445276406,0.8935937999907071
33,AT1G32230,Os06g0248400,12,0.8861544304928728,0.8508268281025968,0.8684906292977348
34,AT1G32230,Os10g0577800,12,0.9020510299834666,0.8143380595826032,0.8581945447830349
35,AT1G70440,Os04g0672200,12,0.5324507031464447,0.7532834156444161,0.6428670593954304
36,AT1G70440,Os03g0230300,12,0.7853663830249022,0.7793085869045722,0.7823374849647372
37,AT1G70440,Os03g0854800,12,0.6617428328854219,0.8289119005894536,0.7453273667374378
38,AT1G70440,Os06g0248400,12,0.6572615909047385,0.6779162020073284,0.6675888964560335
39,AT1G70440,Os10g0577800,12,0.795656642387953,0.7331782698741437,0.7644174561310484
40,AT3G17668,Os04g0589200,13,0.7804102059966933,0.788026127130795,0.7842181665637442
41,AT5G26749,Os01g0252200,14,0.8650371628163308,0.8788147204078381,0.8719259416120845
42,AT2G26695,Os01g0555100,15,0.6233267157347768,0.8491891030747172,0.736257909404747
43,AT2G26695,Os06g0141200,15,0.6668113601399271,0.8587732993468217,0.7627923297433744
44,AT2G26695,Os02g0203700,15,0.4478816237161114,0.43845786203600445,0.4431697428760579
45,AT5G25490,Os01g0555100,15,0.6105724116359087,0.6234443205352875,0.6170083660855981
46,AT5G25490,Os06g0141200,15,0.6697528933375039,0.6425935956667197,0.6561732445021118
47,AT5G25490,Os02g0203700,15,0.6723267348853836,0.7665190377568902,0.7194228863211369
48,AT3G15680,Os01g0555100,15,0.6890053174851423,0.7149530030269237,0.701979160256033
49,AT3G15680,Os06g0141200,15,0.6979869520532642,0.8248526366098454,0.7614197943315548
50,AT3G15680,Os02g0203700,15,0.7681420081326243,0.8324040146566831,0.8002730113946537
51,AT1G51540,Os08g0128000,16,0.8652754814781715,0.6748637884339652,0.7700696349560683
52,AT1G51540,Os04g0487100,16,0.9169131775325081,0.8620551218735064,0.8894841497030073
53,AT3G27220,Os08g0128000,16,0.8712760049280894,0.7135638043651427,0.792419904646616
54,AT3G27220,Os04g0487100,16,0.8591472873165531,0.8763613191014815,0.8677543032090174
55,AT4G33865,Os03g0773150,17,0.9806961883909022,0.9777919388242791,0.9792440636075906
56,AT3G43980,Os03g0773150,17,0.9777533784862085,0.9753767723434762,0.9765650754148423
57,AT3G44010,Os03g0773150,17,0.9793904007229,0.9792257447825394,0.9793080727527197
58,AT2G20825,Os01g0780800,18,0.5811028196076679,0.6766480802931336,0.6288754499504008
59,AT4G28190,Os01g0780800,18,0.6425108360516556,0.4930763103393341,0.5677935731954948
60,AT5G08170,Os04g0466600,19,0.6727480482339948,0.8086346981041899,0.7406913731690923
61,AT1G71930,Os06g0104200,20,0.5064122614951517,0.6425617333120918,0.5744869974036217
62,AT1G71930,Os02g0643600,20,0.6628535680772153,0.6036429292124688,0.6332482486448421
63,AT1G71930,Os10g0532000,20,0.7484918897180393,0.7615357654930699,0.7550138276055546
64,AT1G71930,Os08g0103900,20,0.4719044640064346,0.48320322871860233,0.47755384636251846
65,AT5G66300,Os06g0104200,20,0.5486989290555134,0.5652254261589931,0.5569621776072533
66,AT5G66300,Os02g0643600,20,0.5781014939601115,0.5912520135237994,0.5846767537419555
67,AT5G66300,Os10g0532000,20,0.5465242712662168,0.6948606021985025,0.6206924367323596
68,AT5G66300,Os08g0103900,20,0.29197015058760445,0.4413502557839024,0.36666020318575343
69,AT4G36160,Os06g0104200,20,0.5836977268229782,0.6079847060697785,0.5958412164463783
70,AT4G36160,Os02g0643600,20,0.4694196727799659,0.5601755969766166,0.5147976348782912
71,AT4G36160,Os10g0532000,20,0.7505122787306978,0.7436354946630556,0.7470738866968767
72,AT4G36160,Os08g0103900,20,0.552252430531174,0.559226806861027,0.5557396186961006
73,AT1G62700,Os06g0104200,20,0.5591353004552879,0.5088609208220488,0.5339981106386684
74,AT1G62700,Os02g0643600,20,0.45764134034387394,0.5476926344856885,0.5026669874147812
75,AT1G62700,Os10g0532000,20,0.7674853905695319,0.7663979608093039,0.7669416756894178
76,AT1G62700,Os08g0103900,20,0.6497758315087061,0.5022002726001451,0.5759880520544256
77,AT2G18060,Os06g0104200,20,0.48155264608189224,0.5827114863788434,0.5321320662303678
78,AT2G18060,Os02g0643600,20,0.5907025932049392,0.5186908112509514,0.5546967022279453
79,AT2G18060,Os10g0532000,20,0.7659859689887841,0.7440497052732197,0.7550178371310019
80,AT2G18060,Os08g0103900,20,0.48740634821335477,0.49785991184748557,0.4926331300304202
81,AT1G12260,Os06g0104200,20,0.5498706624762302,0.6091827306037917,0.579526696540011
82,AT1G12260,Os02g0643600,20,0.6457839939228741,0.5905085585824792,0.6181462762526766
83,AT1G12260,Os10g0532000,20,0.7301785900472169,0.7096829695714514,0.7199307798093342
84,AT1G12260,Os08g0103900,20,0.5432175998331769,0.49866001097481105,0.520938805403994
85,AT5G07590,Os10g0563300,21,0.8424750882523795,0.8836514258403696,0.8630632570463745
86,AT5G16940,Os09g0397700,24,0.6521164612232131,0.7056173331209176,0.6788668971720653
87,AT1G08480,Os08g0112800,25,0.9930242141690375,0.9800931088807463,0.9865586615248919
88,AT5G08565,Os07g0623400,26,0.8818535233924661,0.938257129201848,0.9100553262971571
89,AT5G63670,Os07g0623400,26,0.8123575673622593,0.9302533057192927,0.871305436540776
90,AT3G20740,Os08g0137100,27,0.9006658027615175,0.7722415166480803,0.8364536597047989
91,AT2G29390,Os07g0101500,28,0.9064748201438849,0.8483479369125378,0.8774113785282114
92,AT1G07420,Os07g0101500,28,0.7763416595915814,0.762478891190059,0.7694102753908202
93,AT3G21740,Os04g0628000,30,0.8665355914026543,0.91088736657639,0.8887114789895222
94,AT5G07300,Os05g0373300,33,0.5929219357433309,0.7495746375657162,0.6712482866545235
95,AT5G07300,Os02g0521300,33,0.8315831806604406,0.8918655408634698,0.8617243607619551
96,AT1G08860,Os05g0373300,33,0.8231526579978253,0.9171260156125538,0.8701393368051895
97,AT1G08860,Os02g0521300,33,0.7493632423253943,0.8000955870638841,0.7747294146946392
98,AT3G02580,Os01g0134500,36,0.8333348228249698,0.6860665923211725,0.7597007075730712
99,AT1G44790,Os04g0448600,37,0.7339718287481816,0.7226318304922733,0.7283018296202275
100,AT2G24240,Os04g0501500,38,0.5775822997325298,0.5976230683447508,0.5876026840386404
101,AT2G24240,Os02g0612700,38,0.7587470396353725,0.9097785566353354,0.8342627981353539
102,AT4G30940,Os04g0501500,38,0.7300594307162965,0.4906738888003823,0.6103666597583395
103,AT4G30940,Os02g0612700,38,0.6460185888556236,0.6875768679305401,0.6667977283930818
104,AT4G39830,Os09g0365900,39,0.8262146272334394,0.7927637052378171,0.8094891662356283
105,AT4G36050,Os09g0536000,40,0.9352071138120559,0.878929424884499,0.9070682693482774
106,AT4G09020,Os08g0520900,41,0.6916305464944814,0.7283351919706866,0.709982869232584
107,AT2G39930,Os08g0520900,41,0.5267736121661677,0.710645212681217,0.6187094124236924
108,AT1G55270,Os03g0167800,42,0.745665579337772,0.8333280229408954,0.7894968011393337
109,AT1G55270,Os10g0409900,42,0.8448880647035167,0.8735807976209441,0.8592344311622304
110,AT5G42850,Os06g0320000,43,0.8904866169176461,0.7884594551537358,0.839473036035691
111,AT2G17705,Os03g0136500,44,0.8135702618029801,0.7684491883950224,0.7910097250990012
112,AT4G01870,Os07g0638100,45,0.8995550675697243,0.8515851521427433,0.8755701098562338
113,AT4G34270,Os03g0760600,46,0.847759059832879,0.8380372789549148,0.8428981693938968
114,AT1G08040,Os02g0297600,47,0.8897726539265483,0.8533120917635814,0.8715423728450649
115,AT1G08040,Os01g0971200,47,0.7230290301919955,0.6962115660347299,0.7096202981133627
116,AT1G08040,Os05g0108100,47,0.6976878124829329,0.628089851840051,0.6628888321614919
117,AT1G67850,Os02g0297600,47,0.74622041497237,0.8801465668312889,0.8131834909018294
118,AT1G67850,Os01g0971200,47,0.8165244202153805,0.9202867611916521,0.8684055907035163
119,AT1G67850,Os05g0108100,47,0.7605195346828129,0.7131623386968297,0.7368409366898212
120,AT2G28310,Os02g0297600,47,0.7807319361901783,0.6988242791142265,0.7397781076522024
121,AT2G28310,Os01g0971200,47,0.6101970597435096,0.4785470766289629,0.5443720681862363
122,AT2G28310,Os05g0108100,47,0.5049197908753742,0.4586267325155329,0.48177326169545354
123,AT3G27470,Os02g0297600,47,0.7212788775191027,0.8414656683128884,0.7813722729159955
124,AT3G27470,Os01g0971200,47,0.5923857187541892,0.6698104189899634,0.6310980688720763
125,AT3G27470,Os05g0108100,47,0.6731980874927387,0.5892177791938824,0.6312079333433105
126,AT2G33830,Os11g0671000,49,0.8599516128002654,0.7791266174570302,0.8195391151286477
127,AT1G28330,Os11g0671000,49,0.8085258501273516,0.7777671569929018,0.7931465035601266
128,AT2G32090,Os03g0659300,50,0.8317284060949998,0.8533566990600605,0.8425425525775301
129,AT5G55600,Os08g0431100,51,0.8398498592430403,0.9102055121873506,0.8750276857151955
130,AT5G55600,Os07g0607300,51,0.8048617007015506,0.8777887525888164,0.8413252266451835
131,AT1G68580,Os08g0431100,51,0.8545256075529993,0.8583654612075832,0.8564455343802913
132,AT1G68580,Os07g0607300,51,0.8164159001104351,0.7669906006053847,0.7917032503579099
133,AT1G03030,Os12g0601200,52,0.7593815630725234,0.8005926397960809,0.779987101434302
134,AT5G60620,Os07g0531600,54,0.8321491874823124,0.8106229090329776,0.8213860482576449
135,AT5G36210,Os06g0215400,56,0.8600026810849457,0.7041644097498806,0.7820835454174131
136,AT5G52820,Os10g0104500,57,0.9755753161445999,0.966888641070575,0.9712319786075875
137,AT5G52820,Os11g0594200,57,0.9666919880244872,0.9797801497530668,0.973236068888777
138,AT2G23390,Os04g0442200,58,0.902840460550814,0.9251234666241835,0.9139819635874988
139,AT3G52390,Os07g0158200,60,0.9682068010188123,0.9571068981997769,0.9626568496092947
140,AT2G16430,Os01g0776600,61,0.764343804459538,0.6028803568583719,0.683612080658955
141,AT2G16430,Os12g0637100,61,0.829706421198445,0.7140608570973395,0.7718836391478923
142,AT2G27190,Os01g0776600,61,0.8423458216567827,0.7297881153417238,0.7860669684992533
143,AT2G27190,Os12g0637100,61,0.8285829189354815,0.7830364823960491,0.8058097006657653
144,AT3G09320,Os02g0819100,63,0.891532240046472,0.8337677234347618,0.8626499817406169
145,AT3G09320,Os01g0844400,63,0.8759640734617276,0.8149243269077585,0.8454442001847431
146,AT3G09320,Os05g0458000,63,0.879771214084633,0.7750900111518242,0.8274306126182286
147,AT5G04270,Os02g0819100,63,0.8337181186727637,0.8480611757208858,0.8408896471968248
148,AT5G04270,Os01g0844400,63,0.9348943205683901,0.9070383941373268,0.9209663573528584
149,AT5G04270,Os05g0458000,63,0.8224774217892766,0.730246933248367,0.7763621775188219
150,AT5G39680,Os05g0572900,64,0.9785066356852407,0.9403642929212468,0.9594354643032437
151,AT3G01435,Os02g0189100,65,0.958562342672446,0.9495300302692369,0.9540461864708414
152,AT2G38600,Os05g0190300,67,0.6629684717177456,0.5427624661462481,0.6028654689319969
153,AT2G38600,Os05g0189300,67,0.7294849125136448,0.6820200732834156,0.7057524928985301
154,AT2G38600,Os07g0681200,67,0.6297740866756462,0.6941054643938187,0.6619397755347325
155,AT2G38600,Os05g0190500,67,0.7412689192035901,0.5015070893739048,0.6213880042887474
156,AT5G24780,Os05g0190300,67,0.5609455292908531,0.6304094312569699,0.5956774802739115
157,AT5G24780,Os05g0189300,67,0.6424951963894723,0.767067070256492,0.7047811333229821
158,AT5G24780,Os07g0681200,67,0.604656150855713,0.6433965270033456,0.6240263389295293
159,AT5G24780,Os05g0190500,67,0.5271013003261986,0.6889278317667675,0.6080145660464831
160,AT5G24770,Os05g0190300,67,0.7084655257160731,0.6096797833359885,0.6590726545260308
161,AT5G24770,Os05g0189300,67,0.6949260467402476,0.7767277361797036,0.7358268914599756
162,AT5G24770,Os07g0681200,67,0.4808749273872827,0.6491158196590728,0.5649953735231777
163,AT5G24770,Os05g0190500,67,0.5782765092274007,0.7203568583718337,0.6493166837996172
164,AT2G14835,Os10g0346200,69,0.9729557968532007,0.9797674048112156,0.9763616008322081
165,AT5G15520,Os03g0424500,70,0.9789137633992184,0.9726684722000956,0.975791117799657
166,AT3G02080,Os03g0424500,70,0.9786853746816212,0.9739429663852159,0.9763141705334186
167,AT5G61170,Os03g0424500,70,0.9804231149242097,0.9662067866815358,0.9733149508028728
168,AT3G27080,Os01g0921600,72,0.8335046248715313,0.9484722000955871,0.8909884124835592
169,AT5G40930,Os01g0921600,72,0.7853009517851557,0.8670065317826987,0.8261537417839272
170,AT1G27390,Os01g0921600,72,0.9307274677152688,0.9615867452604748,0.9461571064878718
171,AT1G53400,Os09g0345000,75,0.7854046842384123,0.798738250756731,0.7920714674975716
172,AT1G53400,Os05g0529400,75,0.6337063445960179,0.7796399553927035,0.7066731499943607
173,AT1G53400,Os01g0731000,75,0.7423541202530434,0.8225776644894057,0.7824658923712245
174,AT5G45740,Os09g0345000,75,0.7614791928657607,0.6617683606818543,0.7116237767738075
175,AT5G45740,Os05g0529400,75,0.8020274109018021,0.7287557750517764,0.7653915929767892
176,AT5G45740,Os01g0731000,75,0.6998014720433059,0.6988115341723754,0.6993065031078407
177,AT3G45620,Os10g0544500,76,0.8304958517657924,0.803645053369444,0.8170704525676182
178,AT4G38480,Os10g0544500,76,0.6019532200326695,0.6539939461526206,0.6279735830926451
179,AT4G35140,Os10g0544500,76,0.8451561731980874,0.8142042376931655,0.8296802054456265
180,AT3G49940,Os07g0589000,78,0.47243270157609496,0.7112123625935957,0.5918225320848454
181,AT3G49940,Os03g0445700,78,0.5819358710015129,0.6976722779813428,0.6398040744914278
