,arabidopsis,maize,Group Number,Species 1 Score,Species 2 Score,Total Score
0,AT2G26300,Zm00001d027886,1,0.85642779925067,0.8739890391412913,0.8652084191959807
1,AT1G08260,Zm00001d016581,5,0.9670502169502568,0.9727275675325097,0.9698888922413833
2,AT4G02460,Zm00001d050929,7,0.9171264827402372,0.9181697311671044,0.9176481069536708
3,AT5G17020,Zm00001d034914,9,0.9802597479526708,0.9788111684015954,0.9795354581771332
4,AT5G17020,Zm00001d012815,9,0.9720852399780829,0.9618185945455134,0.9669519172617982
5,AT1G19150,Zm00001d005814,10,0.9802005123876375,0.9783571683367382,0.9792788403621879
6,AT3G01280,Zm00001d044318,11,0.894368178654464,0.7256866750980965,0.8100274268762803
7,AT3G01280,Zm00001d020219,11,0.9619559583573979,0.9864383694911956,0.9741971639242968
8,AT5G15090,Zm00001d044318,11,0.8544878344958313,0.7357265622466517,0.7951071983712414
9,AT5G15090,Zm00001d020219,11,0.9196469560324018,0.9730129390018484,0.9463299475171251
10,AT1G60490,Zm00001d050219,12,0.9243117567787699,0.9251224178746311,0.9247170873267005
11,AT1G65032,Zm00001d017697,13,0.9502310187036297,0.8647079806725687,0.9074694996880992
12,AT1G65032,Zm00001d022063,13,0.978986183304456,0.9610078801439829,0.9699970317242195
13,AT5G62520,Zm00001d047993,14,0.9897729796970101,0.9302965773439554,0.9600347785204828
14,AT5G62520,Zm00001d028307,14,0.9812963703407526,0.9361238123034018,0.9587100913220772
15,AT5G62520,Zm00001d014423,14,0.6340930294548847,0.6917988131141162,0.6629459212845004
16,AT5G62520,Zm00001d052295,14,0.4875205473366209,0.5847585692512242,0.5361395582939226
17,AT5G62520,Zm00001d012821,14,0.753192056510729,0.8282647468949639,0.7907284017028464
18,AT1G23550,Zm00001d047993,14,0.797991914345373,0.923998227237842,0.8609950707916074
19,AT1G23550,Zm00001d028307,14,0.782023698457125,0.9259655608522229,0.853994629654674
20,AT1G23550,Zm00001d014423,14,0.6980826716932275,0.7205564743652106,0.709319573029219
21,AT1G23550,Zm00001d052295,14,0.6209325793492128,0.6318578331225475,0.6263952062358802
22,AT1G23550,Zm00001d012821,14,0.7037565926010548,0.868210266887181,0.785983429744118
23,AT2G35510,Zm00001d047993,14,0.7989804078368653,0.6663063491548753,0.7326433784958704
24,AT2G35510,Zm00001d028307,14,0.8297903060997823,0.6828890618412945,0.7563396839705384
25,AT2G35510,Zm00001d014423,14,0.7981029810298103,0.8615688945098421,0.8298359377698261
26,AT2G35510,Zm00001d052295,14,0.8200386512061842,0.8784317540616792,0.8492352026339317
27,AT2G35510,Zm00001d012821,14,0.8535030432271535,0.8941401563057366,0.8738215997664451
28,AT1G32230,Zm00001d047993,14,0.8007167503369023,0.7610554420555394,0.7808860961962208
29,AT1G32230,Zm00001d028307,14,0.8703333481422245,0.8089632584233226,0.8396483032827735
30,AT1G32230,Zm00001d014423,14,0.910998563537548,0.9244479034925577,0.9177232335150529
31,AT1G32230,Zm00001d052295,14,0.8577309816814016,0.8673087524726789,0.8625198670770402
32,AT1G32230,Zm00001d012821,14,0.9392983547321813,0.935363362194766,0.9373308584634736
33,AT1G70440,Zm00001d047993,14,0.7931197891213885,0.8743104423618092,0.8337151157415988
34,AT1G70440,Zm00001d028307,14,0.7552238363913694,0.8560090151441451,0.8056164257677572
35,AT1G70440,Zm00001d014423,14,0.5914819257482192,0.7348834192690599,0.6631826725086396
36,AT1G70440,Zm00001d052295,14,0.5857212670487361,0.6714531244933034,0.6285871957710197
37,AT1G70440,Zm00001d012821,14,0.691975061827121,0.8473716639102378,0.7696733628686794
38,AT2G26695,Zm00001d011123,17,0.7686999274364329,0.9408034359877924,0.8547516817121126
39,AT2G26695,Zm00001d015737,17,0.3373761606468524,0.5087978726854103,0.42308701666613135
40,AT2G26695,Zm00001d044526,17,0.7825018140891791,0.9604047086292441,0.8714532613592116
41,AT5G25490,Zm00001d011123,17,0.30715332914453264,0.5315620124453668,0.41935767079494973
42,AT5G25490,Zm00001d015737,17,0.8698234991717598,0.7517138502448357,0.8107686747082978
43,AT5G25490,Zm00001d044526,17,0.452885512461682,0.49484061354865905,0.47386306300517056
44,AT3G15680,Zm00001d011123,17,0.3554768568762971,0.747637217916428,0.5515570373963625
45,AT3G15680,Zm00001d015737,17,0.7555580942226283,0.8348412621201803,0.7951996781714044
46,AT3G15680,Zm00001d044526,17,0.42135526741684276,0.703096929013847,0.5622260982153449
47,AT1G51540,Zm00001d003246,18,0.8778562649014469,0.8541492363070338,0.8660027506042403
48,AT3G27220,Zm00001d003246,18,0.8741836598693856,0.8442390634627234,0.8592113616660545
49,AT4G33865,Zm00001d034223,19,0.9717224221422542,0.9549999459523731,0.9633611840473137
50,AT3G43980,Zm00001d034223,19,0.9711374709375509,0.9500203579394162,0.9605789144384835
51,AT3G44010,Zm00001d034223,19,0.9823403971744635,0.9438517221375475,0.9630960596560055
52,AT2G20825,Zm00001d043270,20,0.6833330159999492,0.7762103966014853,0.7297717063007172
53,AT4G28190,Zm00001d043270,20,0.752025115879574,0.6495832927976133,0.7008042043385936
54,AT5G08170,Zm00001d025644,21,0.7277089164334266,0.6252488893212699,0.6764789028773482
55,AT1G71930,Zm00001d002828,22,0.9620862766004709,0.8436812919544703,0.9028837842774706
56,AT1G71930,Zm00001d050039,22,0.9928828468612555,0.8735934105133444,0.9332381286872999
57,AT5G66300,Zm00001d002828,22,0.7812519436669777,0.5742127963161138,0.6777323699915457
58,AT5G66300,Zm00001d050039,22,0.5890266115775912,0.7879106268443753,0.6884686192109832
59,AT4G36160,Zm00001d002828,22,0.7423919321160425,0.6149625449946492,0.6786772385553459
60,AT4G36160,Zm00001d050039,22,0.5974054822515438,0.7109835587119369,0.6541945204817403
61,AT1G62700,Zm00001d002828,22,0.8255142387489449,0.5439763919966274,0.6847453153727862
62,AT1G62700,Zm00001d050039,22,0.8515704829179439,0.7297013328144761,0.79063590786621
63,AT2G18060,Zm00001d002828,22,0.591816606690657,0.6607581801083114,0.6262873933994842
64,AT2G18060,Zm00001d050039,22,0.5547825314318717,0.7364270194895742,0.645604775460723
65,AT1G12260,Zm00001d002828,22,0.8506819494424452,0.8097869442552778,0.8302344468488615
