sp1_gene,sp2_gene,fc,sc
AT3G57190,LOC101268238,0.784397805014578,0.978524732614305
AT3G03480,LOC101250692,0.549476718051901,0.936456104299788
AT5G17540,LOC101250692,0.270397125027444,0.155945794776977
AT3G03480,LOC101261933,0.453581094759698,0.544571212324471
AT5G17540,LOC101261933,0.445399783685148,0.492479224061671
AT3G03480,LOC101248598,0.541618222062675,0.778526559736537
AT5G17540,LOC101248598,0.465766139476895,0.497881465793962
AT2G37035,LOC101268604,0.860685127938467,0.913367333745925
AT5G42620,LOC101248771,0.835193741509668,0.983086713836932
AT2G22810,ACS3,0.504940701575818,0.936314047523679
AT4G08040,ACS3,0.784407283480334,0.999314931628651
AT4G37770,ACS3,0.70262913552317,0.99681752662219
AT5G65800,ACS3,0.53086905701854,0.894243943345966
AT1G08190,LOC101265892,0.892018539430349,0.971200827119035
AT2G30010,LOC101256391,0.657125500377037,0.868676134282928
AT5G58600,LOC101256391,0.709947945609818,0.832015699689789
AT2G30010,LOC101266827,0.73690650127334,0.983438481605195
AT5G58600,LOC101266827,0.592251969117242,0.444234004908372
AT1G62640,LOC101249057,0.832300368453935,0.979881668380903
AT1G62640,LOC101244208,0.764897292426018,0.974780365221025
AT5G09450,LOC101268150,0.777306119706624,0.790398092291683
AT4G17280,LOC101254097,0.458269156319982,0.751584709454722
AT5G47530,LOC101254097,0.50563481560735,0.75322672320789
AT5G35735,LOC101254097,0.822247415754016,0.988796993924452
AT4G17280,LOC101249743,0.523010668977793,0.90897186260885
AT5G47530,LOC101249743,0.564764552112377,0.910690623045841
AT5G35735,LOC101249743,0.761394378668397,0.984473007776224
AT4G17280,LOC101258717,0.85235146285652,0.991795520099781
AT5G47530,LOC101258717,0.897570054261687,0.999263102045629
AT5G35735,LOC101258717,0.323696467402832,0.474480779373405
AT2G42500,LOC101245881,0.812285509600368,0.793297282627381
AT3G58500,LOC101245881,0.821316968518997,0.930459800666573
AT2G42500,LOC101257003,0.797767162658919,0.576989477699421
AT3G58500,LOC101257003,0.808980165042295,0.732218576410692
AT2G42500,LOC101252803,0.828914656052707,0.807752359546621
AT3G58500,LOC101252803,0.787138681861092,0.695260163959736
AT4G36880,LOC101246103,0.551604305605246,0.469220871253924
AT2G17630,LOC101254553,0.854866329121649,0.909561817799091
AT4G35630,LOC101254553,0.811890899592137,0.965065303387085
AT5G46110,LOC101263932,0.313784242068845,0.683838565647066
AT5G46110,cTPT,0.923957365367267,0.989668939652982
AT5G42660,LOC101245644,0.844066471561445,0.971431394341151
AT1G05530,LOC101255792,0.343199697818149,0.0422451476647147
AT4G15550,LOC101255792,0.565014367258729,0.741982616769155
AT4G14090,LOC101255792,0.436446806198271,0.398964709292287
AT1G05530,LOC101248405,0.656974943801677,0.984345082255393
AT4G15550,LOC101248405,0.397231034801143,0.863541403091312
AT4G14090,LOC101248405,0.330952473015717,0.78255517011218
AT1G05530,LOC101250740,0.309590559835551,0.415082601366608
AT4G15550,LOC101250740,0.659092505913034,0.988414885572731
AT4G14090,LOC101250740,0.419273041341529,0.741554274890597
AT1G05530,LOC101251036,0.252809451774174,0.299069065403717
AT4G15550,LOC101251036,0.640007931340547,0.983864371501537
AT4G14090,LOC101251036,0.612787518284836,0.96699560930879
AT1G05530,LOC101257156,0.373460570313226,0.849280591833437
AT4G15550,LOC101257156,0.484593469786834,0.945163700750297
AT4G14090,LOC101257156,0.703230377701543,0.998059646164369
AT1G05530,LOC101256859,0.274009148919729,0.342328637119866
AT4G15550,LOC101256859,0.621693453652822,0.886113668265307
AT4G14090,LOC101256859,0.707688406950481,0.940541405079503
AT1G05530,LOC101262706,0.517940987815335,0.88724935128622
AT4G15550,LOC101262706,0.527185413692837,0.897307416490115
AT4G14090,LOC101262706,0.448345279593835,0.815339766843312
AT3G23670,LOC101268614,0.918837623774446,0.982666959289053
AT4G14150,LOC101268614,0.903699185901903,0.987900629041656
AT3G23670,LOC101262096,0.963488378775759,0.994246925272725
