,tomato,brome,Group Number,Species 1 Score,Species 2 Score,Total Score
0,GPA1,LOC100824059,1,0.9173904129249191,0.8031575305846463,0.8602739717547827
1,LOC101260909,LOC100833000,2,0.9164800918522163,0.9087272384187187,0.9126036651354675
2,LOC101262196,LOC100845189,3,0.9464058719809735,0.9532157121741045,0.9498107920775389
3,LOC101260971,LOC100843355,4,0.7679911428219953,0.8465955907790044,0.8072933668004998
4,LOC101253967,LOC100829409,5,0.9712278399693826,0.9517690348146052,0.9614984373919939
5,LOC101257571,LOC100839743,6,0.7560585557879198,0.8956127936597792,0.8258356747238496
6,LOC101258001,LOC100824722,7,0.811024088425983,0.8718180960467969,0.84142109223639
7,Xpo1,LOC100833436,8,0.9744782056013449,0.9886047950016249,0.9815415003014849
8,LOC101252151,LOC100843497,9,0.9952515684586051,0.9876655030348774,0.9914585357467413
9,LOC101250327,LOC100828494,10,0.9485217533932012,0.9348366198069,0.9416791866000507
10,LOC101250327,LOC100833321,10,0.9636527658178538,0.9736704720571123,0.968661618937483
11,LOC101264394,LOC100828494,10,0.9292819945052693,0.9652545837657641,0.9472682891355166
12,LOC101264394,LOC100833321,10,0.956197974330586,0.9788281913388055,0.9675130828346957
13,LOC101254065,LOC100828494,10,0.8860048386435396,0.9578450797245023,0.921924959184021
14,LOC101254065,LOC100833321,10,0.9252880633124205,0.9662043589017832,0.9457462111071019
15,LOC101250591,LOC100832757,11,0.6907532701849347,0.5492530741893888,0.6200031721871617
16,LOC101254819,LOC100830048,12,0.8282554913136781,0.8714218322483253,0.8498386617810016
17,LOC101254819,LOC106866273,12,0.8098485987525229,0.846866056546215,0.828357327649369
18,LOC101254819,LOC100837404,12,0.9127996245722904,0.9305594867440324,0.9216795556581614
19,LOC101254819,LOC100845650,12,0.8213301257956197,0.819083561342265,0.8202068435689424
20,LOC101254819,LOC100834378,12,0.740768077709891,0.8505115037806802,0.7956397907452856
21,LOC101254819,LOC100842408,12,0.8997598902876305,0.8871151366481114,0.8934375134678709
22,LOC101250212,LOC100830048,12,0.900545372534547,0.8524011699216907,0.8764732712281189
23,LOC101250212,LOC106866273,12,0.8760077090253003,0.9133943453784948,0.8947010272018976
24,LOC101250212,LOC100837404,12,0.9000451059990979,0.9338113658521244,0.9169282359256112
25,LOC101250212,LOC100845650,12,0.764513880346086,0.8196307827782495,0.7920723315621678
26,LOC101250212,LOC100834378,12,0.6276458769016279,0.7468898683164179,0.6872678726090229
27,LOC101250212,LOC100842408,12,0.9099848279821215,0.8939962889580778,0.9019905584700997
28,LOC101249263,LOC100830048,12,0.5492634964894776,0.630097178979149,0.5896803377343133
29,LOC101249263,LOC106866273,12,0.5007312639247686,0.6231342579488631,0.5619327609368159
30,LOC101249263,LOC100837404,12,0.7234182146225449,0.7948171211120546,0.7591176678672997
31,LOC101249263,LOC100845650,12,0.6389287553022329,0.7791552662200837,0.7090420107611584
32,LOC101249263,LOC100834378,12,0.9140935744454013,0.8565947371495065,0.885344155797454
33,LOC101249263,LOC100842408,12,0.7083282076516176,0.7334402616599051,0.7208842346557613
34,LOC101248971,LOC100830048,12,0.3736744987083282,0.4775293266660377,0.42560191268718295
35,LOC101248971,LOC106866273,12,0.4336654775085086,0.6054847941629713,0.5195751358357399
36,LOC101248971,LOC100837404,12,0.3915446754418338,0.5638330660125169,0.47768887072717536
37,LOC101248971,LOC100845650,12,0.220297699594046,0.6238324370223606,0.4220650683082033
38,LOC101248971,LOC100834378,12,0.377209168819453,0.6045673670921337,0.4908882679557933
39,LOC101248971,LOC100842408,12,0.36247180875056384,0.45326917633739033,0.4078704925439771
40,LOC101265942,LOC100830048,12,0.9210891048509451,0.9300374249143001,0.9255632648826226
41,LOC101265942,LOC106866273,12,0.85816213556403,0.8563763877095324,0.8572692616367812
42,LOC101265942,LOC100837404,12,0.8936318530364539,0.9383149353712614,0.9159733942038577
43,LOC101265942,LOC100845650,12,0.7942428342969615,0.8261785703053747,0.8102107023011681
44,LOC101265942,LOC100834378,12,0.6450649936441547,0.7940102165972531,0.7195376051207039
45,LOC101265942,LOC100842408,12,0.919399680157461,0.9469069409063748,0.9331533105319179
46,LOC101245634,LOC100830048,12,0.47415191934813045,0.6078623769538007,0.5410071481509656
47,LOC101245634,LOC106866273,12,0.41815018540323,0.6040506966065982,0.511100441004914
48,LOC101245634,LOC100837404,12,0.7444950178373724,0.7934647922760009,0.7689799050566866
49,LOC101245634,LOC100845650,12,0.40160741378603354,0.7566688681322137,0.5791381409591236
50,LOC101245634,LOC100834378,12,0.9241809160618363,0.9325767480310362,0.9283788320464362
51,LOC101245634,LOC100842408,12,0.6661277378462764,0.7418687297543793,0.7039982338003279
52,LOC101256097,LOC100830048,12,0.9023906179521876,0.9157593483661981,0.9090749831591929
53,LOC101256097,LOC106866273,12,0.9308894082913027,0.8639808786992483,0.8974351434952755
54,LOC101256097,LOC100837404,12,0.8106778201500799,0.9248671258294807,0.8677724729897803
55,LOC101256097,LOC100845650,12,0.7021527863205806,0.8341730351919993,0.76816291075629
56,LOC101256097,LOC100834378,12,0.5591421659080658,0.7885919156793767,0.6738670407937213
57,LOC101256097,LOC100842408,12,0.882019108541436,0.945240116992169,0.9136296127668024
58,LOC101247227,LOC100824559,13,0.8789026940583097,0.9392640116293292,0.9090833528438194
59,LOC101259582,LOC104582534,14,0.8632386107352278,0.8871214265496745,0.8751800186424512
60,LOC101265154,LOC100843780,15,0.8185672694468364,0.750033021983206,0.7843001457150212
61,LOC101265154,LOC100824932,15,0.630860704473695,0.593647199421329,0.6122539519475121
62,LOC101261099,LOC100843780,15,0.12507483495304875,0.49947479321948607,0.3122748140862674
63,LOC101261099,LOC100824932,15,0.2449747816459589,0.34816492121898296,0.29656985143247094
64,LOC101263788,LOC100843780,15,0.17380844985716434,0.2647167971821241,0.2192626235196442
65,LOC101263788,LOC100824932,15,0.18086138789792378,0.494493191181558,0.33767728953974085
66,LOC101264607,LOC104585365,16,0.8061180136958215,0.9056514765543919,0.8558847451251067
67,LOC101247771,LOC104585365,16,0.6698240866035182,0.8199452778564015,0.7448846822299598
68,LOC101254555,LOC106866610,17,0.9835814163283716,0.9563040538415574,0.9699427350849645
69,LOC101254555,LOC106866596,17,0.9820150079960636,0.9724879705632608,0.9772514892796622
70,LOC101254555,LOC106865732,17,0.9802271702136384,0.9552913796899078,0.9677592749517732
71,LOC544138,LOC106866610,17,0.950030754090294,0.973613862943045,0.9618223085166695
72,LOC544138,LOC106866596,17,0.9346701111247796,0.9543101550460735,0.9444901330854265
73,LOC544138,LOC106865732,17,0.9114692254069792,0.9490329276346826,0.9302510765208309
74,LOC101267493,LOC100831302,19,0.7254274818550868,0.6849702802151146,0.7051988810351006
75,LOC101266105,LOC100823691,21,0.9057489646122935,0.8779507500707614,0.8918498573415274
76,LOC109120010,LOC100846584,22,0.5642965514413417,0.4509679709226836,0.5076322611820127
77,LOC101245101,LOC100846584,22,0.6806449702254845,0.5215047241653525,0.6010748471954186
78,JJH1,LOC100846702,23,0.7580924262926969,0.8782086360348461,0.8181505311637716
79,LOC101262678,LOC100827111,24,0.8015746094230533,0.7054627795075007,0.753518694465277
80,LOC101262925,LOC100836049,25,0.9638413909049904,0.9617888480045287,0.9628151194547596
81,LOC101258822,LOC100836049,25,0.9948087095583713,0.9571846400603831,0.9759966748093771
82,LOC101248963,LOC100826631,26,0.8623282896625251,0.8666792464697928,0.8645037680661589
83,FIE,LOC100828611,27,0.6747447410505597,0.7581532849010914,0.7164490129758255
84,FIE,LOC100838165,27,0.503858613195555,0.76477026134541,0.6343144372704825
85,LOC100736533,LOC100835573,28,0.6296141386804445,0.7973393716388338,0.7134767551596392
86,LOC101254537,LOC100822182,29,0.897806208225694,0.9267478063968299,0.9122770073112619
87,LOC101264226,LOC100822229,32,0.8070939434944847,0.79269742428531,0.7998956838898974
88,LOC101264226,LOC100834824,32,0.8280887358018616,0.8871465861559266,0.8576176609788941
89,LOC101267596,LOC100822229,32,0.7669167999343912,0.8130389659401831,0.7899778829372872
90,LOC101267596,LOC100834824,32,0.8202238897773404,0.8772399911941378,0.8487319404857391
91,LOC101246155,LOC100840665,33,0.8790257104194857,0.8444947636569489,0.8617602370382174
92,LOC101246476,LOC100840665,33,0.7370402263501046,0.8179262194546655,0.777483222902385
93,LOC101252430,LOC100826602,34,0.44972438477174603,0.5425599200483623,0.49614215241005416
94,LOC101252430,LOC100829973,34,0.2835702862766462,0.2894612699311256,0.2865157781038859
95,LOC101251789,LOC100826602,34,0.7806208225694017,0.72890873702271,0.7547647797960558
96,LOC101251789,LOC100829973,34,0.35461516381678765,0.5331949554989465,0.4439050596578671
97,LOC101257207,LOC100826602,34,0.6453848361832124,0.6901419770558369,0.6677634066195246
98,LOC101257207,LOC100829973,34,0.4464755812523066,0.7408639179796837,0.5936697496159951
99,LOC101253933,LOC100826602,34,0.43011076028667367,0.723282769513546,0.5766967649001098
100,LOC101253933,LOC100829973,34,0.6746217246893836,0.4672453376104664,0.5709335311499251
101,LOC101256156,LOC100823877,35,0.8935498421290031,0.9273893763562601,0.9104696092426317
102,LOC101246397,LOC100833954,36,0.9151679173330053,0.8423373274208258,0.8787526223769155
103,LOC101265936,LOC100824493,37,0.721777996473531,0.7622522040863393,0.7420151002799351
104,LOC101260266,LOC100822552,38,0.7788165826054866,0.5441629713494984,0.6614897769774926
105,LOC101246406,LOC100830878,40,0.9591257637265757,0.9724816806616976,0.9658037221941367
106,LOC101261524,LOC100845703,41,0.8138516422684218,0.8433940308834167,0.8286228365759192
107,LOC101261524,LOC100831289,41,0.912527166113093,0.9758432836081672,0.9441852248606302
108,LOC101249741,LOC100845703,41,0.678567360570067,0.8691448878825047,0.7738561242262858
109,LOC101249741,LOC100831289,41,0.7559036462960685,0.9594196517491168,0.8576616490225927
110,LOC101244615,LOC100822635,42,0.8039201213761431,0.9487310123596565,0.8763255668678998
111,LOC101255619,LOC100844846,43,0.7962439004387584,0.9586564770261345,0.8774501887324464
112,LOC101251313,LOC100844846,43,0.883667527781195,0.9322263106582382,0.9079469192197166
113,LOC101259890,LOC100822680,44,0.878681264608193,0.9314023335534799,0.9050417990808364
114,LOC101245715,LOC100826003,45,0.7754787386722434,0.8156870144982231,0.7955828765852333
115,LOC101263710,LOC100822199,46,0.557624964120228,0.5276388757849273,0.5426319199525776
116,LOC101247825,LOC100822199,46,0.8152294255135933,0.6858788215519983,0.7505541235327958
117,LOC101255442,LOC100829541,47,0.8790995202361913,0.8787873069786457,0.8789434136074186
118,LOC101259691,LOC100822631,48,0.6326895477098454,0.6281913388055477,0.6304404432576965
119,LOC101259691,LOC100831721,48,0.8101693525238857,0.9073120105670346,0.8587406815454601
120,LOC101259691,LOC100832535,48,0.8200434657809489,0.8371984778438218,0.8286209718123854
121,LOC101244185,LOC100822631,48,0.7262721942018288,0.6644023021039721,0.6953372481529004
122,LOC101244185,LOC100831721,48,0.549784721367942,0.7791049470075794,0.6644448341877607
123,LOC101244185,LOC100832535,48,0.5411161684504039,0.7022360600056609,0.6216761142280324
124,LOC101263523,LOC100822631,48,0.7218764095624719,0.6769003365097337,0.6993883730361028
125,LOC101263523,LOC100831721,48,0.8210686021240826,0.9159606252162154,0.8685146136701489
126,LOC101263523,LOC100832535,48,0.8583015541066963,0.8795735446740258,0.868937549390361
127,LOC101261883,LOC100822631,48,0.6237503587977201,0.5974274302607164,0.6105888945292183
128,LOC101261883,LOC100831721,48,0.9453889367285849,0.9303519199924521,0.9378704283605186
129,LOC101261883,LOC100832535,48,0.9234100135317997,0.9131490392175363,0.918279526374668
130,LOC101259386,LOC100822631,48,0.41070151219001017,0.5043305972261535,0.4575160547080818
131,LOC101259386,LOC100831721,48,0.8002259856116418,0.8845111174010126,0.8423685515063273
132,LOC101259386,LOC100832535,48,0.7583275242273888,0.7983268861842313,0.7783272052058101
133,LOC101248010,LOC100822631,48,0.2750919205587677,0.3400446583010976,0.30756828942993264
134,LOC101248010,LOC100831721,48,0.663741610967592,0.806830833097462,0.7352862220325269
135,LOC101248010,LOC100832535,48,0.5696751001216495,0.7142875114004466,0.641981305761048
136,LOC101257661,LOC100821502,49,0.6970353056956574,0.6835655355327022,0.6903004206141798
137,LOC101258429,LOC100841606,50,0.8972813384180096,0.815668144793534,0.8564747416057719
138,LOC101258429,LOC100845674,50,0.9037602001066142,0.9427618957763311,0.9232610479414727
139,LOC101257929,LOC100841606,50,0.8967318653380899,0.8366701261125263,0.8667009957253081
