Orthogroup,Real NCBI Gene,Species
OG0000000,ATMG00240,Athaliana
OG0000000,Solyc00g500094.1,Tomato
OG0000000,Solyc00g500354.1,Tomato
OG0000000,Solyc01g009165.1,Tomato
OG0000000,Solyc01g009975.1,Tomato
OG0000000,Solyc01g010067.1,Tomato
OG0000000,Solyc01g011356.1,Tomato
OG0000000,Solyc01g014363.1,Tomato
OG0000000,Solyc01g014377.1,Tomato
OG0000000,Solyc01g014963.1,Tomato
OG0000000,Solyc01g014967.1,Tomato
OG0000000,Solyc01g016725.1,Tomato
OG0000000,Solyc01g017877.1,Tomato
OG0000000,Solyc01g020353.1,Tomato
OG0000000,Solyc01g028875.1,Tomato
OG0000000,Solyc01g034075.1,Tomato
OG0000000,Solyc01g044527.1,Tomato
OG0000000,Solyc01g057435.1,Tomato
OG0000000,Solyc01g057853.1,Tomato
OG0000000,Solyc01g065625.1,Tomato
OG0000000,Solyc01g065987.1,Tomato
OG0000000,Solyc01g066065.1,Tomato
OG0000000,Solyc01g066445.1,Tomato
OG0000000,Solyc01g066575.1,Tomato
OG0000000,Solyc01g067045.1,Tomato
OG0000000,Solyc01g067403.1,Tomato
OG0000000,Solyc01g067407.1,Tomato
OG0000000,Solyc01g079155.1,Tomato
OG0000000,Solyc01g079615.1,Tomato
OG0000000,Solyc01g080055.1,Tomato
OG0000000,Solyc01g081455.1,Tomato
OG0000000,Solyc01g087015.1,Tomato
OG0000000,Solyc01g103045.1,Tomato
OG0000000,Solyc01g104443.1,Tomato
OG0000000,Solyc01g106575.1,Tomato
OG0000000,Solyc01g108235.1,Tomato
OG0000000,Solyc01g109125.1,Tomato
OG0000000,Solyc01g150130.1,Tomato
OG0000000,Solyc01g150141.1,Tomato
OG0000000,Solyc02g005335.1,Tomato
OG0000000,Solyc02g005604.1,Tomato
OG0000000,Solyc02g014035.1,Tomato
OG0000000,Solyc02g014543.1,Tomato
OG0000000,Solyc02g014547.1,Tomato
OG0000000,Solyc02g024045.1,Tomato
OG0000000,Solyc02g030461.1,Tomato
OG0000000,Solyc02g031985.1,Tomato
OG0000000,Solyc02g032035.1,Tomato
OG0000000,Solyc02g032663.1,Tomato
OG0000000,Solyc02g032667.1,Tomato
OG0000000,Solyc02g033035.1,Tomato
OG0000000,Solyc02g036185.1,Tomato
OG0000000,Solyc02g037545.1,Tomato
OG0000000,Solyc02g038723.1,Tomato
OG0000000,Solyc02g038810.1,Tomato
OG0000000,Solyc02g044005.1,Tomato
OG0000000,Solyc02g050263.1,Tomato
OG0000000,Solyc02g062045.1,Tomato
OG0000000,Solyc02g062195.1,Tomato
OG0000000,Solyc02g062953.1,Tomato
OG0000000,Solyc02g062957.1,Tomato
OG0000000,Solyc02g065257.1,Tomato
OG0000000,Solyc02g068295.1,Tomato
OG0000000,Solyc02g071383.1,Tomato
OG0000000,Solyc02g071387.1,Tomato
OG0000000,Solyc02g077865.1,Tomato
OG0000000,Solyc02g082125.1,Tomato
OG0000000,Solyc02g090397.1,Tomato
OG0000000,Solyc02g150125.1,Tomato
OG0000000,Solyc03g025113.1,Tomato
OG0000000,Solyc03g025117.1,Tomato
OG0000000,Solyc03g031487.1,Tomato
OG0000000,Solyc03g032215.1,Tomato
OG0000000,Solyc03g034055.1,Tomato
OG0000000,Solyc03g034394.1,Tomato
OG0000000,Solyc03g044024.1,Tomato
OG0000000,Solyc03g044205.1,Tomato
OG0000000,Solyc03g044664.1,Tomato
OG0000000,Solyc03g044668.1,Tomato
OG0000000,Solyc03g044748.1,Tomato
OG0000000,Solyc03g044797.1,Tomato
OG0000000,Solyc03g044815.1,Tomato
OG0000000,Solyc03g044837.1,Tomato
OG0000000,Solyc03g062835.1,Tomato
OG0000000,Solyc03g078625.1,Tomato
OG0000000,Solyc03g078627.1,Tomato
OG0000000,Solyc03g079883.1,Tomato
OG0000000,Solyc03g080175.1,Tomato
OG0000000,Solyc03g082845.1,Tomato
OG0000000,Solyc03g083485.1,Tomato
OG0000000,Solyc03g083725.1,Tomato
OG0000000,Solyc03g083965.1,Tomato
OG0000000,Solyc03g096307.1,Tomato
OG0000000,Solyc03g096437.1,Tomato
OG0000000,Solyc03g098745.1,Tomato
OG0000000,Solyc03g111705.1,Tomato
OG0000000,Solyc03g112465.1,Tomato
OG0000000,Solyc03g113035.1,Tomato
OG0000000,Solyc03g117845.1,Tomato
OG0000000,Solyc03g119905.1,Tomato
OG0000000,Solyc03g150108.1,Tomato
OG0000000,Solyc03g150131.1,Tomato
OG0000000,Solyc03g150139.1,Tomato
OG0000000,Solyc03g150159.1,Tomato
OG0000000,Solyc04g007247.1,Tomato
OG0000000,Solyc04g007295.1,Tomato
OG0000000,Solyc04g007855.1,Tomato
OG0000000,Solyc04g011965.1,Tomato
OG0000000,Solyc04g017625.1,Tomato
OG0000000,Solyc04g017723.1,Tomato
OG0000000,Solyc04g026155.1,Tomato
OG0000000,Solyc04g039693.1,Tomato
OG0000000,Solyc04g039697.1,Tomato
OG0000000,Solyc04g049075.1,Tomato
OG0000000,Solyc04g049773.1,Tomato
OG0000000,Solyc04g050675.1,Tomato
OG0000000,Solyc04g050865.1,Tomato
OG0000000,Solyc04g051765.1,Tomato
OG0000000,Solyc04g053033.1,Tomato
OG0000000,Solyc04g054227.1,Tomato
OG0000000,Solyc04g054251.1,Tomato
OG0000000,Solyc04g054252.1,Tomato
OG0000000,Solyc04g054529.1,Tomato
OG0000000,Solyc04g054735.1,Tomato
OG0000000,Solyc04g054865.1,Tomato
OG0000000,Solyc04g054915.1,Tomato
OG0000000,Solyc04g055225.1,Tomato
OG0000000,Solyc04g064805.1,Tomato
OG0000000,Solyc04g071135.1,Tomato
OG0000000,Solyc04g071675.1,Tomato
OG0000000,Solyc04g071803.1,Tomato
OG0000000,Solyc04g073953.1,Tomato
OG0000000,Solyc04g074865.1,Tomato
OG0000000,Solyc04g150114.1,Tomato
OG0000000,Solyc04g150127.1,Tomato
OG0000000,Solyc04g150146.1,Tomato
OG0000000,Solyc05g005265.1,Tomato
OG0000000,Solyc05g006325.1,Tomato
OG0000000,Solyc05g008495.1,Tomato
OG0000000,Solyc05g009275.1,Tomato
OG0000000,Solyc05g011883.1,Tomato
OG0000000,Solyc05g013613.1,Tomato
OG0000000,Solyc05g013617.1,Tomato
OG0000000,Solyc05g014054.1,Tomato
OG0000000,Solyc05g015493.1,Tomato
OG0000000,Solyc05g015651.1,Tomato
OG0000000,Solyc05g016343.1,Tomato
OG0000000,Solyc05g016347.1,Tomato
OG0000000,Solyc05g018245.1,Tomato
OG0000000,Solyc05g018407.1,Tomato
OG0000000,Solyc05g018484.1,Tomato
OG0000000,Solyc05g018563.1,Tomato
OG0000000,Solyc05g018567.1,Tomato
OG0000000,Solyc05g023895.1,Tomato
OG0000000,Solyc05g025953.1,Tomato
OG0000000,Solyc05g026485.1,Tomato
OG0000000,Solyc05g032735.1,Tomato
OG0000000,Solyc05g043243.1,Tomato
OG0000000,Solyc05g044555.1,Tomato
OG0000000,Solyc05g050825.1,Tomato
OG0000000,Solyc05g050887.1,Tomato
OG0000000,Solyc05g051385.1,Tomato
OG0000000,Solyc05g053155.1,Tomato
OG0000000,Solyc05g150108.1,Tomato
OG0000000,Solyc05g150138.1,Tomato
OG0000000,Solyc05g150141.1,Tomato
OG0000000,Solyc05g150149.1,Tomato
OG0000000,Solyc06g006015.1,Tomato
OG0000000,Solyc06g008053.1,Tomato
OG0000000,Solyc06g009015.1,Tomato
OG0000000,Solyc06g009195.1,Tomato
OG0000000,Solyc06g011275.1,Tomato
OG0000000,Solyc06g011405.1,Tomato
OG0000000,Solyc06g033787.1,Tomato
OG0000000,Solyc06g034395.1,Tomato
OG0000000,Solyc06g035495.1,Tomato
OG0000000,Solyc06g035727.1,Tomato
OG0000000,Solyc06g036255.1,Tomato
OG0000000,Solyc06g048575.1,Tomato
OG0000000,Solyc06g048683.1,Tomato
OG0000000,Solyc06g048705.1,Tomato
OG0000000,Solyc06g048713.1,Tomato
OG0000000,Solyc06g048817.1,Tomato
OG0000000,Solyc06g048825.1,Tomato
OG0000000,Solyc06g048943.1,Tomato
OG0000000,Solyc06g048947.1,Tomato
OG0000000,Solyc06g053665.1,Tomato
OG0000000,Solyc06g060105.1,Tomato
OG0000000,Solyc06g060195.1,Tomato
OG0000000,Solyc06g060735.1,Tomato
OG0000000,Solyc06g062445.1,Tomato
OG0000000,Solyc06g066345.1,Tomato
OG0000000,Solyc06g066853.1,Tomato
OG0000000,Solyc06g068857.1,Tomato
OG0000000,Solyc06g072695.1,Tomato
OG0000000,Solyc06g082353.1,Tomato
OG0000000,Solyc06g082357.1,Tomato
OG0000000,Solyc06g150112.1,Tomato
OG0000000,Solyc07g009477.1,Tomato
OG0000000,Solyc07g015873.1,Tomato
OG0000000,Solyc07g017225.1,Tomato
OG0000000,Solyc07g017905.1,Tomato
OG0000000,Solyc07g018023.1,Tomato
OG0000000,Solyc07g018027.1,Tomato
OG0000000,Solyc07g019433.1,Tomato
OG0000000,Solyc07g019493.1,Tomato
OG0000000,Solyc07g019625.1,Tomato
OG0000000,Solyc07g032023.1,Tomato
OG0000000,Solyc07g039343.1,Tomato
OG0000000,Solyc07g039347.1,Tomato
OG0000000,Solyc07g041215.1,Tomato
OG0000000,Solyc07g041465.1,Tomato
OG0000000,Solyc07g041683.1,Tomato
OG0000000,Solyc07g041687.1,Tomato
OG0000000,Solyc07g041755.1,Tomato
OG0000000,Solyc07g042235.1,Tomato
OG0000000,Solyc07g042515.1,Tomato
OG0000000,Solyc07g043685.1,Tomato
OG0000000,Solyc07g043713.1,Tomato
OG0000000,Solyc07g044725.1,Tomato
OG0000000,Solyc07g044985.1,Tomato
OG0000000,Solyc07g045125.1,Tomato
OG0000000,Solyc07g049567.1,Tomato
OG0000000,Solyc07g049635.1,Tomato
OG0000000,Solyc07g051883.1,Tomato
OG0000000,Solyc07g051887.1,Tomato
OG0000000,Solyc07g052365.1,Tomato
OG0000000,Solyc07g052813.1,Tomato
OG0000000,Solyc07g053035.1,Tomato
OG0000000,Solyc07g055573.1,Tomato
OG0000000,Solyc07g055577.1,Tomato
OG0000000,Solyc07g061895.1,Tomato
OG0000000,Solyc07g062345.1,Tomato
OG0000000,Solyc07g062715.1,Tomato
OG0000000,Solyc07g065845.1,Tomato
OG0000000,Solyc07g150110.1,Tomato
OG0000000,Solyc07g150118.1,Tomato
OG0000000,Solyc07g150134.1,Tomato
OG0000000,Solyc08g014612.1,Tomato
OG0000000,Solyc08g059655.1,Tomato
OG0000000,Solyc08g061905.1,Tomato
OG0000000,Solyc08g062433.1,Tomato
OG0000000,Solyc08g062725.1,Tomato
OG0000000,Solyc08g065163.1,Tomato
OG0000000,Solyc08g065543.1,Tomato
OG0000000,Solyc08g065705.1,Tomato
OG0000000,Solyc08g066927.1,Tomato
OG0000000,Solyc08g067025.1,Tomato
OG0000000,Solyc08g067127.1,Tomato
OG0000000,Solyc08g067765.1,Tomato
OG0000000,Solyc08g068713.1,Tomato
OG0000000,Solyc08g068717.1,Tomato
OG0000000,Solyc08g074655.1,Tomato
OG0000000,Solyc08g075235.1,Tomato
OG0000000,Solyc08g083385.1,Tomato
OG0000000,Solyc08g150116.1,Tomato
OG0000000,Solyc08g150126.1,Tomato
OG0000000,Solyc09g011125.1,Tomato
OG0000000,Solyc09g011645.1,Tomato
OG0000000,Solyc09g014805.1,Tomato
OG0000000,Solyc09g015010.2,Tomato
OG0000000,Solyc09g015065.1,Tomato
OG0000000,Solyc09g015223.1,Tomato
OG0000000,Solyc09g015225.1,Tomato
OG0000000,Solyc09g015453.1,Tomato
OG0000000,Solyc09g018285.1,Tomato
OG0000000,Solyc09g020017.1,Tomato
OG0000000,Solyc09g042725.1,Tomato
OG0000000,Solyc09g055995.1,Tomato
