,arabidopsis,brome,Group Number,Species 1 Score,Species 2 Score,Total Score
0,AT2G26300,LOC100824059,1,0.8775303727660987,0.8471846593646614,0.86235751606538
1,AT1G73910,LOC100833000,2,0.8049757432516481,0.7390357498474288,0.7720057465495385
2,AT1G18450,LOC100833000,2,0.959986731351329,0.9367230912536537,0.9483549113024914
3,AT1G49040,LOC100845189,3,0.9790687067213999,0.9691452799280507,0.9741069933247253
4,AT1G79120,LOC100843355,4,0.8486544760957001,0.8316769986830693,0.8401657373893847
5,AT1G08260,LOC100829409,5,0.9662167765476635,0.9885330678058651,0.9773749221767642
6,AT3G45740,LOC100839743,6,0.709972218766845,0.507917643657855,0.60894493121235
7,AT4G02460,LOC100824722,7,0.9402496164531243,0.9762502810522596,0.958249948752692
8,AT5G17020,LOC100833436,8,0.9485591076833769,0.9731281919506634,0.9608436498170201
9,AT1G19150,LOC100843497,9,0.9900485134967035,0.9669768056046282,0.9785126595506659
10,AT3G01280,LOC100828494,10,0.980254592196376,0.9688754697587768,0.9745650309775764
11,AT3G01280,LOC100833321,10,0.9877099141684289,0.9915973404426172,0.989653627305523
12,AT5G15090,LOC100828494,10,0.9175436414147697,0.9459480294221566,0.9317458354184631
13,AT5G15090,LOC100833321,10,0.9491064394410581,0.9748755339992933,0.9619909867201757
14,AT1G60490,LOC100832757,11,0.7898246050503794,0.3173481514791379,0.5535863782647586
15,AT1G65032,LOC100834713,12,0.8128871750217689,0.9297722673690296,0.8713297211953992
16,AT5G62520,LOC100837404,13,0.6403781564871253,0.8307712074005076,0.7355746819438165
17,AT5G62520,LOC100845650,13,0.3068789650454037,0.7071467574599299,0.5070128612526668
18,AT5G62520,LOC100842408,13,0.44255089770701167,0.7747727491729034,0.6086618234399576
19,AT5G62520,LOC106866273,13,0.23550814777957457,0.5376160344329168,0.38656209110624573
20,AT5G62520,LOC100830048,13,0.2870070904341336,0.6059936401888671,0.4465003653115004
21,AT5G62520,LOC100834378,13,0.9245863913422068,0.9324254007002216,0.9285058960212142
22,AT1G23550,LOC100837404,13,0.6738649085707178,0.8026788295377895,0.7382718690542536
23,AT1G23550,LOC100845650,13,0.5413608657793257,0.7818135097806187,0.6615871877799722
24,AT1G23550,LOC100842408,13,0.6445080233859933,0.7928693026691935,0.7186886630275935
25,AT1G23550,LOC106866273,13,0.4164862959737944,0.6043105386567308,0.5103984173152626
26,AT1G23550,LOC100830048,13,0.5710826388025044,0.6839366588507372,0.6275096488266207
27,AT1G23550,LOC100834378,13,0.7460878218683916,0.9068576751357081,0.8264727485020499
28,AT2G35510,LOC100837404,13,0.8924493096156239,0.8559277936594609,0.8741885516375424
29,AT2G35510,LOC100845650,13,0.8368453787784551,0.8700478591847879,0.8534466189816214
30,AT2G35510,LOC100842408,13,0.8643612389600697,0.9035300163813317,0.8839456276707007
31,AT2G35510,LOC106866273,13,0.7647883235891695,0.8912022612661805,0.827995292427675
32,AT2G35510,LOC100830048,13,0.8903594974499316,0.8667715928436065,0.8785655451467691
33,AT2G35510,LOC100834378,13,0.7313264502218353,0.7257058426749752,0.7285161464484052
34,AT1G32230,LOC100837404,13,0.9280756312974251,0.910365207336267,0.9192204193168461
35,AT1G32230,LOC100845650,13,0.7893684952523117,0.8067645263867922,0.7980665108195519
36,AT1G32230,LOC100842408,13,0.9091097566032259,0.9228150194327562,0.915962388017991
37,AT1G32230,LOC106866273,13,0.763834639465937,0.8658336813027977,0.8148341603843674
38,AT1G32230,LOC100830048,13,0.8010366131774267,0.8220344971573572,0.811535555167392
39,AT1G32230,LOC100834378,13,0.8825227018285856,0.8062184819965953,0.8443705919125905
40,AT1G70440,LOC100837404,13,0.6942509433179914,0.8274307005428324,0.7608408219304119
41,AT1G70440,LOC100845650,13,0.6911825683128084,0.7928243343076479,0.7420034513102282
42,AT1G70440,LOC100842408,13,0.7178235269726749,0.8205376931230527,0.7691806100478638
43,AT1G70440,LOC106866273,13,0.5916469710162956,0.6916583689332862,0.6416526699747909
44,AT1G70440,LOC100830048,13,0.7235248994485218,0.751742524009893,0.7376337117292074
45,AT1G70440,LOC100834378,13,0.7357983994692541,0.8721613721774323,0.8039798858233431
46,AT3G17668,LOC100824559,14,0.9062984616660448,0.8969774836989689,0.9016379726825068
47,AT5G26749,LOC104582534,15,0.9074926400464403,0.8495872546815276,0.8785399473639839
48,AT2G26695,LOC100843780,16,0.23372171773714256,0.3579931262647352,0.2958574220009389
49,AT2G26695,LOC100824932,16,0.48592740022022274,0.5028297947515498,0.49437859748588625
50,AT5G25490,LOC100843780,16,0.8338279459065627,0.784627244403045,0.8092275951548038
51,AT5G25490,LOC100824932,16,0.7648902078557508,0.6704718465936466,0.7176810272246987
52,AT3G15680,LOC100843780,16,0.8010531989882655,0.8614010856647287,0.8312271423264972
53,AT3G15680,LOC100824932,16,0.6134573122693535,0.5365303697041724,0.574993840986763
54,AT1G51540,LOC104585365,17,0.960127710743459,0.9720425272219189,0.9660851189826889
55,AT3G27220,LOC104585365,17,0.913951891934228,0.9333568881893811,0.9236543900618046
56,AT4G33865,LOC106865732,18,0.9665215408218268,0.9744322744354864,0.9704769076286566
57,AT4G33865,LOC106866596,18,0.966463490483891,0.9762181607940127,0.9713408256389519
58,AT4G33865,LOC106866610,18,0.9724841398183854,0.9733594578100407,0.9729217988142131
59,AT3G43980,LOC106865732,18,0.9721026661690924,0.9734750907397296,0.972788878454411
60,AT3G43980,LOC106866596,18,0.9745490732678194,0.975639996145569,0.9750945347066942
61,AT3G43980,LOC106866610,18,0.9784550317203633,0.9709183181832781,0.9746866749518207
62,AT3G44010,LOC106865732,18,0.9791848073972717,0.9754151543378409,0.9772999808675562
63,AT3G44010,LOC106866596,18,0.9824356263216819,0.9772010406963673,0.9798183335090246
64,AT3G44010,LOC106866610,18,0.979093585437658,0.9733851540166384,0.9762393697271482
65,AT5G08170,LOC100831302,20,0.7357631546212217,0.704288054475958,0.7200256045485898
66,AT5G07590,LOC100823691,22,0.8836505369656259,0.9203481835993962,0.901999360282511
67,AT5G63080,LOC100846702,24,0.8121159348177633,0.7709954068030708,0.791555670810417
68,AT5G16940,LOC100827111,25,0.5446282705145747,0.7129862204092121,0.6288072454618934
69,AT1G08480,LOC100836049,26,0.9787286975992039,0.9896251565862589,0.9841769270927314
70,AT5G08565,LOC100826631,27,0.7626321681801219,0.8022162978190345,0.7824242329995782
71,AT5G63670,LOC100826631,27,0.7484844715346022,0.886262165547811,0.8173733185412067
72,AT3G20740,LOC100828611,28,0.9313264502218352,0.8318825683358494,0.8816045092788423
73,AT3G20740,LOC100838165,28,0.4985777667205706,0.6648572254520926,0.5817174960863316
74,AT2G29390,LOC100835573,29,0.9478625036281461,0.914540840908361,0.9312016722682535
75,AT1G07420,LOC100835573,29,0.746179043828005,0.9223267915074037,0.8342529176677044
76,AT1G10900,LOC100822182,30,0.745092673218062,0.8203835158834677,0.7827380945507649
77,AT1G60890,LOC100822182,30,0.8284778372102667,0.8306491504191693,0.8295634938147181
78,AT5G07300,LOC100834824,33,0.9117551934320188,0.8545273503998972,0.883141271915958
79,AT5G07300,LOC100822229,33,0.8763527801965418,0.7747727491729034,0.8255627646847226
80,AT1G08860,LOC100834824,33,0.6196366785992361,0.8712877011531173,0.7454621898761766
81,AT1G08860,LOC100822229,33,0.6870303566410046,0.7763530658786497,0.7316917112598271
82,AT3G58670,LOC100840665,34,0.7831985736202679,0.8312016188610156,0.8072000962406418
83,AT2G42670,LOC100840665,34,0.9062569971389477,0.8658786496643434,0.8860678234016455
84,AT3G06080,LOC100826602,35,0.1370568478666501,0.49916808531140594,0.31811246658902803
85,AT3G06080,LOC100829973,35,0.78246050503794,0.685388494523496,0.7339244997807179
86,AT5G06230,LOC100826602,35,0.6013646436584613,0.6759065942890181,0.6386356189737397
87,AT5G06230,LOC100829973,35,0.48040801094663516,0.3816721806443324,0.43104009579548375
88,AT5G19160,LOC100826602,35,0.7966164945888792,0.6837439373012559,0.7401802159450676
89,AT5G19160,LOC100829973,35,0.32016419952730435,0.17235730575273825,0.24626075264002129
90,AT3G02580,LOC100823877,36,0.9643082565087789,0.8844441589310379,0.9243762077199085
91,AT1G44790,LOC100833954,37,0.9085955964672222,0.7654257540230623,0.8370106752451423
92,AT2G24240,LOC100824493,38,0.7481527553178257,0.8368290881058684,0.792490921711847
93,AT4G30940,LOC100824493,38,0.7252975079819215,0.7822503452927762,0.7537739266373489
94,AT4G36050,LOC100830878,40,0.9119956876891818,0.8657373205280571,0.8888665041086194
95,AT4G09020,LOC100845703,41,0.7837790769996269,0.9071210612533325,0.8454500691264797
96,AT4G09020,LOC100831289,41,0.7771613384749346,0.6075868049979122,0.6923740717364234
97,AT2G39930,LOC100845703,41,0.7519426130944976,0.9351299264446087,0.8435362697695532
98,AT2G39930,LOC100831289,41,0.9063316332877224,0.8924035589246138,0.899367596106168
99,AT1G55270,LOC100844846,42,0.8285773520752996,0.8949346352744676,0.8617559936748835
100,AT5G42850,LOC100822680,43,0.8999129244930962,0.8900330838659943,0.8949730041795453
101,AT2G17705,LOC100826003,44,0.6668822822075714,0.8046317412391996,0.7357570117233855
102,AT4G01870,LOC100822199,45,0.8764688808724136,0.8853756464201973,0.8809222636463054
103,AT4G34270,LOC100829541,46,0.8820334204088403,0.9449330292615552,0.9134832248351977
104,AT1G08040,LOC100832535,47,0.879122610606626,0.8308290238653518,0.8549758172359889
105,AT1G08040,LOC100822631,47,0.6478749429862752,0.6363794044904122,0.6421271737383437
106,AT1G08040,LOC100831721,47,0.8598333126010698,0.9176822021649055,0.8887577573829877
107,AT1G67850,LOC100832535,47,0.5707509225857279,0.8318954164391482,0.701323169512438
108,AT1G67850,LOC100822631,47,0.7671103371066054,0.7613336331224102,0.7642219851145078
109,AT1G67850,LOC100831721,47,0.6294232284280797,0.8154177239585007,0.7224204761932902
110,AT2G28310,LOC100832535,47,0.7910851266741302,0.7849998393987088,0.7880424830364194
111,AT2G28310,LOC100822631,47,0.4898950947464444,0.503362991038448,0.49662904289244614
112,AT2G28310,LOC100831721,47,0.8474520048098851,0.8841936209167122,0.8658228128632987
113,AT3G27470,LOC100832535,47,0.9000704896960651,0.9163588475251341,0.9082146686105996
114,AT3G27470,LOC100822631,47,0.543069204295725,0.5791025599845823,0.5610858821401536
115,AT3G27470,LOC100831721,47,0.914301115395779,0.9583207528988533,0.9363109341473161
116,AT1G69830,LOC100821502,48,0.7948169341128664,0.798888639064658,0.7968527865887622
117,AT2G33830,LOC100845674,49,0.9713272795123772,0.8807952975941926,0.9260612885532848
118,AT2G33830,LOC100841606,49,0.9724779201393208,0.8318825683358494,0.902180244237585
119,AT1G28330,LOC100845674,49,0.970000414645271,0.8772620691870362,0.9236312419161536
120,AT1G28330,LOC100841606,49,0.9729236638056143,0.8452253236116019,0.9090744937086082
121,AT2G32090,LOC100832830,50,0.7770369448936435,0.8386406706709922,0.8078388077823179
122,AT5G55600,LOC100833465,51,0.9134967035700957,0.9498281566183792,0.9316624300942374
123,AT5G55600,LOC100824719,51,0.8713521582286354,0.905778434458613,0.8885652963436241
124,AT1G68580,LOC100833465,51,0.7872703901811999,0.8415507660681592,0.8144105781246795
125,AT1G68580,LOC100824719,51,0.7236389268980388,0.9088812514052613,0.81626008915165
126,AT1G03030,LOC100844715,52,0.8820417133142597,0.8024090193685157,0.8422253663413877
127,AT1G07220,LOC100833483,53,0.4173985155699299,0.5997366138823755,0.5085675647261527
128,AT5G60620,LOC100838156,54,0.9311440063026082,0.9565412905919763,0.9438426484472923
129,AT5G04360,LOC100831209,55,0.9160840900609529,0.9903382263193397,0.9532111581901463
130,AT5G36210,LOC100823141,56,0.8196624787494299,0.8578164648443773,0.8387394717969037
131,AT5G36210,LOC100835264,56,0.8388522618899531,0.7984196832942537,0.8186359725921034
132,AT5G52820,LOC100838384,57,0.9634614587220632,0.9678604695981756,0.9656609641601195
133,AT2G23390,LOC100830579,58,0.9916241655263922,0.9816657565926831,0.9866449610595376
134,AT1G80750,LOC100829822,59,0.9326781938051997,0.917932740179231,0.9253054669922154
135,AT3G52390,LOC100839854,60,0.9513455239042998,0.959207272026467,0.9552763979653834
136,AT2G16430,LOC100821977,61,0.7382012688145292,0.4564224456364629,0.5973118572254961
137,AT2G16430,LOC100844155,61,0.7606833354065597,0.7447467317637234,0.7527150335851416
138,AT2G27190,LOC100821977,61,0.5938300783679562,0.5241383740725275,0.5589842262202418
139,AT2G27190,LOC100844155,61,0.8354355848571547,0.823640510069701,0.8295380474634279
140,AT3G09320,LOC100845979,63,0.8419040510842974,0.8319146885940963,0.836909369839197
141,AT3G09320,LOC100836559,63,0.9320313471824854,0.9022644782064048,0.9171479126944451
142,AT3G09320,LOC100844981,63,0.9056516150433304,0.8999196993543829,0.9027856571988566
143,AT5G04270,LOC100845979,63,0.9261019198076046,0.9406610349147206,0.9333814773611626
144,AT5G04270,LOC100836559,63,0.9466932039640088,0.930087045899849,0.9383901249319289
145,AT5G04270,LOC100844981,63,0.9325372144130696,0.9478752449169692,0.9402062296650193
146,AT3G01435,LOC100831854,65,0.9286975992038812,0.8613753894581313,0.8950364943310063
147,AT3G57630,LOC100844507,66,0.6616577517933409,0.8198310474416214,0.7407443996174812
148,AT2G38600,LOC100831241,67,0.5300548713908585,0.6000192721549482,0.5650370717729034
149,AT5G24780,LOC100831241,67,0.8164733958986976,0.7322904956155848,0.7743819457571413
150,AT5G24770,LOC100831241,67,0.6904051084297383,0.7486461311148941,0.7195256197723162
151,AT2G14835,LOC100837706,69,0.9488161877513787,0.944965149519802,0.9468906686355903
152,AT5G15520,LOC100831550,70,0.9800555624663101,0.9853146179295281,0.9826850901979192
153,AT5G15520,LOC100824530,70,0.9807853381432184,0.9817942376256705,0.9812897878844444
154,AT3G02080,LOC100831550,70,0.9700045610979806,0.9838242379468731,0.9769143995224269
155,AT3G02080,LOC100824530,70,0.9747315171870464,0.9833167378665724,0.9790241275268095
156,AT5G61170,LOC100831550,70,0.9784467388149438,0.9846850608678894,0.9815658998414166
157,AT5G61170,LOC100824530,70,0.9815648712526435,0.9822760414993736,0.9819204563760086
158,AT3G18620,LOC100846572,71,0.7115229920802753,0.8308932643818456,0.7712081282310604
159,AT3G27080,LOC100823969,72,0.8887755525148235,0.9597083480551183,0.9242419502849709
160,AT5G40930,LOC100823969,72,0.8942654559024754,0.8861722288247198,0.8902188423635976
161,AT1G27390,LOC100823969,72,0.9484761786291828,0.9685414190730093,0.9585087988510961
162,AT5G10370,LOC100837627,73,0.962532653315089,0.7937493977451578,0.8781410255301234
163,AT4G01020,LOC100837627,73,0.9721690094124477,0.8163299392927119,0.8942494743525797
164,AT1G53400,LOC100841833,74,0.7588008458763528,0.7860084155076607,0.7724046306920067
165,AT1G53400,LOC100827721,74,0.8460173321723267,0.8435743423377124,0.8447958372550195
166,AT5G45740,LOC100841833,74,0.7545465853961936,0.6366556387113352,0.6956011120537644
167,AT5G45740,LOC100827721,74,0.7637517104117428,0.685182924870716,0.7244673176412294
168,AT3G45620,LOC100829926,75,0.7086287680889,0.7489287893874668,0.7287787787381834
169,AT4G38480,LOC100829926,75,0.7693660073806858,0.8135483249285325,0.7914571661546091
170,AT4G35140,LOC100829926,75,0.8638387859186466,0.7670317669354062,0.8154352764270264
171,AT3G49940,LOC100829268,77,0.5991955881743168,0.6627437124594482,0.6309696503168825
172,AT3G49940,LOC100832110,77,0.5782642948957167,0.7654835704879067,0.6718739326918117
173,AT5G67420,LOC100829268,77,0.6773976862793879,0.6410432659878585,0.6592204761336232
174,AT5G67420,LOC100832110,77,0.8071401915661152,0.8049979121832139,0.8060690518746645
175,AT4G37540,LOC100829268,77,0.76732595264751,0.6602897247293869,0.7138078386884484
176,AT4G37540,LOC100832110,77,0.7034291163909275,0.8486043747791732,0.7760167455850504
177,AT5G13520,LOC100828470,78,0.8550222427570356,0.8394308290238653,0.8472265358904505
178,AT3G59220,LOC100833215,79,0.684514841997116,0.4718915620081585,0.5782032020026373
179,AT3G59220,LOC100821865,79,0.5261019198076046,0.5264960010278483,0.5262989604177264
180,AT2G43120,LOC100833215,79,0.7614628685159847,0.4926733690938875,0.6270681188049361
181,AT2G43120,LOC100821865,79,0.7942944810714434,0.6367519994860759,0.7155232402787597
182,AT1G50590,LOC100833215,79,0.6915205042086495,0.5938971509330935,0.6427088275708714
183,AT1G50590,LOC100821865,79,0.7280424596757474,0.6227025985288921,0.6753725291023198
184,AT1G42480,LOC100822251,81,0.902375917402662,0.8399511772074648,0.8711635473050634
185,AT3G16800,LOC100835221,82,0.724182572919978,0.7840105354447049,0.7540965541823414
186,AT3G16800,LOC100835533,82,0.7647625234389758,0.712827046685011,0.7387947850619934
187,AT3G05640,LOC100835221,82,0.6242401625409462,0.7044036874056467,0.6643219249732965
188,AT3G05640,LOC100835533,82,0.5497532860637724,0.72555380678594,0.6376535464248562
189,AT5G27930,LOC100835221,82,0.6844217771696314,0.7175408730286191,0.7009813250991253
190,AT5G27930,LOC100835533,82,0.7192271012149106,0.7244403045000481,0.7218337028574794
191,AT4G10810,LOC106866560,83,0.771314840154248,0.9446996220516279,0.858007231102938
192,AT4G10170,LOC100833499,84,0.6930049342787246,0.7159027398580284,0.7044538370683765
193,AT1G33475,LOC100833499,84,0.41286229630551063,0.6462082035139562,0.5295352499097334
194,AT2G03280,LOC100837431,85,0.4506530663017788,0.44512253878521185,0.44788780254349536
195,AT2G03280,LOC100828174,85,0.71159762822905,0.7360806860887162,0.7238391571588831
196,AT2G03280,LOC100830734,85,0.7424555292946884,0.8086210773134616,0.775538303304075
197,AT2G03280,LOC100826488,85,0.8150350375253971,0.8323772203128513,0.8237061289191242
198,AT2G03280,LOC100827276,85,0.6941078906995065,0.8601355474898018,0.7771217190946542
199,AT1G14020,LOC100837431,85,0.5535763154621222,0.5163138791635885,0.5349450973128553
200,AT1G14020,LOC100828174,85,0.7921880830949123,0.6870202036424373,0.7396041433686749
201,AT1G14020,LOC100830734,85,0.7886304266699838,0.8124883564063855,0.8005593915381847
202,AT1G14020,LOC100826488,85,0.8621387403076668,0.9355539138534673,0.8988463270805671
203,AT1G14020,LOC100827276,85,0.769830410084173,0.9535541065750168,0.861692258329595
204,AT5G15740,LOC100837431,85,0.5710586815201817,0.4675424790415315,0.5193005802808566
205,AT5G15740,LOC100828174,85,0.7365390019949044,0.7446503709889828,0.7405946864919436
206,AT5G15740,LOC100830734,85,0.8274476740703883,0.7340185655092667,0.7807331197898275
207,AT5G15740,LOC100826488,85,0.753014240761473,0.8311887707577169,0.792101505759595
208,AT5G15740,LOC100827276,85,0.703441095032089,0.8567179520123342,0.7800795235222115
209,AT3G02250,LOC100837431,85,0.2567483517850479,0.3795136992901423,0.3181310255375951
210,AT3G02250,LOC100828174,85,0.7021520089563378,0.7194166961102367,0.7107843525332873
211,AT3G02250,LOC100830734,85,0.5947257121532529,0.7269264124883564,0.6608260623208047
212,AT3G02250,LOC100826488,85,0.5575734958742795,0.7598561012430539,0.6587147985586668
213,AT3G02250,LOC100827276,85,0.5412198863871958,0.7059197635948994,0.6235698249910475
214,AT5G13710,LOC100826864,86,0.8688228220757143,0.8386470947226415,0.8537349583991779
215,AT5G13710,LOC100834229,86,0.6315296264046109,0.612205698133813,0.6218676622692119
216,AT5G46680,LOC100839561,89,0.7762251615964765,0.8519448816368483,0.8140850216166624
217,AT5G06980,LOC100830815,90,0.9814321847659327,0.9216394179809206,0.9515358013734267
