Gene stable ID,Transcript stable ID,UniProtKB/TrEMBL ID
GSBRNA2T00082019001,CDY69013,A0A078JNA5
GSBRNA2T00018089001,CDY71688,A0A078JVS9
GSBRNA2T00018090001,CDY71689,A0A078JYC7
GSBRNA2T00018088001,CDY71687,A0A078K1D0
GSBRNA2T00034249001,CDY61704,A0A078J9G1
GSBRNA2T00034246001,CDY61701,A0A078J5L2
GSBRNA2T00034248001,CDY61703,A0A078J8H4
GSBRNA2T00034245001,CDY61700,A0A078JBZ6
GSBRNA2T00030031001,CDY60769,A0A078J9M5
GSBRNA2T00030025001,CDY60764,A0A078JA67
GSBRNA2T00030032001,CDY60770,A0A078JA72
GSBRNA2T00030029001,CDY60766,A0A078J761
GSBRNA2T00030023001,CDY60762,A0A078J9L9
GSBRNA2T00030030001,CDY60767,A0A078J7Q8
GSBRNA2T00030028001,CDY60765,A0A078J3Z4
GSBRNA2T00004599001,CDY70581,A0A078JYJ4
GSBRNA2T00083460001,CDY69128,A0A078JNK0
GSBRNA2T00066024001,CDY67701,A0A078JPR5
GSBRNA2T00066025001,CDY67702,A0A078JQN0
GSBRNA2T00064396001,CDY67537,A0A078JQ62
GSBRNA2T00056788001,CDY66890,A0A078JKC9
GSBRNA2T00056789001,CDY66891,A0A078JMB2
GSBRNA2T00056790001,CDY66892,A0A078JNF8
GSBRNA2T00076745001,CDY43481,A0A078I0Z0
GSBRNA2T00076760001,CDY43488,A0A078I306
GSBRNA2T00076759001,CDY43487,A0A078I050
GSBRNA2T00076746001,CDY43482,A0A078I044
GSBRNA2T00076757001,CDY43486,A0A078I0Z5
GSBRNA2T00076771001,CDY43490,A0A078HY96
GSBRNA2T00076771001,CDY43490,Q8GV02
GSBRNA2T00076761001,CDY43489,A0A078I1L0
GSBRNA2T00076774001,CDY43491,A0A078I0Z9
GSBRNA2T00076755001,CDY43485,A0A078HY91
GSBRNA2T00076748001,CDY43483,A0A078I302
GSBRNA2T00076752001,CDY43484,A0A078I1K2
GSBRNA2T00042599001,CDY64714,A0A078JDI3
GSBRNA2T00042598001,CDY64713,A0A078JAX9
GSBRNA2T00042597001,CDY64712,A0A078JH21
GSBRNA2T00007324001,CDY70765,A0A078JWJ7
GSBRNA2T00025023001,CDY58701,A0A078J477
GSBRNA2T00025022001,CDY58700,A0A078J0K9
GSBRNA2T00025026001,CDY58704,A0A078J6A3
GSBRNA2T00025024001,CDY58702,A0A078J449
GSBRNA2T00075456001,CDY68562,A0A078JT09
GSBRNA2T00075455001,CDY68561,A0A078JSE0
GSBRNA2T00089518001,CDY48459,A0A078IFD2
GSBRNA2T00089515001,CDY48456,A0A078IEJ2
GSBRNA2T00089516001,CDY48457,A0A078IEL3
GSBRNA2T00089513001,CDY48454,A0A078IGD0
GSBRNA2T00089499001,CDY48450,A0A078IC59
GSBRNA2T00089514001,CDY48455,A0A078IC63
GSBRNA2T00089510001,CDY48452,A0A078IEK8
GSBRNA2T00089519001,CDY48460,A0A078IC69
GSBRNA2T00089517001,CDY48458,A0A078IH55
GSBRNA2T00089502001,CDY48451,A0A078IEI8
GSBRNA2T00089512001,CDY48453,A0A078IH48
GSBRNA2T00039772001,CDY63947,A0A078JF13
GSBRNA2T00068588001,CDY39785,A0A078HMM7
GSBRNA2T00068611001,CDY39801,A0A078HQ90
GSBRNA2T00068631001,CDY39817,A0A078HPN1
GSBRNA2T00068568001,CDY39770,A0A078HML3
GSBRNA2T00068613001,CDY39803,A0A078HSS7
GSBRNA2T00068613001,CDY39803,Q9SPC9
GSBRNA2T00068577001,CDY39776,A0A078HQ72
GSBRNA2T00068598001,CDY39793,A0A078EPX5
GSBRNA2T00068610001,CDY39800,A0A078HMP1
GSBRNA2T00068615001,CDY39804,A0A078HR57
GSBRNA2T00068592001,CDY39788,A0A078HSR2
GSBRNA2T00068627001,CDY39813,A0A078HST4
GSBRNA2T00068621001,CDY39809,A0A078HR62
GSBRNA2T00068584001,CDY39781,A0A078HQ76
GSBRNA2T00068565001,CDY39768,A0A078HSP3
GSBRNA2T00068557001,CDY39762,A0A078HPI0
GSBRNA2T00068562001,CDY39766,A0A078HQ64
GSBRNA2T00068625001,CDY39812,A0A078HPM7
GSBRNA2T00068586001,CDY39783,A0A078HSQ8
GSBRNA2T00068560001,CDY39764,A0A078HR17
GSBRNA2T00068593001,CDY39789,A0A078HR39
GSBRNA2T00068628001,CDY39814,A0A078HR67
GSBRNA2T00068566001,CDY39769,A0A078HR23
GSBRNA2T00068608001,CDY39798,A0A078HSS2
GSBRNA2T00068616001,CDY39805,A0A078HMP6
GSBRNA2T00068632001,CDY39818,A0A078HST9
GSBRNA2T00068554001,CDY39760,A0A078HMK3
GSBRNA2T00068556001,CDY39761,A0A078HQ60
GSBRNA2T00068585001,CDY39782,A0A078HPK0
GSBRNA2T00068596001,CDY39791,A0A078HQ82
GSBRNA2T00068580001,CDY39778,A0A078HSQ3
GSBRNA2T00068574001,CDY39774,A0A078HR27
