,arabidopsis,mustard,Group Number,Species 1 Score,Species 2 Score,Total Score
0,AT2G26300,LOC103842156,1,0.8504245147469892,0.9002308031430721,0.8753276589450307
1,AT1G73910,LOC103872651,2,0.8683978160349016,0.8266849926091128,0.8475414043220072
2,AT1G73910,LOC103835906,2,0.8516784659996343,0.8535255828427687,0.8526020244212015
3,AT1G18450,LOC103872651,2,0.9178923169361791,0.9440885869142398,0.9309904519252095
4,AT1G18450,LOC103835906,2,0.938697458136315,0.8909623713077981,0.9148299147220565
5,AT1G49040,LOC103871423,3,0.9931764152668566,0.9941391561422163,0.9936577857045364
6,AT1G08260,LOC103871570,5,0.9901251338854202,0.993330048494593,0.9917275911900066
7,AT3G45740,LOC103873407,6,0.8497870895268946,0.9141412307772101,0.8819641601520524
8,AT4G02460,LOC103868208,7,0.9291622038193266,0.9216306631052099,0.9253964334622682
9,AT5G17020,LOC103851080,8,0.9743723712740667,0.9438136977775473,0.9590930345258071
10,AT5G17020,LOC103846276,8,0.9206562344888843,0.9171494515183735,0.9189028430036289
11,AT5G17020,LOC103856228,8,0.9083570626191907,0.8817769248722802,0.8950669937457354
12,AT1G19150,LOC103835863,9,0.990569241620732,0.9947874795778118,0.992678360599272
13,AT3G01280,LOC103858922,10,0.9284777554272576,0.9660382251497628,0.9472579902885102
14,AT3G01280,LOC103856564,10,0.8531205099401761,0.6501076216903089,0.7516140658152425
15,AT3G01280,LOC103870959,10,0.9192768881109746,0.9739373978890589,0.9466071430000167
16,AT3G01280,VDAC,10,0.7991379085138065,0.5173102357304011,0.6582240721221038
17,AT3G01280,LOC103850966,10,0.8852530107892055,0.9229532429138249,0.9041031268515152
18,AT3G01280,LOC103850081,10,0.8475038532877034,0.6442375572325522,0.7458707052601278
19,AT5G15090,LOC103858922,10,0.9117322814075602,0.9710744015974689,0.9414033415025146
20,AT5G15090,LOC103856564,10,0.8504245147469892,0.722574622027437,0.7864995683872131
21,AT5G15090,LOC103870959,10,0.8901068470963192,0.9719613080573637,0.9310340775768414
22,AT5G15090,VDAC,10,0.7880352151310118,0.6629755452400093,0.7255053801855106
23,AT5G15090,LOC103850966,10,0.8946733195747014,0.9468322916936802,0.9207528056341908
24,AT5G15090,LOC103850081,10,0.7594921497426788,0.7176220072669853,0.7385570785048321
25,AT1G60490,LOC103838506,11,0.9601139005721152,0.9650060942402946,0.9625599974062049
26,AT1G65032,LOC103831175,12,0.9537500979649416,0.926625346853038,0.9401877224089898
27,AT5G62520,LOC103865455,13,0.7133807048251,0.9006820362542465,0.8070313705396732
28,AT5G62520,LOC103840174,13,0.5399631651819535,0.8312543761831903,0.685608770682572
29,AT5G62520,LOC103833671,13,0.41249118315525485,0.7162158657711158,0.5643535244631853
30,AT5G62520,LOC103840746,13,0.8212792915175423,0.9253442597443011,0.8733117756309217
31,AT5G62520,LOC103867356,13,0.1516562606128687,0.6055133424963046,0.3785848015545866
32,AT1G23550,LOC103865455,13,0.8172209305363254,0.9119784237960634,0.8645996771661943
33,AT1G23550,LOC103840174,13,0.764758745003788,0.7834184798112083,0.7740886124074982
34,AT1G23550,LOC103833671,13,0.7422346456281512,0.701200695002723,0.7217176703154371
35,AT1G23550,LOC103840746,13,0.9074897463361112,0.9538756774979902,0.9306827119170507
36,AT1G23550,LOC103867356,13,0.4966117192194153,0.6518295687352507,0.574220643977333
37,AT2G35510,LOC103865455,13,0.8506753049975182,0.9173517284302793,0.8840135167138987
38,AT2G35510,LOC103840174,13,0.9344810470492959,0.8929540209019475,0.9137175339756217
39,AT2G35510,LOC103833671,13,0.9279396013479976,0.9051943673659915,0.9165669843569946
40,AT2G35510,LOC103840746,13,0.8242169335667077,0.7841497886465599,0.8041833611066338
41,AT2G35510,LOC103867356,13,0.8168395203636458,0.7534140712118462,0.785126795787746
42,AT1G32230,LOC103865455,13,0.8988845058648346,0.9664842716734524,0.9326843887691435
43,AT1G32230,LOC103840174,13,0.9392356122155752,0.9357952335261014,0.9375154228708382
44,AT1G32230,LOC103833671,13,0.9079129548838789,0.9020772282876481,0.9049950915857635
45,AT1G32230,LOC103840746,13,0.8484234175396431,0.8745053292186407,0.8614643733791418
46,AT1G32230,LOC103867356,13,0.5770317928890515,0.6033712818650968,0.5902015373770741
47,AT1G70440,LOC103865455,13,0.6342787313032094,0.8742874925442805,0.754283111923745
48,AT1G70440,LOC103840174,13,0.7330622244282476,0.7710484686600452,0.7520553465441464
49,AT1G70440,LOC103833671,13,0.7836092316355646,0.7727963486424108,0.7782027901389876
50,AT1G70440,LOC103840746,13,0.8596300263271711,0.8950960815331553,0.8773630539301632
51,AT1G70440,LOC103867356,13,0.5285520636496368,0.752646456264101,0.6405992599568688
52,AT3G17668,LOC103839096,14,0.8326062157666954,0.8914654702938203,0.8620358430302578
53,AT5G26749,LOC103837142,15,0.8752579743462473,0.8260055496486086,0.850631761997428
54,AT2G26695,LOC103874408,16,0.42165852469151927,0.5026684992609113,0.4621635119762153
55,AT2G26695,LOC103859636,16,0.5099633973951485,0.6440393143331345,0.5770013558641416
56,AT2G26695,LOC103840565,16,0.47496306358868073,0.6692876222089676,0.5721253428988242
57,AT5G25490,LOC103874408,16,0.9381719928494924,0.9287985270091543,0.9334852599293233
58,AT5G25490,LOC103859636,16,0.9154889103686095,0.9498197660849045,0.9326543382267569
59,AT5G25490,LOC103840565,16,0.9260131440961662,0.9517180571043281,0.9388656006002472
60,AT3G15680,LOC103874408,16,0.9140102928498655,0.9498456990223283,0.9319279959360969
61,AT3G15680,LOC103859636,16,0.9155934063063298,0.9226524208397086,0.9191229135730192
62,AT3G15680,LOC103840565,16,0.9229812691031637,0.947252405279946,0.9351168371915548
63,AT1G51540,LOC103859887,17,0.9408396248595836,0.9273722154508441,0.9341059201552139
64,AT1G51540,LOC103835439,17,0.9866192951749001,0.9679313295817018,0.9772753123783009
65,AT1G51540,LOC103875235,17,0.7399252854045298,0.7712663053344052,0.7555957953694675
66,AT3G27220,LOC103859887,17,0.6837691684735756,0.7797723088094188,0.7317707386414972
67,AT3G27220,LOC103835439,17,0.7727631338331722,0.8435310287596276,0.8081470812963999
68,AT3G27220,LOC103875235,17,0.7867081167219625,0.8341069992998107,0.8104075580108866
69,AT4G33865,LOC103848046,18,0.913890122521487,0.9627239957469982,0.9383070591342426
70,AT3G43980,LOC103848046,18,0.9643825596279945,0.9698451803635797,0.9671138699957871
71,AT3G44010,LOC103848046,18,0.9503017320201677,0.9652706102020177,0.9577861711110927
72,AT2G20825,LOC103867899,19,0.3124271793934011,0.5931588911075958,0.4527930352504984
73,AT4G28190,LOC103867899,19,0.9231693617910603,0.8870776172817094,0.9051234895363849
74,AT5G08170,LOC103855763,20,0.8800589821515133,0.820538886439667,0.8502989342955902
75,AT5G08170,LOC103847135,20,0.8529655076325575,0.809553694146936,0.8312596008897468
76,AT5G07590,LOC103847044,22,0.9524125499621202,0.9351572832654754,0.9437849166137978
77,AT5G63080,LOC103837450,24,0.7631547323597795,0.8775446694847125,0.820349700922246
78,AT5G16940,LOC103856224,25,0.822592021735155,0.8770623168486295,0.8498271692918922
