,arabidopsis,potato,Group Number,Species 1 Score,Species 2 Score,Total Score
0,AT5G42200,LOC102579819,0,0.48851908488501095,0.5798451475905727,0.5341821162377918
1,AT2G26300,LOC102577539,1,0.8290785883481754,0.8911265362540941,0.8601025623011347
2,AT1G73910,LOC102600647,2,0.8082449635026769,0.8064605306649839,0.8073527470838304
3,AT1G18450,LOC102600647,2,0.9194386974903301,0.9429610264731512,0.9311998619817407
4,AT1G49040,LOC102599875,3,0.9734760576894247,0.9810871720905074,0.9772816148899661
5,AT1G08260,LOC102599922,4,0.9594494917693622,0.9918687460560714,0.9756591189127168
6,AT3G45740,LOC102595324,5,0.8243470960390993,0.8106193094744433,0.8174832027567713
7,AT4G02460,LOC102596485,6,0.9751791550478247,0.8971784007932931,0.9361787779205589
8,AT5G17020,LOC102604727,7,0.9451590656951816,0.9829562186363773,0.9640576421657794
9,AT1G19150,LOC102580711,8,0.9869149350844052,0.9937678415817782,0.9903413883330917
10,AT3G01280,VDAC,9,0.9141315102995413,0.8990895159109348,0.906610513105238
11,AT3G01280,LOC102577832,9,0.9503763005607029,0.9554193335136273,0.9528978170371651
12,AT5G15090,VDAC,9,0.8475907768882492,0.8977493314101986,0.8726700541492239
13,AT5G15090,LOC102577832,9,0.9262450901022459,0.9306409447399261,0.928443017421086
14,AT1G60490,LOC102588478,10,0.9446073581002068,0.9609062772318879,0.9527568176660474
15,AT1G65032,LOC102595786,11,0.9558813828670804,0.9338561855824995,0.9448687842247899
16,AT5G62520,LOC102584854,12,0.7411005500418112,0.7339884010937829,0.7375444755677971
17,AT5G62520,LOC102584569,12,0.6565786799662845,0.7678656209621683,0.7122221504642263
18,AT5G62520,LOC102597186,12,0.878947491163017,0.8345923855885093,0.8567699383757632
19,AT5G62520,LOC102582509,12,0.6743159458820158,0.6728146879413444,0.6735653169116801
20,AT5G62520,LOC102598308,12,0.6533603856622657,0.773689113254605,0.7135247494584354
21,AT5G62520,LOC102589049,12,0.5046325447512818,0.24935845428047718,0.3769954995158795
22,AT5G62520,LOC102590341,12,0.7549132293217927,0.6898284203251299,0.7223708248234613
23,AT1G23550,LOC102584854,12,0.7257593475458007,0.809447399260795,0.7676033734032979
24,AT1G23550,LOC102584569,12,0.6755899373332134,0.7749932389795366,0.7252915881563751
25,AT1G23550,LOC102597186,12,0.7344967167401277,0.8500015024489919,0.7922491095945599
26,AT1G23550,LOC102582509,12,0.7306887349704657,0.7383034345983954,0.7344960847844306
27,AT1G23550,LOC102598308,12,0.8400707624958772,0.8245980948946783,0.8323344286952777
28,AT1G23550,LOC102589049,12,0.6509489970315733,0.487154061119625,0.5690515290755991
29,AT1G23550,LOC102590341,12,0.818668105903871,0.7735568977433216,0.7961125018235963
30,AT2G35510,LOC102584854,12,0.9342988216245389,0.8890591664412993,0.9116789940329191
31,AT2G35510,LOC102584569,12,0.9156127252556144,0.8727125214098981,0.8941626233327562
32,AT2G35510,LOC102597186,12,0.8580372402626608,0.7685867964782596,0.8133120183704602
33,AT2G35510,LOC102582509,12,0.8935504182783125,0.9208690164968899,0.9072097173876013
34,AT2G35510,LOC102598308,12,0.857377589877365,0.8839929084407585,0.8706852491590618
35,AT2G35510,LOC102589049,12,0.4994512908158676,0.3488265873373599,0.4241389390766137
36,AT2G35510,LOC102590341,12,0.7499985007945789,0.715688572372968,0.7328435365837734
37,AT1G32230,LOC102584854,12,0.9537285238823423,0.9376904354097179,0.9457094796460301
38,AT1G32230,LOC102584569,12,0.9528889688465113,0.932455903122089,0.9426724359843002
39,AT1G32230,LOC102597186,12,0.8955173757908309,0.8105411821268668,0.8530292789588488
40,AT1G32230,LOC102582509,12,0.8787922401127402,0.856155533519637,0.8674738868161886
41,AT1G32230,LOC102598308,12,0.9286738028844712,0.9120887045884792,0.9203812537364753
42,AT1G32230,LOC102589049,12,0.42877874726395016,0.30012921061329967,0.3644539789386249
43,AT1G32230,LOC102590341,12,0.7370093850259363,0.7675531115718622,0.7522812482988992
44,AT1G70440,LOC102584854,12,0.7279541842823304,0.77594278674239,0.7519484855123602
45,AT1G70440,LOC102584569,12,0.711007166201913,0.7217103879323297,0.7163587770671214
46,AT1G70440,LOC102597186,12,0.7658840814368385,0.825818083476066,0.7958510824564522
47,AT1G70440,LOC102582509,12,0.8180744205571047,0.7914240211544817,0.8047492208557931
48,AT1G70440,LOC102598308,12,0.792491979250997,0.793821929745485,0.7931569544982411
49,AT1G70440,LOC102589049,12,0.6122035321279722,0.22759097328645692,0.41989725270721456
50,AT1G70440,LOC102590341,12,0.7260172108782346,0.7468553742600438,0.7364362925691392
51,AT3G17668,LOC102591946,13,0.9114149500764595,0.8861203762132276,0.8987676631448436
52,AT5G26749,LOC102594308,14,0.8287727504422656,0.901613630217254,0.8651931903297598
53,AT2G26695,LOC102594174,15,0.36029504362687775,0.6402536133898254,0.5002743285083516
54,AT2G26695,LOC102594531,15,0.9099637192288087,0.9115358033594759,0.9107497612941423
55,AT5G25490,LOC102594174,15,0.8701927978171569,0.6920460350371105,0.7811194164271337
56,AT5G25490,LOC102594531,15,0.43105154268237833,0.4796478259563088,0.45534968431934353
57,AT3G15680,LOC102594174,15,0.8807132219923441,0.780558310045374,0.830635766018859
58,AT3G15680,LOC102594531,15,0.4358956419764191,0.5505513987800114,0.49322352037821526
59,AT1G51540,LOC102598419,16,0.6800935504182782,0.6328134859821509,0.6564535182002146
60,AT1G51540,LOC102605150,16,0.6889088782945039,0.811388563358274,0.750148720826389
61,AT3G27220,LOC102598419,16,0.766303858954754,0.7023768743051174,0.7343403666299357
62,AT3G27220,LOC102605150,16,0.603676051692603,0.7730460650860903,0.6883610583893467
63,AT4G33865,LOC102592795,17,0.9744475428023147,0.9771507557318428,0.9757991492670788
64,AT4G33865,LOC102599926,17,0.9650685136877455,0.9816761320953153,0.9733723228915304
65,AT3G43980,LOC102592795,17,0.9713112050613175,0.9739355148892694,0.9726233599752935
66,AT3G43980,LOC102599926,17,0.9466642679379929,0.9783166561495238,0.9624904620437583
67,AT3G44010,LOC102592795,17,0.9607174863988753,0.9788034496228852,0.9697604680108802
68,AT3G44010,LOC102599926,17,0.9570727514417359,0.9850416178370743,0.9710571846394052
69,AT2G20825,LOC102578246,18,0.6800062633470928,0.9394032272604346,0.8097047453037637
70,AT4G28190,LOC102578246,18,0.7261791250637162,0.7525827098170017,0.7393809174403589
71,AT5G08170,LOC102601245,19,0.831141495007646,0.780882839027615,0.8060121670176306
72,AT1G71930,LOC102584872,20,0.992847124357424,0.9841942366056672,0.9885206804815456
73,AT1G71930,LOC102580907,20,0.9869235971601719,0.9283932810481084,0.9576584391041401
74,AT5G66300,LOC102584872,20,0.647896614794159,0.8827128218996965,0.7653047183469277
75,AT5G66300,LOC102580907,20,0.6254984858025247,0.8055650710658374,0.715531778434181
76,AT4G36160,LOC102584872,20,0.8873077269047405,0.9393731782805974,0.9133404525926689
77,AT4G36160,LOC102580907,20,0.9129261491409553,0.8658493344150966,0.8893877417780259
78,AT1G62700,LOC102584872,20,0.9007559326890081,0.8796658553442112,0.8902108940166096
79,AT1G62700,LOC102580907,20,0.9329655282700169,0.805264581267466,0.8691150547687414
80,AT2G18060,LOC102584872,20,0.8103984888009355,0.8087442531326061,0.8095713709667708
81,AT2G18060,LOC102580907,20,0.8485382747144014,0.7951140358784818,0.8218261552964417
82,AT1G12260,LOC102584872,20,0.9663944775935421,0.9649208209381291,0.9656576492658356
83,AT1G12260,LOC102580907,20,0.9519887792803148,0.8827609002674359,0.9173748397738754
84,AT5G07590,LOC102586745,21,0.8596803694042158,0.8927191321854623,0.876199750794839
85,AT5G63080,LOC102599246,23,0.7114029564330905,0.7022206196099643,0.7068117880215274
